epoch,tr_loss,va_loss,score,sec,iou_bg,iou_plat
1,0.02296722276757161,0.029179460465394217,0.17238948445143068,56.717458724975586,0.6461275482479851,0.17238948445143068
2,0.017064154184624262,0.015496107589068085,0.3188291351687228,40.72403144836426,0.8631110954376598,0.3188291351687228
3,0.015504589313458578,0.023676507014395862,0.3711551203356242,40.25623273849487,0.9360220518314364,0.3711551203356242
4,0.014516394220146478,0.022543097011231143,0.20852240284120532,40.3917555809021,0.7322717543133757,0.20852240284120532
5,0.0144609943780975,0.014882415083461794,0.38376402759188716,40.770283222198486,0.9030613554543696,0.38376402759188716
6,0.013065627785216943,0.013532126097586649,0.42831387834193274,40.0358030796051,0.9230752462876064,0.42831387834193274
7,0.013981546914460612,0.014680501555317435,0.4308141116781394,39.99764800071716,0.9297095793569222,0.4308141116781394
8,0.013516763006063068,0.013206261274372709,0.46471159305283616,40.20305943489075,0.9281125286293911,0.46471159305283616
9,0.01313393798601978,0.012189841122719747,0.4556930398142699,40.27088403701782,0.929383073537973,0.4556930398142699
10,0.012514470309457359,0.012853615531890556,0.3853044755411798,40.485880851745605,0.889151215825911,0.3853044755411798
11,0.012240048662266311,0.013830812005647298,0.3507807506946103,40.35113334655762,0.860639168567482,0.3507807506946103
12,0.012793817977402724,0.014455377702312222,0.3262224669635376,40.39089822769165,0.8528274479141364,0.3262224669635376
13,0.012234857680239514,0.012356232209452268,0.4225346476843189,40.48602533340454,0.9111778080506058,0.4225346476843189
14,0.012045794641416446,0.013440301706051004,0.4713015599787735,40.45622634887695,0.9261381722963699,0.4713015599787735
15,0.011922375125554847,0.012351586547648084,0.40094030364340044,40.27186107635498,0.8974781894734375,0.40094030364340044
16,0.011706340720183124,0.01219853484232364,0.41144652099485746,40.64261746406555,0.8943828720270158,0.41144652099485746
17,0.011920984254638646,0.011053154935482246,0.4398958290043055,40.76455545425415,0.9138730997139155,0.4398958290043055
18,0.01176425173659535,0.012675528510891158,0.3352606477165115,40.4253945350647,0.8687888453083648,0.3352606477165115
19,0.011348854786917275,0.011154886640222936,0.39462062108655965,40.54042649269104,0.8906404902205216,0.39462062108655965
20,0.011335701658846993,0.014843898183055993,0.31044039229923626,40.41606140136719,0.8268636258041677,0.31044039229923626
21,0.01098017067210201,0.01143297188562052,0.4526586658153968,40.51201033592224,0.9241368055495931,0.4526586658153968
22,0.011078535049569373,0.01091595030999903,0.4314984254757954,40.59107732772827,0.9136321964032122,0.4314984254757954
23,0.010979222485284303,0.011516351027992266,0.413892285991409,40.467660903930664,0.9065127689382857,0.413892285991409
24,0.010711805908666813,0.012410374213780823,0.4158565492070734,40.572108030319214,0.8975148557163425,0.4158565492070734
25,0.010836628279374802,0.011943514683637125,0.40791667885667476,40.38565135002136,0.9093377027828455,0.40791667885667476
26,0.010754183003240648,0.01083324570208788,0.4590911697778318,40.35046315193176,0.9258026596860838,0.4590911697778318
27,0.010756082549764245,0.01089842474601906,0.44634053929564893,40.35118865966797,0.918006997650737,0.44634053929564893
28,0.010243435326379304,0.010759764126148718,0.46783793049525624,40.4844765663147,0.9272994608672814,0.46783793049525624
29,0.00987583770891469,0.010630065189867184,0.4264305704803599,40.38912844657898,0.9071086882952347,0.4264305704803599
30,0.009797340131127368,0.011041704725859493,0.4686575313168214,40.36422038078308,0.9230242905222459,0.4686575313168214
31,0.010103009047680626,0.011353830084333131,0.4319461260886113,40.52371335029602,0.9052181173600191,0.4319461260886113
32,0.00953696008461217,0.010677448104553181,0.45078367846568856,40.27140665054321,0.9105655081418973,0.45078367846568856
33,0.009454346289310385,0.010714637115597725,0.4518424446987291,40.49086141586304,0.9184801410170392,0.4518424446987291
34,0.009835794741543485,0.010819580405950546,0.4576914103083344,40.46528697013855,0.9226093371830778,0.4576914103083344
35,0.010055152786092139,0.011758711895552176,0.4229220551439876,40.67817664146423,0.9097016926539329,0.4229220551439876
36,0.009710346631632717,0.011283851308940813,0.4637095791565892,40.61407494544983,0.9157661004642257,0.4637095791565892
37,0.009378007019632588,0.011010023588635799,0.4536876993586583,40.54795861244202,0.9162417671932793,0.4536876993586583
38,0.009429924792664893,0.011164482153052914,0.4636261400404184,40.08403658866882,0.9192073244784824,0.4636261400404184
39,0.00946071557700634,0.01076716012803131,0.4752973631676152,40.11597394943237,0.9209993571868766,0.4752973631676152
40,0.009577220629937216,0.010082470574255648,0.44266169778995135,40.07092094421387,0.9155157284446017,0.44266169778995135
