tile,cluster,pit,area_m2,floor_px,n_ground_in_floor,n_reclaim_in_floor,depth_A_m,depth_B_m,d_depth_m,dz_floor_med,dz_floor_min,dz_ring_med
621594,0,86,36.83125409433745,148,72,2,0.632772364501875,0.6273082732942612,-0.005464091207613819,0.0,-0.09352738799418603,0.0
621594,1,87,34.641306489573225,139,39,15,1.3351605041348193,1.3351605041347625,-5.684341886080802e-14,-0.0047737730919834576,-0.24375035214484342,0.0
621594,2,85,35.350299224804225,143,63,3,0.847753858886449,0.846552102746557,-0.0012017561398920407,0.0,-0.1512477097614351,0.0
621594,3,11,45.75596007839951,184,97,4,1.3391403112038915,1.3384438961289788,-0.0006964150749126929,0.0,-0.14075096425722222,0.0
621594,4,15,26.62484240940962,112,91,3,0.6685517467029172,0.6701052048740053,0.0015534581710880957,0.0,-0.0839826772661354,0.0
621594,5,12,22.787429362972073,91,78,0,0.5228433004054978,0.5073894086442579,-0.015453891761239902,0.0,-0.018162505636212245,0.0
621594,6,13,45.07809439845084,180,119,0,0.6405740056096647,0.6415205784411455,0.0009465728314808075,0.0,-0.02330812591344511,0.0
621594,7,14,31.833227308760602,125,5,1,0.2595253117610241,0.28106373529004713,0.02153842352902302,-0.020473215150104807,-0.038333700077657795,0.0
621594,8,46,22.261865722210494,91,72,1,1.0075335133318504,1.0075335133318504,0.0,0.0,-0.03176486528514033,0.0
621594,9,16,34.41727213817462,137,85,9,1.1173795339793173,1.114400651332005,-0.0029788826473122754,0.0,-0.12142058072987538,0.0
621594,10,17,24.601578151260505,100,61,6,0.813381694280281,0.8134344718767466,5.277759646560298e-05,0.0,-0.061820452799508985,0.0
621594,11,89,44.169369672237394,177,16,6,0.09502279502788724,0.11214220655051577,0.017119411522628525,-5.684341886080802e-14,-0.15024166630797708,0.0
621594,12,43,46.7745210656519,186,119,0,0.8880803499357626,0.8905400642682935,0.0024597143325308934,0.0,-0.05050006898227366,0.0
621594,13,44,27.588611321259375,111,71,4,1.0103557236783445,1.0075558699526823,-0.0027998537256621603,0.0,-0.13110479191789182,0.0
621594,14,41,41.594610656668706,169,141,0,0.6323669844984465,0.6274611325416686,-0.004905851956777951,0.0,-0.011928571091630147,0.0
