tile,cluster,pit,area_m2,floor_px,n_ground_in_floor,n_reclaim_in_floor,depth_A_m,depth_B_m,d_depth_m,dz_floor_med,dz_floor_min,dz_ring_med
621594,0,86,36.83125409433745,148,72,0,0.632772364501875,0.6301427028824378,-0.002629661619437229,0.0,-0.036083182557661075,0.0
621594,1,87,34.641306489573225,139,39,4,1.3351605041348193,1.3390005484922654,0.003840044357446004,0.0,-0.23373372078162902,0.0
621594,2,85,35.350299224804225,143,63,2,0.847753858886449,0.8500217310191829,0.002267872132733828,0.0,-0.1510450773915295,0.0
621594,3,11,45.75596007839951,184,97,1,1.3391403112038915,1.339150607395311,1.029619141945659e-05,0.0,-0.09483480063749994,0.0
621594,4,15,26.62484240940962,112,91,1,0.6685517467029172,0.6689304307634529,0.0003786840605357611,0.0,-0.05714694868578363,0.0
621594,5,12,22.787429362972073,91,78,0,0.5228433004054978,0.5204484589268645,-0.002394841478633225,0.0,-0.018162505636212245,0.0
621594,6,13,45.07809439845084,180,119,0,0.6405740056096647,0.6405740056096647,0.0,0.0,0.0,0.0
621594,7,14,31.833227308760602,125,5,1,0.2595253117610241,0.2604714522539098,0.0009461404928856609,-0.013900694372921407,-0.038333700077657795,0.0
621594,8,46,22.261865722210494,91,72,0,1.0075335133318504,1.0075335133318504,0.0,0.0,0.0,0.0
621594,9,16,34.41727213817462,137,85,7,1.1173795339793173,1.1158066836270564,-0.0015728503522609572,0.0,-0.12142058072987538,0.0
621594,10,17,24.601578151260505,100,61,2,0.813381694280281,0.8157463376638816,0.002364643383600651,0.0,-0.061820452799508985,0.0
621594,11,89,44.169369672237394,177,16,5,0.09502279502788724,0.10047959430823994,0.005456799280352698,0.0,-0.15024166630797708,0.0
621594,12,43,46.7745210656519,186,119,0,0.8880803499357626,0.888242459023445,0.00016210908768243826,0.0,-0.05050006898227366,0.0
621594,13,44,27.588611321259375,111,71,3,1.0103557236783445,1.0100795824776583,-0.0002761412006861974,0.0,-0.13735197946823519,0.0
621594,14,41,41.594610656668706,169,141,0,0.6323669844984465,0.6252650120212024,-0.0071019724772440895,0.0,-0.00587142658821449,0.0
621594,15,42,29.510021564125854,120,21,0,0.05318500196023024,0.05200836943504328,-0.0011766325251869603,0.0,0.0,0.0
621594,16,40,34.37883401124216,138,96,2,1.6673300468654588,1.668316380980798,0.0009863341153391048,0.0,-0.11143719165158927,0.0
621594,17,37,71.71042584117563,284,68,0,0.37622238383454487,0.37672296347165,0.0005005796371051474,0.0,-0.05783516614570772,0.0
621594,17,38,27.63807923978663,109,86,0,0.5691841544019667,0.571274861289794,0.0020907068878273094,0.0,-0.022048643822529357,0.0
621594,18,39,25.770177911237642,105,59,5,0.6062977792141737,0.618179752821618,0.011881973607444252,-5.684341886080802e-14,-0.12882699782653617,0.0
621594,19,36,35.2845947745641,144,77,0,0.437105020747083,0.437105020747083,0.0,0.0,-0.010159594295259922,0.0
621594,20,34,25.0447596312749,101,67,0,1.159465987230135,1.1571218458399812,-0.002344141390153709,0.0,-0.006929367049394841,0.0
621594,21,35,35.3920031810892,144,76,0,0.42574619236177114,0.42687919199488533,0.0011329996331141956,0.0,-0.021310703385836405,0.0
621594,21,96,51.011520467945346,204,112,0,0.43740383396504967,0.43740383396504967,0.0,0.0,-0.026145860672272647,0.0
621594,22,33,20.047676599023994,82,43,8,0.7313658836577019,0.7305389508089206,-0.0008269328487813254,0.0,-0.18751773827943907,0.0
621594,23,91,19.827827319595464,79,24,0,1.1213181931825034,1.1172454653479917,-0.004072727834511625,0.0,-5.684341886080802e-14,0.0
621594,24,6,23.736663177058652,98,35,4,1.158887323903457,1.1632230228420326,0.004335698938575661,0.0,-0.17182837071266022,0.0
621594,25,7,44.40730413068938,180,59,0,1.4241538316480842,1.42529910829154,0.0011452766434558725,0.0,-0.10332639124754905,0.0
621594,26,8,55.2484190095217,223,56,0,0.16775190315888722,0.16690384445331574,-0.000848058705571475,0.0,0.0,0.0
621594,27,9,26.145196791258318,103,56,0,0.3539100456341089,0.357140565625798,0.003230519991689107,0.0,-0.02452028793010186,0.0
621594,27,94,33.98895216206059,136,59,11,0.6766295013743502,0.6703270825217942,-0.006302418852556002,0.0,-0.16112640385335908,0.0
621594,28,10,27.175281655572444,109,64,5,1.03305284471503,1.0901074177969008,0.057054573081870785,0.0,-0.16990738700047814,0.0
621594,29,47,26.57841759941003,107,47,10,1.2875652632463357,1.282886213981783,-0.004679049264552759,-0.004623655899251844,-0.18457868083936546,0.0
621594,30,45,39.06461016270293,158,587,1,0.86911939062378,0.86911939062378,0.0,0.0,-0.022191837550849414,0.0
621594,31,48,17.79901844140519,71,197,2,1.1365319777062268,1.1410550498229668,0.004523072116739968,0.0,-0.038594763077185235,0.0
621594,32,95,23.031168138485516,91,37,3,1.3364492434185422,1.3466962951903838,0.010247051771841598,0.0,-0.14633300689121143,0.0
