block,permit,name,status,spud_year,permit_year,on_chm_min,baseline_p75,deficit,x,y
e1423n2235,083-10689,LAWTON 158,DEP Orphan List,1800.0,1995.0,0.05023193359375,25.25933837890625,25.2091064453125,699277.9127345644,4648109.693837286
e1423n2235,083-10701,LAWTON 5,DEP Orphan List,1800.0,1995.0,0.2001953125,25.25933837890625,25.05914306640625,700083.2418721102,4648208.584163687
e1423n2235,083-10660,WILTSIE LEASE 35,DEP Orphan List,1800.0,1995.0,15.148193359375,25.25933837890625,10.11114501953125,700207.2518908463,4647058.250221321
e1423n2235,083-10685,LAWTON 16,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,699847.6043683266,4648994.834709563
e1423n2235,083-10710,WILSON 24,DEP Orphan List,1800.0,1995.0,0.10003662109375,25.25933837890625,25.1593017578125,699714.7664082438,4648289.774107471
e1423n2235,083-11709,BROOKS 0115,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,697538.1889329391,4648944.500416771
e1423n2235,083-11874,MIDDLEBROUGH 16 A,DEP Orphan List,1800.0,1995.0,11.55084228515625,25.25933837890625,13.70849609375,700347.0644026625,4647977.10319232
e1423n2235,083-11895,MIDDLEBROUGH E024,DEP Orphan List,1800.0,1995.0,19.29351806640625,25.25933837890625,5.9658203125,700322.3179076278,4647290.306265601
e1423n2235,083-10678,LAWTON 1A,DEP Orphan List,1800.0,1995.0,15.79461669921875,25.25933837890625,9.4647216796875,700231.354083138,4648365.227639816
e1423n2235,083-08388,WIPPLE WHIPPLE PATTERSON 04,DEP Abandoned List,1925.0,1901.0,0.478912353515625,25.25933837890625,24.780426025390625,699420.9783776166,4646822.648713486
e1423n2235,083-10681,LAWTON 7,DEP Orphan List,1800.0,1995.0,19.7061767578125,25.25933837890625,5.55316162109375,699956.6921940021,4648372.708017508
e1423n2235,083-10691,LAWTON 6,DEP Orphan List,1800.0,1995.0,19.7149658203125,25.25933837890625,5.54437255859375,699303.2791546085,4648293.319788303
e1423n2235,083-11697,BROOKS 67,DEP Orphan List,1800.0,1995.0,17.38067626953125,25.25933837890625,7.878662109375,698367.1341898867,4649014.187962447
e1423n2235,083-11710,BROOKS 0116,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,697493.4525898006,4648913.0292038135
e1423n2235,083-11852,MIDDLEBROUGH 4,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,700705.422379253,4647072.315540766
e1423n2235,083-11877,MIDDLEBROUGH E 03,DEP Orphan List,1800.0,1995.0,7.75970458984375,25.25933837890625,17.4996337890625,700389.6644849083,4647978.305779578
e1423n2235,083-11880,MIDDLEBROUGH E 06,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,700569.1965926914,4647022.792596479
e1423n2235,083-11896,MIDDLEBROUGH E 025,DEP Orphan List,1800.0,1995.0,18.5650634765625,25.25933837890625,6.69427490234375,700227.137685341,4647973.719072475
e1423n2235,083-10690,LAWTON 126,DEP Orphan List,1800.0,1995.0,0.39984130859375,25.25933837890625,24.8594970703125,699290.5961618244,4648201.5067864135
e1423n2235,083-11868,MIDDLEBROUGH 21,DEP Orphan List,1800.0,1995.0,15.096435546875,25.25933837890625,10.16290283203125,700369.7817169939,4647078.170785041
e1423n2235,083-11982,WHITEHEAD 5,DEP Orphan List,1800.0,1995.0,12.740478515625,25.25933837890625,12.51885986328125,700399.1315014884,4648650.5596958455
e1423n2235,083-13392,GEORGE WARRANT 3497 DEP 1,DEP Abandoned List,1800.0,,8.23126220703125,25.25933837890625,17.028076171875,700312.3660127909,4647654.744333547
e1423n2235,083-11888,MIDDLEBROUGH E 015,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,700601.6463356992,4647221.96034953
e1423n2235,083-12009,WHITEHEAD 014,DEP Orphan List,1800.0,1995.0,16.43402099609375,25.25933837890625,8.8253173828125,700168.3993080106,4648538.810223829
e1423n2235,083-12012,WHITEHEAD WH 11,DEP Orphan List,1800.0,1995.0,16.1214599609375,25.25933837890625,9.13787841796875,700234.8255233418,4648456.783150809
e1423n2235,083-12107,K & D 5A,DEP Orphan List,1800.0,1995.0,4.02410888671875,25.25933837890625,21.2352294921875,700559.2937458515,4648054.440693233
e1423n2235,083-43001,MELVIN 43,DEP Abandoned List,1800.0,1984.0,0.0242919921875,25.25933837890625,25.23504638671875,698387.8856387172,4647820.837729425
e1423n2235,083-10657,WILTSIE LEASE 4,DEP Orphan List,1800.0,1995.0,13.5325927734375,25.25933837890625,11.72674560546875,700130.2150323801,4647086.6381524205
e1423n2235,083-10700,LAWTON 56,DEP Orphan List,1800.0,1995.0,11.27667236328125,25.25933837890625,13.982666015625,700009.2247437227,4648130.264844822
e1423n2235,083-11664,GEORGE FARM 144,DEP Orphan List,1800.0,1995.0,17.3057861328125,25.25933837890625,7.95355224609375,699394.8154644559,4648616.157005768
e1423n2235,083-11878,MIDDLEBROUGH E 04,DEP Orphan List,1800.0,1995.0,7.75970458984375,25.25933837890625,17.4996337890625,700389.6644849083,4647978.305779578
e1423n2235,083-11881,MIDDLEBROUGH E 07,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,700669.3132238875,4647040.846014684
e1423n2235,083-11885,MIDDLEBROUGH E 011,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,700697.2337111479,4647133.092966853
e1423n2235,083-11985,WHITEHEAD 011,DEP Orphan List,1800.0,1995.0,12.1240234375,25.25933837890625,13.13531494140625,700295.5742102739,4648205.68313881
e1423n2235,083-11992,WHITEHEAD WH 3,DEP Orphan List,1800.0,1995.0,4.66168212890625,25.25933837890625,20.59765625,700369.190220818,4648192.3144350555
