block,permit,name,status,spud_year,permit_year,oldest_for,on_chm,off_chm,deficit,x,y
e1423n2235,083-11892,MIDDLEBROUGH E020,DEP Orphan List,1800.0,1995.0,,,,,700714.0446451376,4647301.370472835
e1423n2235,083-11979,WHITEHEAD 2,DEP Orphan List,1800.0,1995.0,,17.805280685424805,21.955501556396484,4.15022087097168,700382.3767322486,4648265.808421681
e1423n2235,083-11995,WHITEHEAD WH 7,DEP Orphan List,1800.0,1995.0,,20.736230850219727,22.548860549926758,1.8126296997070312,700299.577612038,4648390.04496334
e1423n2235,083-11997,WHITEHEAD WH 9,DEP Orphan List,1800.0,1995.0,,18.651214599609375,17.092302322387695,-1.5589122772216797,700437.2592261482,4648645.524537129
e1423n2235,083-12010,WHITEHEAD WH 5,DEP Orphan List,1800.0,1995.0,,22.521778106689453,20.032651901245117,-2.489126205444336,700263.0569473155,4648320.448871236
e1423n2235,083-23152,SHANNON ROYALTY K02,DEP Abandoned List,1964.0,1964.0,,,,,700073.2060479617,4648802.830612289
e1423n2235,083-11875,MIDDLEBROUGH E 01,DEP Orphan List,1800.0,1995.0,,22.693317413330078,22.661392211914062,-0.031925201416015625,700377.4811628892,4647977.9618219985
e1423n2235,083-12005,WHITEHEAD 08,DEP Orphan List,1800.0,1995.0,,21.482463836669922,19.655885696411133,-1.826578140258789,700313.4561849772,4648550.682131374
e1423n2235,083-10692,LAWTON 125,DEP Orphan List,1800.0,1995.0,,23.000015258789062,20.228530883789062,-2.771484375,699380.7237637509,4648249.822190153
e1423n2235,083-10699,LAWTON 69,DEP Orphan List,1800.0,1995.0,,24.706581115722656,22.07842445373535,-2.6281566619873047,700224.2715358915,4648075.319462519
e1423n2235,083-11991,WHITEHEAD WH 2,DEP Orphan List,1800.0,1995.0,,17.269302368164062,20.83399772644043,3.564695358276367,700385.2983804068,4648323.899324011
e1423n2235,083-10683,LAWTON 68,DEP Orphan List,1800.0,1995.0,,,21.915292739868164,,699898.9277274312,4648798.030010273
e1423n2235,083-10697,LAWTON 156,DEP Orphan List,1800.0,1995.0,,20.65614891052246,21.0118350982666,0.3556861877441406,699467.8541210426,4648404.735821848
e1423n2235,083-11980,WHITEHEAD 3,DEP Orphan List,1800.0,1995.0,,19.892532348632812,20.906246185302734,1.0137138366699219,700390.7720932495,4648400.287165051
e1423n2235,083-11999,WHITEHEAD 02,DEP Orphan List,1800.0,1995.0,,25.844606399536133,24.07674789428711,-1.7678585052490234,700443.223407984,4648328.646628474
e1423n2235,083-12011,WHITEHEAD WH 10,DEP Orphan List,1800.0,1995.0,,21.520050048828125,22.9766788482666,1.4566287994384766,700442.357213465,4648523.76183283
e1423n2235,083-12127,K & D 74,DEP Orphan List,1800.0,1995.0,,,,,700721.6829299463,4648031.5827277135
e1423n2235,083-10653,WILTSIE LEASE 15,DEP Orphan List,1800.0,1995.0,,22.327070236206055,22.882877349853516,0.5558071136474609,700202.9527554886,4647210.706151868
e1423n2235,083-10704,WILSON 2,DEP Orphan List,1800.0,1995.0,,21.908035278320312,23.122461318969727,1.214426040649414,699964.8480948966,4648083.230225778
e1423n2235,083-10687,LAWTON 18,DEP Orphan List,1800.0,1995.0,,,,,699970.3629420307,4648967.733422704
e1423n2235,083-11860,MIDDLEBROUGH 12,DEP Orphan List,1800.0,1995.0,,,21.414962768554688,,700533.4291441146,4647220.033146458
e1423n2235,083-11893,MIDDLEBROUGH E 021,DEP Orphan List,1800.0,1995.0,,,,,700698.1146411916,4647316.144599292
e1423n2235,083-11986,WHITEHEAD 24,DEP Orphan List,1800.0,1995.0,,20.347177505493164,21.67466926574707,1.3274917602539062,700368.3570856533,4648116.057590869
e1423n2235,083-12002,WHITEHEAD 05,DEP Orphan List,1800.0,1995.0,,,14.889720916748047,,700445.9638121747,4648722.003818037
e1423n2235,083-11700,BROOKS 35,DEP Orphan List,1800.0,1995.0,,23.782915115356445,19.9432430267334,-3.839672088623047,697966.406716419,4649002.440501687
e1423n2235,083-11871,MIDDLEBROUGH 4 A,DEP Orphan List,1800.0,1995.0,,22.21944236755371,23.091100692749023,0.8716583251953125,700557.3298372431,4647983.041407336
e1423n2235,083-11884,MIDDLEBROUGH E010,DEP Orphan List,1800.0,1995.0,,,,,700568.2389487352,4647068.438819526
e1423n2235,083-11887,MIDDLEBROUGH E014,DEP Orphan List,1800.0,1995.0,,22.04831886291504,20.98628807067871,-1.0620307922363281,700518.6104461143,4647204.279015092
e1423n2235,083-12108,K & D 6,DEP Orphan List,1800.0,1995.0,,,19.092281341552734,,700690.4907682477,4648058.149175537
e1423n2235,083-23153,SHANNON ROYALTY KO3,DEP Abandoned List,1964.0,1964.0,,20.569339752197266,19.129745483398438,-1.4395942687988281,700074.9279742851,4648741.759275431
e1423n2235,083-11699,BROOKS N6,DEP Orphan List,1800.0,1995.0,,24.430665969848633,21.226659774780273,-3.2040061950683594,698123.1748833277,4649007.371774239
e1423n2235,083-11981,WHITEHEAD 4,DEP Orphan List,1800.0,1995.0,,19.263601303100586,20.58518409729004,1.3215827941894531,700376.7216561664,4648521.908261783
e1423n2235,083-11996,WHITEHEAD WH 8,DEP Orphan List,1800.0,1995.0,,19.36577033996582,20.350971221923828,0.9852008819580078,700385.5202801538,4648586.277160893
e1423n2235,083-23151,SHANNON ROYALTY KO1,DEP Abandoned List,1964.0,1964.0,,,,,700085.3716922433,4648909.633408682
e1423n2235,083-11659,GEORGE FARM 3,DEP Orphan List,1800.0,1995.0,,25.49643898010254,23.147958755493164,-2.348480224609375,699397.4392595824,4648738.247495148
e1423n2235,083-11663,GEORGE FARM 143,DEP Orphan List,1800.0,1995.0,,25.400426864624023,23.601900100708008,-1.7985267639160156,699387.6290444985,4648544.278576804
e1423n2235,083-11703,BROOKS 33,DEP Orphan List,1800.0,1995.0,,,,,697639.9796761959,4648993.896155916
e1423n2235,083-11879,MIDDLEBROUGH E 05,DEP Orphan List,1800.0,1995.0,,27.657346725463867,26.0524845123291,-1.6048622131347656,700493.019959996,4647020.64105729
e1423n2235,083-11899,MIDDLEBROUGH E 028,DEP Orphan List,1800.0,1995.0,,17.829008102416992,21.3052978515625,3.476289749145508,700302.9724534812,4647975.858759689
e1423n2235,083-12121,K & D 100,DEP Orphan List,1800.0,1995.0,,,,,700732.9984258616,4647866.100510134
