epoch,tr_loss,va_loss,iou_bg,iou_floor,iou_wall,miou_pit,sec
1,0.02830353993922472,0.029233116656541824,0.15614799217349082,0.0015818073967677493,0.03846454233052171,0.02002317486364473,10.556062698364258
2,0.013511014450341464,0.07973168045282364,0.35273063827682116,0.0018614367932156264,0.07101793036906007,0.03643968358113785,7.24637508392334
3,0.009659716486930847,0.012240179814398289,0.9798966231994333,0.015198878947935755,0.020921860245514637,0.018060369596725197,7.217432737350464
4,0.007598839001730084,0.006977477576583624,0.9819916409231328,0.0630348913759052,0.14074953813671154,0.10189221475630837,6.918544769287109
5,0.0066226361319422725,0.006189160048961639,0.9826430040674777,0.0310099573257468,0.16449733482087517,0.09775364607331098,7.033723592758179
6,0.005851701367646456,0.005169093841686845,0.9776831486964797,0.1318569981183963,0.1531072298943948,0.14248211400639554,6.890586853027344
7,0.005340251093730331,0.004945775028318167,0.9840759700955748,0.17456722213234105,0.14067223901831763,0.15761973057532935,6.94695782661438
8,0.004893937497399747,0.004191402695141733,0.9858931237529295,0.06061519903498191,0.1918246588576259,0.1262199289463039,6.8661048412323
9,0.004660246218554676,0.0037434592377394438,0.9836375156972649,0.1184401576436424,0.1816010519818587,0.15002060481275054,6.87482213973999
10,0.004107018141075969,0.004105454194359481,0.956964236722884,0.14582859740850193,0.14111348157873144,0.14347103949361667,6.837904930114746
11,0.003786043985746801,0.0030262120999395847,0.98051414428988,0.18242597898758356,0.21451830343254175,0.19847214121006265,6.864985942840576
12,0.0033894848776981233,0.0026473148609511554,0.9890925808861559,0.24161235819454502,0.27009428927237145,0.25585332373345826,6.84067440032959
13,0.0031373387901112437,0.0037465321365743876,0.9202613144552688,0.18893666280800397,0.1032581595648232,0.1460974111864136,6.895009994506836
14,0.0030240047723054885,0.0023173849913291633,0.99190357160025,0.5090475243587195,0.4507446557022728,0.47989609003049616,6.934868574142456
15,0.002245029387995601,0.0017704242491163313,0.9916107818360752,0.4758371040723982,0.4568701315285404,0.4663536178004693,6.91837477684021
16,0.002214941836427897,0.0023722737096250057,0.9650034543344681,0.3408715747771542,0.1747190881613253,0.2577953314692397,6.897603511810303
17,0.002380620827898383,0.001648150384426117,0.9868065131430384,0.42243346007604565,0.3231660429589378,0.37279975151749173,7.543829441070557
18,0.0019313835306093096,0.002087522065266967,0.9745248508831584,0.1744889365285966,0.24756259129666747,0.21102576391263203,6.048872947692871
19,0.0018981193192303182,0.0021765619749203324,0.9939468003590849,0.33530239099859355,0.5001775410563692,0.4177399660274814,6.969210386276245
20,0.001937306160107255,0.001329261518549174,0.995709203813059,0.624674949436579,0.5640551290352419,0.5943650392359104,6.9716737270355225
21,0.0016258546384051442,0.0015191977727226913,0.9923176652852849,0.47907542579075424,0.4532805235061133,0.4661779746484338,7.001423358917236
22,0.0016056961729191243,0.002219826157670468,0.9943153156742067,0.45271676300578034,0.48585502530730296,0.46928589415654165,7.029725074768066
23,0.0015150097897276282,0.0013414107379503548,0.9854522569786922,0.4914958569559529,0.33828473488760463,0.41489029592177873,6.92283034324646
24,0.0013783324277028442,0.0019454046851024032,0.9940012489997682,0.38159340659340657,0.4954167373960278,0.4385050719947172,6.944565773010254
25,0.0013897571829147638,0.0009708830621093512,0.9919253821806182,0.5350230414746544,0.470284563082347,0.5026538022785008,6.891964435577393
26,0.0014296523935627193,0.0012570269173011184,0.989071109331784,0.5314345258770407,0.42786382379563515,0.4796491748363379,6.902359962463379
27,0.0014362189918756484,0.0012055057450197637,0.992258017295468,0.5758738277919864,0.48761075236522,0.5317422900786032,6.898910284042358
28,0.0015747671481221915,0.0009955853747669607,0.989102331646658,0.4452709883103082,0.3567273795534665,0.4009991839318874,6.885798215866089
29,0.0013757444801740348,0.0010977802448906004,0.9938028179838361,0.5656002348106839,0.48499160779109257,0.5252959213008882,6.893996238708496
30,0.0013002846273593605,0.0011827372945845127,0.99262005921255,0.5487373737373737,0.46392681405502806,0.5063320938962009,6.927569389343262
31,0.0011869574373122305,0.001147297560237348,0.9876748077631823,0.4392667466164125,0.3726366535265021,0.4059517000714573,6.883326768875122
32,0.001286157825961709,0.0009771359036676586,0.9924426601259461,0.5669654289372599,0.46681208053691275,0.5168887547370863,6.914231300354004
33,0.001258885022252798,0.001035040826536715,0.9911036780301866,0.5031630170316301,0.40302432610124916,0.45309367156643965,6.914940118789673
34,0.0012381867971271276,0.0011568456247914582,0.9939086377254562,0.5367278797996661,0.4581172800472155,0.4974225799234408,6.9020562171936035
35,0.0011608275875914843,0.0011556908139027655,0.9915729728245714,0.5924018029620091,0.48606112539274493,0.539231464177377,6.939352035522461
36,0.0011268044356256724,0.0011609396315179765,0.9903544826331098,0.5646800877018139,0.44505994212484495,0.5048700149133294,6.917684316635132
37,0.0012187748099677265,0.0010333078098483384,0.9903892914194843,0.5258043619088749,0.425526384195477,0.47566537305217593,6.947683811187744
38,0.0011014944175258279,0.0012428570189513266,0.9875290759425808,0.467474816458938,0.40050336359787364,0.4339890900284058,6.854859828948975
39,0.0010626638890244068,0.001087585318600759,0.9898295059736625,0.5023873780361221,0.4008269175933847,0.4516071478147534,6.927073001861572
40,0.0011011858819983899,0.001071459788363427,0.9911003571617929,0.5766097750193949,0.4809186900359115,0.5287642325276531,6.912275791168213
