config,floor_pixel_iou,wall_pixel_iou,mean_pit_iou,median_pit_iou,detected_ge_10pct,iou_gt_0.3,n_test_pits,n_dropped
baseline,0.42176,0.45790513833992097,0.6771568342662755,0.7152278480585976,20,18,20,0
v3_safe,0.38288874430709174,0.4318728432500261,0.5996114807465445,0.6764858830545004,18,16,20,72
v3_moderate,0.38288874430709174,0.43446244477172313,0.5996114807465445,0.6764858830545004,18,16,20,138
v3_aggressive,0.38288874430709174,0.43664428820637524,0.5996114807465445,0.6764858830545004,18,16,20,237
v3_line_only,0.38288874430709174,0.42376359532115737,0.5996114807465445,0.6764858830545004,18,16,20,13
