epoch,tr_loss,val_road_iou,sec
1,0.007183063573534528,0.3780654077888585,239.20851850509644
2,0.004252552024964629,0.3778005604933688,230.64403986930847
3,0.0038483900068100986,0.41008396067273833,230.30456686019897
4,0.0035854482735565097,0.39198293271757084,230.5687825679779
5,0.003388569554268175,0.418758414177786,230.3350706100464
6,0.0032605100275316505,0.4040666025303353,230.3501057624817
7,0.0032085752008492465,0.4189065566159989,230.44893169403076
8,0.003011351106103288,0.42530394982691444,230.57558798789978
9,0.002897949224890456,0.45483671051004054,230.65259671211243
10,0.002814720303346186,0.44988979786269445,230.43540167808533
11,0.0026558653226513127,0.43958411538052145,230.41186928749084
12,0.002584305883824362,0.45098532301984406,230.52841782569885
13,0.00246291679970756,0.448931820105106,230.37185096740723
14,0.0023989340880345264,0.4758458048559077,230.56521558761597
15,0.0023097275600073752,0.4585353802339127,230.87984132766724
16,0.002263486126125332,0.47477180359554133,230.51454734802246
17,0.0021550263993869116,0.4936841880006062,230.4663474559784
18,0.002098916659515877,0.47202559104255043,231.38622522354126
19,0.0020510106258681817,0.48260177432407025,230.5398621559143
20,0.001988649979164978,0.484987095338824,230.4600534439087
21,0.0019405393188980944,0.49538236623265947,230.55162286758423
22,0.0019174639358477176,0.49000491568590027,230.53357100486755
23,0.0018350921789608858,0.4970877135465792,230.515300989151
24,0.0017900511689835175,0.49534797947068027,230.54893827438354
25,0.0017712316852047257,0.5002839859574085,230.58616757392883
26,0.001760118362814106,0.4938977880812079,230.5395040512085
27,0.0017138600974178444,0.500184487689818,230.51499557495117
28,0.001706848922230839,0.49784724089099247,230.4542863368988
29,0.0017045928077703495,0.5019324656733306,230.4134862422943
30,0.0016908563394974097,0.5015165295563051,230.6179642677307
