pit_bottom_elev_m,rim_mean_elev_m,rim_max_elev_m,depth_from_rim_mean_m,depth_from_rim_max_m,rim_radius_m,effective_radius_m,diameter_m,aspect_ratio,rim_symmetry_std_m,volume_approx_m3,lrm5_depth_m,lrm11_depth_m,slope_inner_deg,original_index,x,y,tile,notes,max_zscore,mean_zscore,mahalanobis,iso_anomaly_score,anomaly_rank
522.7094,522.7057,522.7722,-0.0037,0.0627,1.0000,5.0990,2.0000,-0.0019,0.1040,-0.0039,0.1401,0.4359,10.5715,639,700013.0943,4646875.6612,dem_mk5_1m,,3.2831,2.0349,5.7094,0.6160,26
409.2830,409.3237,409.3994,0.0407,0.1165,1.0000,5.0000,2.0000,0.0204,0.1670,0.0427,0.0260,0.3630,10.4153,462,622480.2115,4595417.7499,dem_9t_1m,,3.2831,1.8577,5.6452,0.6163,27
387.2160,389.0773,390.2218,1.8613,3.0058,7.0000,5.8310,14.0000,0.1330,1.1238,95.5097,-0.2996,-1.0176,14.6375,43,622457.1337,4595067.5642,dem_9t_1m,,4.0176,1.8534,5.4946,0.6226,28
469.5421,469.6686,469.8807,0.1265,0.3387,2.0000,5.6569,4.0000,0.0316,0.1120,0.5300,-0.0967,0.0128,3.8747,539,698873.4057,4647941.8019,dem_mk5_1m,,2.5685,1.4277,5.4325,0.5651,29
458.3123,458.4492,459.7383,0.1368,1.4260,7.0000,5.0990,14.0000,0.0098,1.2661,7.0217,-0.0870,0.1362,6.0142,199,621565.2630,4594263.1721,dem_9t_1m,,2.0290,1.1730,5.3812,0.5199,30
520.7002,520.7172,520.7579,0.0170,0.0577,1.0000,5.0990,2.0000,0.0085,0.0524,0.0178,0.0119,0.1763,4.3604,636,700376.5790,4646929.1506,dem_mk5_1m,,3.2831,1.8965,5.3050,0.6056,31
473.8301,474.7844,475.4543,0.9543,1.6242,7.0000,6.4031,14.0000,0.0682,0.2111,48.9653,-0.0585,-0.3258,1.6092,581,700034.3685,4649186.0379,dem_mk5_1m,,2.6109,0.9732,5.2572,0.4962,32
413.2109,414.6375,415.6088,1.4265,2.3978,4.0000,5.0990,8.0000,0.1783,0.5064,23.9015,-0.5468,-1.1389,22.2098,188,621739.0475,4594350.8014,dem_9t_1m,,3.5760,1.6967,5.2166,0.6348,33
542.9009,543.6899,545.4216,0.7890,2.5208,7.0000,5.8310,14.0000,0.0564,1.6845,40.4858,0.0536,-0.1077,9.4054,679,698303.6051,4649182.1014,dem_mk5_1m,,3.0089,1.0799,5.2123,0.5168,34
476.6844,477.6216,477.8115,0.9371,1.1271,3.5000,5.3852,7.0000,0.1339,0.1225,12.0217,-0.5430,-0.8134,19.7604,503,619600.8919,4596223.2845,dem_9t_1m,,2.8665,1.3557,5.2054,0.5513,35
605.1219,605.1198,605.1963,-0.0021,0.0744,1.0000,5.0990,2.0000,-0.0011,0.1070,-0.0022,0.0645,0.2992,9.6757,662,700211.5521,4648176.4258,dem_mk5_1m,,3.2831,1.9168,5.1866,0.6091,36
510.7459,511.7962,514.3421,1.0503,3.5962,7.0000,5.3852,14.0000,0.0750,1.4884,53.8933,-0.3863,-0.6728,15.7492,671,699175.6511,4648194.2809,dem_mk5_1m,,3.1788,1.3476,5.1181,0.5524,37
505.3510,506.6943,508.6374,1.3432,3.2863,7.0000,5.7439,14.0000,0.0959,1.5602,68.9248,-0.1626,-0.4966,22.7311,672,698913.6747,4648245.3389,dem_mk5_1m,,2.8060,1.4984,5.1132,0.5814,38
540.8144,541.5211,544.0894,0.7067,3.2750,7.0000,5.8310,14.0000,0.0505,1.4828,36.2640,-0.1201,-0.4502,5.3585,676,700043.8091,4647329.1299,dem_mk5_1m,,2.6981,0.9363,5.0445,0.4851,39
487.9693,487.9756,488.0061,0.0063,0.0368,1.0000,5.0990,2.0000,0.0031,0.0588,0.0066,0.0825,0.2533,7.0261,648,699401.6134,4647059.2270,dem_mk5_1m,,3.2831,1.9406,5.0058,0.6093,40
470.8595,472.1743,473.1286,1.3148,2.2692,4.0000,5.0990,8.0000,0.1643,0.7372,22.0295,-0.6360,-1.0305,20.8802,467,623079.3667,4595717.1637,dem_9t_1m,,3.5903,1.6688,4.9987,0.6164,41
408.3300,409.1096,409.5901,0.7796,1.2601,3.5000,5.3852,7.0000,0.1114,0.3521,10.0009,-0.2892,-0.6362,13.8090,372,623687.3669,4596786.2415,dem_9t_1m,,1.4965,0.8434,4.9434,0.4750,42
455.7232,457.1702,458.1729,1.4470,2.4497,7.0000,5.3852,14.0000,0.1034,0.8415,74.2506,-0.4409,-1.0998,17.4054,429,619546.6764,4595273.7757,dem_9t_1m,,2.7919,1.5328,4.9188,0.5854,43
413.4873,414.6702,416.2482,1.1829,2.7609,6.5000,5.6569,13.0000,0.0910,1.3736,52.3346,-0.3521,-0.9221,15.0093,452,622887.7288,4594615.1635,dem_9t_1m,,2.1995,1.2596,4.9115,0.5365,44
496.0118,496.1405,496.2914,0.1287,0.2796,3.0000,4.4721,6.0000,0.0215,0.0679,1.2132,-0.0943,-0.0621,3.6406,163,620170.2369,4594337.6979,dem_9t_1m,,3.0369,1.5606,4.8718,0.5441,45
628.5958,629.7854,631.7034,1.1896,3.1077,7.0000,5.8310,14.0000,0.0850,1.7515,61.0434,-0.0543,-0.4733,7.8851,605,699759.0197,4648297.3847,dem_mk5_1m,,3.1833,1.2644,4.8705,0.5264,46
