pit_bottom_elev_m,rim_mean_elev_m,rim_max_elev_m,depth_from_rim_mean_m,depth_from_rim_max_m,rim_radius_m,effective_radius_m,diameter_m,aspect_ratio,rim_symmetry_std_m,volume_approx_m3,lrm5_depth_m,lrm11_depth_m,slope_inner_deg,original_index,tile,notes,max_zscore,mean_zscore,mahalanobis,iso_anomaly_score,anomaly_rank,PC1_depth_volume,PC2_size_vs_slope,PC3_rim_asymmetry,z_depth_from_rim_mean_m,z_depth_from_rim_max_m,z_rim_radius_m,z_effective_radius_m,z_diameter_m,z_aspect_ratio,z_rim_symmetry_std_m,z_volume_approx_m3,z_lrm5_depth_m,z_lrm11_depth_m,z_slope_inner_deg,anomaly_reason,anomaly_reason_zscore
554.3181,554.9720,556.7870,0.6539,2.4689,7.0000,5.7439,14.0000,0.0467,1.1457,33.5549,0.1268,-0.0298,17.0155,627,dem_mk5_1m,,2.3434,1.1220,6.6815,0.5205,15,0.6285,2.5609,2.1502,-0.1476,1.4916,1.0048,0.6827,1.0048,-0.5213,1.6063,0.4456,2.3436,1.4545,1.6402,lrm5_depth_m,2.3436
436.5246,437.3387,437.9764,0.8141,1.4518,3.5000,5.0495,7.0000,0.1163,0.4373,10.4429,-0.5671,-0.4840,19.4604,351,dem_9t_1m,,3.0545,1.1605,6.5773,0.5456,16,0.3919,-4.3755,1.2006,0.3128,-0.0307,-1.4965,-1.3482,-1.4965,1.6454,-0.2377,-0.8869,-3.0542,-0.1175,2.1389,lrm5_depth_m,-3.0542
478.4638,479.6771,480.1212,1.2133,1.6574,3.5000,5.0000,7.0000,0.1733,0.3764,15.5650,-0.6208,-0.8881,22.6632,330,dem_9t_1m,,3.4723,1.6739,6.4625,0.6151,17,2.3386,-5.8922,0.7261,1.4600,0.2770,-1.4965,-1.4929,-1.4965,3.4198,-0.3963,-0.5916,-3.4719,-1.5160,2.7921,lrm5_depth_m,-3.4719
457.3885,458.4867,459.5957,1.0982,2.2073,4.5000,5.0990,9.0000,0.1220,0.5230,23.2883,-0.6622,-0.9366,18.8317,499,dem_9t_1m,,3.7942,1.3154,6.4132,0.5434,18,2.6785,-4.2724,1.0170,1.1292,1.1001,-0.7818,-1.2034,-0.7818,1.8228,-0.0147,-0.1463,-3.7940,-1.6839,2.0107,lrm5_depth_m,-3.7940
456.4511,458.4260,460.0983,1.9749,3.6472,7.0000,5.8310,14.0000,0.1411,1.2946,101.3350,-0.3038,-1.0235,11.7299,241,dem_9t_1m,,4.3535,2.0152,6.3533,0.6577,19,7.3796,0.1693,0.4345,3.6486,3.2552,1.0048,0.9375,1.0048,2.4174,1.9939,4.3535,-1.0060,-1.9847,0.5622,volume_approx_m3,4.3535
571.6695,573.1904,575.4685,1.5209,3.7990,7.0000,5.8310,14.0000,0.1086,1.6785,78.0401,-0.1450,-0.4955,15.2955,614,dem_mk5_1m,,3.4824,1.6236,6.1039,0.5848,20,5.4071,1.4893,2.3196,2.3439,3.4824,1.0048,0.9375,1.0048,1.4057,2.9933,3.0104,0.2293,-0.1573,1.2894,depth_from_rim_max_m,3.4824
487.3906,487.6916,487.9792,0.3010,0.5886,3.0000,4.2426,6.0000,0.0502,0.1319,2.8368,-0.2041,-0.0986,8.5885,210,dem_9t_1m,,3.7081,1.2906,5.8682,0.5228,21,-3.8214,-2.8164,1.2503,-1.1618,-1.3227,-1.8538,-3.7081,-1.8538,-0.4123,-1.0327,-1.3254,-0.2304,1.2164,-0.0785,effective_radius_m,-3.7081
562.2944,563.0709,565.5363,0.7764,3.2419,7.0000,5.2421,14.0000,0.0555,1.8021,39.8406,-0.0944,-0.1508,23.8214,682,dem_mk5_1m,,3.3150,1.3370,5.8382,0.5689,22,2.3435,1.2730,4.6455,0.2044,2.6486,1.0048,-0.7849,1.0048,-0.2474,3.3150,0.8080,0.6229,1.0358,3.0283,rim_symmetry_std_m,3.3150
558.8047,558.8462,558.8765,0.0414,0.0718,1.0000,5.0990,2.0000,0.0207,0.1025,0.0434,0.0130,0.1414,7.0194,602,dem_mk5_1m,,3.2831,1.7821,5.8155,0.6029,23,-5.9156,-1.8169,0.2968,-1.9078,-2.0962,-3.2831,-1.2034,-3.2831,-1.3307,-1.1093,-1.4865,1.4583,2.0471,-0.3985,rim_radius_m,-3.2831
438.4624,438.4623,438.5234,-0.0001,0.0610,1.0000,5.0990,2.0000,-0.0001,0.0693,-0.0001,0.1166,0.4236,8.6737,273,dem_9t_1m,,3.2831,1.9927,5.7905,0.6147,24,-6.6947,-1.1766,0.6831,-2.0270,-2.1123,-3.2831,-1.2034,-3.2831,-1.9782,-1.1957,-1.4890,2.2642,3.0237,-0.0611,rim_radius_m,-3.2831
544.7051,545.0609,547.1589,0.3558,2.4537,7.0000,5.0990,14.0000,0.0254,1.8583,18.2557,-0.1401,-0.0250,20.8117,661,dem_mk5_1m,,3.4613,1.3564,5.7299,0.5595,25,0.3928,1.5339,4.7996,-1.0043,1.4689,1.0048,-1.2034,1.0048,-1.1844,3.4613,-0.4364,0.2674,1.4711,2.4145,rim_symmetry_std_m,3.4613
522.7094,522.7057,522.7722,-0.0037,0.0627,1.0000,5.0990,2.0000,-0.0019,0.1040,-0.0039,0.1401,0.4359,10.5715,639,dem_mk5_1m,,3.2831,2.0349,5.7094,0.6160,26,-6.6935,-1.1918,0.8991,-2.0374,-2.1098,-3.2831,-1.2034,-3.2831,-2.0342,-1.1054,-1.4892,2.4470,3.0663,0.3259,rim_radius_m,-3.2831
409.2830,409.3237,409.3994,0.0407,0.1165,1.0000,5.0000,2.0000,0.0204,0.1670,0.0427,0.0260,0.3630,10.4153,462,dem_9t_1m,,3.2831,1.8577,5.6452,0.6163,27,-6.0956,-1.8806,0.9870,-1.9098,-2.0293,-3.2831,-1.4929,-3.2831,-1.3400,-0.9414,-1.4865,1.5595,2.8140,0.2941,rim_radius_m,-3.2831
387.2160,389.0773,390.2218,1.8613,3.0058,7.0000,5.8310,14.0000,0.1330,1.1238,95.5097,-0.2996,-1.0176,14.6375,43,dem_9t_1m,,4.0176,1.8534,5.4946,0.6226,28,6.6724,-0.1775,0.1181,3.3222,2.2952,1.0048,0.9375,1.0048,2.1653,1.5493,4.0176,-0.9733,-1.9642,1.1552,volume_approx_m3,4.0176
469.5421,469.6686,469.8807,0.1265,0.3387,2.0000,5.6569,4.0000,0.0316,0.1120,0.5300,-0.0967,0.0128,3.8747,539,dem_mk5_1m,,2.5685,1.4277,5.4325,0.5651,29,-4.6333,-0.9688,-0.7184,-1.6632,-1.6967,-2.5685,0.4283,-2.5685,-0.9914,-1.0845,-1.4584,0.6050,1.6020,-1.0399,rim_radius_m,-2.5685
