epoch,tr_loss,va_loss,iou_c0,iou_c1,iou_c2,miou_pos,sec
1,0.016627136431634427,0.019980686716735363,0.9901304244995117,0.0,0.0,0.0,3.722701072692871
2,0.010313701815903187,0.009070429485291243,0.9912452697753906,0.0,0.0,0.0,2.673985004425049
3,0.008932178607210517,0.008957331534475088,0.9887762069702148,0.0,0.0,0.0,2.629405975341797
4,0.009193477220833302,0.007064266595989466,0.9919223785400391,0.0,0.0,0.0,2.6040427684783936
5,0.008496109023690223,0.00732405623421073,0.9914159774780273,0.0,0.0,0.0,2.6362972259521484
6,0.00894774878397584,0.007126010023057461,0.9918150901794434,0.0,0.0,0.0,2.5771963596343994
7,0.0072845260612666605,0.00771765667013824,0.9893593788146973,0.0,0.0,0.0,2.63236141204834
8,0.008219145098701119,0.006763599114492536,0.9910211563110352,0.0,0.0,0.0,2.597874164581299
9,0.007548385858535766,0.0064267925918102264,0.9919757843017578,0.0,0.0,0.0,2.5876989364624023
10,0.007477013859897852,0.007120135240256786,0.9903850555419922,0.0,0.0,0.0,2.5957653522491455
11,0.00800761473365128,0.006875603459775448,0.9911422729492188,0.0,0.0,0.0,2.584470272064209
12,0.007422324037179351,0.007450913079082966,0.9900884628295898,0.0,0.0,0.0,2.584231376647949
13,0.007376808673143387,0.006859824992716312,0.9904775619506836,0.0,0.0,0.0,2.6150753498077393
14,0.007130778720602393,0.007088422076776624,0.9896597862243652,0.0,0.0,0.0,2.579362630844116
15,0.007669812021777034,0.0075935362838208675,0.9887871742248535,0.0,0.0,0.0,2.621450424194336
16,0.00751013164408505,0.006106245564296842,0.9916400909423828,0.0,0.0,0.0,2.588730812072754
17,0.006947388872504234,0.006366772809997201,0.9914135932922363,0.0,0.0,0.0,2.5907363891601562
18,0.007540077483281493,0.0058221176732331514,0.9921374320983887,0.0,0.0,0.0,2.6059749126434326
19,0.007207290688529611,0.006220454117283225,0.9912643432617188,0.0,0.0,0.0,2.582974672317505
20,0.007193519966676831,0.0072424334939569235,0.9894890785217285,0.0,0.0,0.0,2.590319871902466
21,0.0072000905405730006,0.006011885358020663,0.9916400909423828,0.0,0.0,0.0,2.597278594970703
22,0.006927436869591475,0.006258299108594656,0.991302490234375,0.0,0.0,0.0,2.614105463027954
23,0.007735695829614997,0.0060593819944188,0.9915447235107422,0.0,0.0,0.0,2.595621109008789
24,0.006898025888949633,0.006361918989568949,0.9908657073974609,0.0,0.0,0.0,2.607788324356079
25,0.007388679822906852,0.00690454663708806,0.9898300170898438,0.0,0.0,0.0,2.600339412689209
26,0.006874026637524367,0.005903779761865735,0.9917969703674316,0.0,0.0,0.0,2.6248223781585693
27,0.006541032623499632,0.005776515230536461,0.9921002388000488,0.0,0.0,0.0,2.601811170578003
28,0.006686265487223864,0.006248099030926824,0.9912314414978027,0.0,0.0,0.0,2.5929818153381348
29,0.007719141524285078,0.006722282152622938,0.9900808334350586,0.0,0.0,0.0,2.6139793395996094
30,0.007287305826321244,0.0068196074571460485,0.989898681640625,0.0,0.0,0.0,2.5872409343719482
31,0.007544616935774684,0.006645831745117903,0.9903388023376465,0.0,0.0,0.0,2.574052333831787
32,0.007200910476967692,0.006113413022831082,0.9912829399108887,0.0,0.0,0.0,2.5946452617645264
33,0.007027924759313464,0.006556875072419643,0.9903550148010254,0.0,0.0,0.0,2.5879006385803223
34,0.006528093619272113,0.006279189954511821,0.9909396171569824,0.0,0.0,0.0,2.6262190341949463
35,0.007260856078937649,0.007012442220002413,0.9894733428955078,0.0,0.0,0.0,2.5726773738861084
36,0.007036760123446584,0.00614239159040153,0.9911308288574219,0.0,0.0,0.0,2.611281394958496
37,0.0075158683583140375,0.005856179399415851,0.9916167259216309,0.0,0.0,0.0,2.596845865249634
38,0.007219494553282857,0.006506995065137744,0.9903960227966309,0.0,0.0,0.0,2.6105751991271973
39,0.0071097536943852905,0.007444397313520312,0.9887714385986328,0.0,0.0,0.0,2.592188596725464
40,0.006723641976714134,0.007057125214487314,0.9893884658813477,0.0,0.0,0.0,2.6200835704803467
