filename,min_x,min_y,max_x,max_y,point_format
USGS_LPC_PA_WesternPA_2019_D20_17TPF615599.laz,615000.0,4599000.0,616499.99,4600499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF616591.laz,616500.0,4591500.0,617999.99,4592999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF616593.laz,616500.0,4593000.0,617999.99,4594499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF616594.laz,616500.0,4594500.0,617999.99,4595999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF616596.laz,616500.0,4596000.0,617999.99,4597499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF616597.laz,616500.0,4597500.0,617999.99,4598999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF616599.laz,616500.0,4599000.0,617999.99,4600499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF618591.laz,618000.0,4591500.0,619499.99,4592999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF618593.laz,618000.0,4593000.0,619499.99,4594499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF618594.laz,618000.0,4594500.0,619499.99,4595999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF618596.laz,618000.0,4596000.0,619499.99,4597499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF618597.laz,618000.0,4597500.0,619499.99,4598999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF618599.laz,618000.0,4599000.0,619499.99,4600499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF619591.laz,619500.0,4591500.0,620999.99,4592999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF619593.laz,619500.0,4593000.0,620999.99,4594499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF619594.laz,619500.0,4594500.0,620999.99,4595999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF619596.laz,619500.0,4596000.0,620999.99,4597499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF619597.laz,619500.0,4597500.0,620999.99,4598999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF619599.laz,619500.0,4599000.0,620999.99,4600499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF621591.laz,621000.0,4591500.0,622499.99,4592999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF621593.laz,621000.0,4593000.0,622499.99,4594499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF621594.laz,621000.0,4594500.0,622499.99,4595999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF621596.laz,621000.0,4596000.0,622499.99,4597499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF621597.laz,621000.0,4597500.0,622499.99,4598999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF621599.laz,621000.0,4599000.0,622499.99,4600499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF622591.laz,622500.0,4591500.0,623999.99,4592999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF622593.laz,622500.0,4593000.0,623999.99,4594499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF622594.laz,622500.0,4594500.0,623999.99,4595999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF622596.laz,622500.0,4596000.0,623999.99,4597499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF622597.laz,622500.0,4597500.0,623999.99,4598999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF622599.laz,622500.0,4599000.0,623999.99,4600499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF624591.laz,624000.0,4591500.0,625499.99,4592999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF624593.laz,624000.0,4593000.0,625499.99,4594499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF624594.laz,624000.0,4594500.0,625499.99,4595999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF624596.laz,624000.0,4596000.0,625499.99,4597499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF624597.laz,624000.0,4597500.0,625499.99,4598999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPF624599.laz,624000.0,4599000.0,625499.99,4600499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG604600.laz,604500.0,4600500.0,605999.99,4601999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG604602.laz,604500.0,4602000.0,605999.99,4603499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG604603.laz,604500.0,4603500.0,605999.99,4604999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG604605.laz,604500.0,4605000.0,605999.99,4606499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG604606.laz,604500.0,4606500.0,605999.99,4607999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG604608.laz,604500.0,4608000.0,605999.99,4609499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG606600.laz,606000.0,4600500.0,607499.99,4601999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG606602.laz,606000.0,4602000.0,607499.99,4603499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG606603.laz,606000.0,4603500.0,607499.99,4604999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG606605.laz,606000.0,4605000.0,607499.99,4606499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG606606.laz,606000.0,4606500.0,607499.99,4607999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG606608.laz,606000.0,4608000.0,607499.99,4609499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG607600.laz,607500.0,4600500.0,608999.99,4601999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG607602.laz,607500.0,4602000.0,608999.99,4603499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG607603.laz,607500.0,4603500.0,608999.99,4604999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG607605.laz,607500.0,4605000.0,608999.99,4606499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG607606.laz,607500.0,4606500.0,608999.99,4607999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG607608.laz,607500.0,4608000.0,608999.99,4609499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG609600.laz,609000.0,4600500.0,610499.99,4601999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG609602.laz,609000.0,4602000.0,610499.99,4603499.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG609603.laz,609000.0,4603500.0,610499.99,4604999.99,6
USGS_LPC_PA_WesternPA_2019_D20_17TPG609605.laz,609000.0,4605000.0,610499.99,4606499.99,6
