n,median,mean,rmse,sd,p95,iqr,tile,group,available
39967,-0.0035858086085909235,-0.001415839318145023,0.0666251630223411,0.06661011745056995,0.1389275165235176,0.06308133531982207,616591,"excluded, wide angle",1019614
15219,-0.0012873439324607716,0.0002929351948094268,0.07047308513817198,0.07047247631425817,0.15099586804173537,0.06215491042249255,616591,"accepted, wide angle",2778434
0,,,,,,,616591,"accepted, narrow angle",3060461
39966,-0.005969000232880717,-0.0033146852959956203,0.06524819232013129,0.06516394296260279,0.1368836629446406,0.060819705443790895,621594,"excluded, wide angle",1163382
13600,-0.0030216781007084137,-0.001920220061127116,0.09873977057111384,0.09872109727587638,0.11935389012101892,0.04946172338878796,621594,"accepted, wide angle",2602523
0,,,,,,,621594,"accepted, narrow angle",3449186
