area,block,tile,angle,at_ground_returns,pct_called_ground
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619596,9.5,110484,99.05416168857028
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619596,10.5,110343,98.91973210806304
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619596,11.5,109669,98.8620302911488
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619596,12.5,110507,98.72406272905788
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619596,13.5,110665,98.45841051823068
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619596,14.5,111655,97.6919976713985
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619596,15.5,115698,93.15027053190202
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619596,16.5,123526,89.36823017016661
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619596,17.5,141959,88.82423798420672
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619596,18.5,204230,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF619596,19.5,195233,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621594,0.5,111247,97.42195295154026
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621594,1.5,111979,97.05212584502452
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621594,2.5,113563,96.87838468515272
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621594,3.5,148376,96.9179651695692
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621594,4.5,149166,96.88333802609174
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621594,5.5,110096,96.514859758756
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621594,6.5,109494,96.9368184558058
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621594,7.5,110451,97.19604168364252
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621594,8.5,109833,97.39149435961868
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621594,9.5,110470,97.329591744365
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621594,10.5,110793,97.07472493749604
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621594,11.5,109590,97.4249475317091
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621594,12.5,110926,97.01602870382057
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621594,13.5,111108,96.27929582028295
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621594,14.5,111220,95.51339687106636
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621594,15.5,115468,91.48335469567326
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621594,16.5,122795,87.59884360112382
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621594,17.5,139476,85.52008947775963
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621594,18.5,195072,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621594,19.5,191103,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621596,0.5,113991,99.73594406575955
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621596,1.5,114275,99.68147013782544
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621596,2.5,130700,99.5646518745218
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621596,3.5,165039,99.39771811511218
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621596,4.5,130391,99.22080511691756
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621596,5.5,111636,99.13737504030958
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621596,6.5,112097,98.72877953914912
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621596,7.5,111449,98.28082800204578
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621596,8.5,110114,98.27542365185172
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621596,9.5,111146,98.3058319687618
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621596,10.5,111108,98.3817546891313
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621596,11.5,110714,98.15831782791696
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621596,12.5,112012,98.35106952826484
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621596,13.5,112310,98.55133113703144
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621596,14.5,112853,98.01688922757924
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621596,15.5,116387,94.3576172596596
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621596,16.5,123367,90.56068478604487
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621596,17.5,137771,89.68796045611921
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621596,18.5,178661,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621596,19.5,270490,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621593,0.5,106836,98.6100190946872
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621593,1.5,106826,98.6913298260723
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621593,2.5,105887,98.52106490881788
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621593,3.5,109320,98.41017197219172
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621593,4.5,149520,97.49933119315142
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621593,5.5,148208,97.08922595271513
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621593,6.5,119210,96.37446522942706
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621593,7.5,111993,96.0738617592171
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621593,8.5,111012,95.84999819839295
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621593,9.5,111236,95.16523427667302
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621593,10.5,110051,94.5116355144433
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621593,11.5,110361,93.9199536067995
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF621593,12.5,109700,93.42206016408386
