points,lines,ground_pct,max_ang,cut,lost,flown,area,colour,tile,block
10086789,2,33.0473850498905,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1427n2242,McKean 2019-04
7900038,2,42.15629089379064,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1428n2235,McKean 2019-04
8966547,2,39.67186030475276,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1428n2236,McKean 2019-04
10129740,2,36.11953515095156,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1428n2237,McKean 2019-04
8848248,2,42.09396029586874,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1428n2238,McKean 2019-04
10655304,2,31.70806764405783,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1428n2239,McKean 2019-04
8874129,2,34.70277477372709,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1428n2240,McKean 2019-04
8424783,2,29.49344808050249,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1428n2241,McKean 2019-04
7575159,3,31.33985702478324,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1428n2242,McKean 2019-04
7821264,2,39.36560637769036,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1429n2235,McKean 2019-04
7422423,2,39.3917323224505,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1429n2236,McKean 2019-04
8701779,2,36.34887762605785,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1429n2237,McKean 2019-04
10132074,2,34.46848098424864,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1429n2238,McKean 2019-04
11684313,2,31.805515651626244,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1429n2239,McKean 2019-04
11921214,2,30.763049803484776,30.0,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1429n2240,McKean 2019-04
11700186,2,28.49988025831384,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1429n2241,McKean 2019-04
11068908,2,29.614303416380373,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1429n2242,McKean 2019-04
11472249,2,34.55432321944895,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1430n2235,McKean 2019-04
10399377,2,39.18785711874855,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1430n2236,McKean 2019-04
11993142,2,32.959311246377304,28.99800109863281,,0,2019-04-04,"PA Northcentral 2019 B19  (McKean, QL1)",#C43E1C,e1430n2237,McKean 2019-04
3487965,5,77.5640237215683,0.0,,0,2011-09-14,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,008_002886,Venango 2011-09
3730581,5,67.76716548977224,0.0,,0,2011-09-14,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,008_002887,Venango 2011-09
3822105,5,56.27310081748147,0.0,,0,2011-09-14,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,008_002888,Venango 2011-09
3402903,4,65.77583904096002,0.0,,0,2011-09-14,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,008_003021,Venango 2011-09
3629367,4,54.40783475465556,0.0,,0,2011-09-14,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,008_003022,Venango 2011-09
3525822,4,60.14708059567386,0.0,,0,2011-09-14,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,008_003023,Venango 2011-09
10944747,2,65.6417914457045,28.99800109863281,,0,2019-11-26,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TNE562464,Venango 2019-11
