tile,class,points,share,was_class1
621594,1,1475763,0.16477299879191723,1475763
621594,2,6051709,0.6756899581748794,0
621594,3,170506,0.01903746396407461,170506
621594,4,148480,0.016578200470281388,148480
621594,5,1068528,0.11930409073349159,1068528
621594,7,41297,0.004610923658548023,41209
621594,18,57,6.3642068076915344e-06,0
616591,1,1294268,0.13672559509799737,1294268
616591,2,5838895,0.6168169139542362,0
616591,3,186058,0.019655041129613957,186058
616591,4,120590,0.01273904594169639,120590
616591,5,1964408,0.20751873090833337,1964408
616591,7,50132,0.005295910532789812,50040
616591,9,7929,0.0008376141908260277,0
616591,18,839,8.863139186568763e-05,0
616591,20,3053,0.00032251685264117323,0
615591,1,1289935,0.10667524632472854,1289935
615591,2,6069070,0.5019008998220997,0
615591,3,258323,0.021362835845482795,258323
615591,4,336426,0.02782180995169766,336426
615591,5,4078184,0.3372582980984055,4078184
615591,7,59770,0.004942868805659994,59672
615591,18,460,3.804115192577543e-05,0
613591,1,1555642,0.1487852039041576,1555642
613591,2,5947364,0.5688196676563415,0
613591,3,162235,0.015516531152663021,162235
613591,4,230990,0.022092418596194603,230990
613591,5,2510165,0.24007799439593414,2510165
613591,7,46640,0.00446075762295561,46596
613591,9,1589,0.00015197564028465832,0
613591,18,260,2.4867002186287705e-05,0
613591,20,738,7.058402928261664e-05,0
