epoch,tr_loss,va_loss,iou_bg,iou_road,sec
1,0.01489123337281247,0.01364280516281724,0.9354178915877418,0.10107217463526767,7.86863112449646
2,0.010157920730610689,0.010192859452217817,0.9345117816068467,0.15277397018853442,4.516417503356934
3,0.009552956403543552,0.010220935801044106,0.8622161410230097,0.10561562237248795,4.124603033065796
4,0.009625461728622517,0.00861739949323237,0.8919032740405782,0.12595235111874384,4.003266334533691
5,0.009054637902105847,0.009135206579230726,0.9148302302239641,0.15521570211316638,4.108370542526245
6,0.00913759806038191,0.008429042529314756,0.8543221318000183,0.12568495348091113,4.05441951751709
7,0.008608964970335364,0.007054366171360016,0.9511956805897028,0.17202641590697007,4.024371385574341
8,0.008181416662409902,0.010772924404591322,0.8666621979013053,0.12109673117553965,4.0982537269592285
9,0.007800011003079514,0.006802293239161372,0.953970134093995,0.2628449258281629,4.025153636932373
10,0.008016319169352451,0.007721702917478979,0.9510560558752075,0.23311257647987974,4.0615246295928955
11,0.008061463401342431,0.008559274021536112,0.932945190325216,0.19063619989508554,4.007940769195557
12,0.006958608631975949,0.012431395705789328,0.7705874246939405,0.08475051471995455,4.025211572647095
13,0.007516498017745714,0.009526598616503179,0.9440940899692452,0.22730673526345876,4.014930248260498
14,0.007648955021674435,0.005804892105516046,0.9536423519780478,0.22450190715792892,4.025155544281006
15,0.007504261680878699,0.005992368212901056,0.9524954718466194,0.2195712378713315,3.998396158218384
16,0.006793932251942654,0.0060289339162409306,0.9639497844323992,0.24428314002182686,4.075690269470215
17,0.007195284085658689,0.005419197026640177,0.9575774874137739,0.24537738954024788,4.021132469177246
18,0.006599511252716184,0.006401962018571794,0.9280374344926882,0.21359521047508567,4.010312080383301
19,0.00679266902928551,0.007254984928295016,0.9411795583832063,0.19389312342244566,4.104956388473511
20,0.006705213144111137,0.006045205635018647,0.9598237670075119,0.25499161970325873,4.002772808074951
21,0.006634857039898634,0.00589648587629199,0.9396655396766079,0.212789170703452,4.036805868148804
22,0.0058863116428256035,0.005933805368840694,0.9476349882751061,0.23444867629870275,4.014291763305664
23,0.00667409342713654,0.006557061686180532,0.9498680128030779,0.26407493516945363,4.039664030075073
24,0.005997391572842996,0.008596631116233766,0.9676522353845604,0.2897383502286357,4.062640428543091
25,0.006553382573959728,0.005260185629595071,0.9598524238982895,0.2741838947917525,4.047591924667358
26,0.00575989061811318,0.005740807508118451,0.9411750200019728,0.2298300788023007,4.027505397796631
27,0.0058938787163545685,0.005851350317243487,0.9567642778805637,0.262695444042648,4.033110618591309
28,0.00606013690897574,0.005570493754930794,0.9422014369495936,0.22299728500866833,4.060482978820801
29,0.006141198837819199,0.0054052951745688915,0.9493938877596972,0.25127175488669,4.042296886444092
30,0.005915705890705188,0.006388219189830124,0.9385886739395386,0.22301276989156185,4.0396811962127686
31,0.006236223309921722,0.006180569645948708,0.9572201296392827,0.255767402556248,4.024778842926025
32,0.005914783105254173,0.005408196593634784,0.938203970002152,0.23372745278882354,4.02941107749939
33,0.005659804834673802,0.006415941519662738,0.961243361415389,0.2808822866417204,4.051661968231201
34,0.005866247656134267,0.005703321425244212,0.9431608278000422,0.23648328098416438,4.0191168785095215
35,0.005542318841132025,0.007649417035281658,0.9473863741827903,0.24464520525803055,4.0515875816345215
36,0.005303265720916291,0.005016629118472338,0.95206445336652,0.2729792403847042,4.019813776016235
37,0.0062786514560381574,0.006461422774009407,0.9568799457134414,0.2724936523813188,4.029421329498291
38,0.00554365882029136,0.005393101018853486,0.9551334150130976,0.270517544076556,4.036648511886597
39,0.0056916445804138975,0.007066922378726304,0.940491548995579,0.2434036581299962,4.012747287750244
40,0.005666857585310936,0.0070666305255144835,0.936436922426319,0.22387770969818044,4.027667045593262
