fold,prob_threshold,n_pred_heldout,n_heldout,recall_iou30,precision_iou30,f1_iou30,recall_iou50,containment,containment_hits,n_rims
0,0.1,203,86,0.5348837209302325,0.2266009852216748,0.3183391003460207,0.0930232558139534,0.976470588235294,83,85
0,0.15,172,86,0.7093023255813954,0.3546511627906977,0.4728682170542635,0.1744186046511628,0.976470588235294,83,85
0,0.2,153,86,0.8255813953488372,0.4640522875816993,0.5941422594142259,0.3255813953488372,0.976470588235294,83,85
0,0.25,144,86,0.9186046511627908,0.5486111111111112,0.6869565217391305,0.5116279069767442,0.976470588235294,83,85
0,0.3,133,86,0.9534883720930232,0.6165413533834586,0.7488584474885844,0.686046511627907,0.976470588235294,83,85
0,0.35,122,86,0.9418604651162792,0.6639344262295082,0.7788461538461537,0.8255813953488372,0.9529411764705882,81,85
0,0.4,119,86,0.9302325581395348,0.6722689075630253,0.7804878048780488,0.8953488372093024,0.9411764705882352,80,85
0,0.45,113,86,0.9186046511627908,0.6991150442477876,0.7939698492462312,0.8953488372093024,0.9294117647058824,79,85
0,0.5,108,86,0.9069767441860463,0.7222222222222222,0.8041237113402061,0.8488372093023255,0.9176470588235294,78,85
0,0.55,105,86,0.8953488372093024,0.7333333333333333,0.8062827225130891,0.8255813953488372,0.9176470588235294,78,85
0,0.6,94,86,0.872093023255814,0.7978723404255319,0.8333333333333334,0.7674418604651163,0.9176470588235294,78,85
0,0.65,89,86,0.8372093023255814,0.8089887640449438,0.822857142857143,0.5813953488372093,0.8823529411764706,75,85
0,0.7,83,86,0.7441860465116279,0.7710843373493976,0.7573964497041421,0.4651162790697674,0.8705882352941177,74,85
0,0.75,68,86,0.5697674418604651,0.7205882352941176,0.6363636363636364,0.2674418604651162,0.7294117647058823,62,85
0,0.8,50,86,0.4302325581395348,0.74,0.5441176470588235,0.0930232558139534,0.5529411764705883,47,85
0,0.85,35,86,0.2325581395348837,0.5714285714285714,0.3305785123966942,0.0232558139534883,0.388235294117647,33,85
1,0.1,323,87,0.6551724137931034,0.1764705882352941,0.2780487804878048,0.1264367816091954,0.9770114942528736,85,87
1,0.15,226,87,0.7586206896551724,0.2920353982300885,0.4217252396166134,0.2528735632183908,0.9655172413793104,84,87
1,0.2,203,87,0.8160919540229885,0.3497536945812808,0.4896551724137931,0.4022988505747126,0.9540229885057472,83,87
1,0.25,169,87,0.9310344827586208,0.4792899408284023,0.6328125000000001,0.5517241379310345,0.9655172413793104,84,87
1,0.3,157,87,0.942528735632184,0.5222929936305732,0.6721311475409836,0.7126436781609196,0.9655172413793104,84,87
1,0.35,148,87,0.9540229885057472,0.5608108108108109,0.7063829787234043,0.8850574712643678,0.9540229885057472,83,87
1,0.4,142,87,0.9540229885057472,0.5845070422535211,0.7248908296943232,0.8620689655172413,0.9540229885057472,83,87
1,0.45,132,87,0.9540229885057472,0.6287878787878788,0.7579908675799086,0.8735632183908046,0.9540229885057472,83,87
1,0.5,126,87,0.942528735632184,0.6507936507936508,0.7699530516431926,0.7471264367816092,0.9540229885057472,83,87
1,0.55,114,87,0.896551724137931,0.6842105263157895,0.7761194029850746,0.6896551724137931,0.9310344827586208,81,87
1,0.6,103,87,0.8045977011494253,0.6796116504854369,0.736842105263158,0.5747126436781609,0.8850574712643678,77,87
1,0.65,98,87,0.7011494252873564,0.6224489795918368,0.6594594594594595,0.4827586206896552,0.8620689655172413,75,87
1,0.7,82,87,0.5862068965517241,0.6219512195121951,0.6035502958579881,0.3218390804597701,0.7931034482758621,69,87
1,0.75,61,87,0.4482758620689655,0.639344262295082,0.527027027027027,0.1494252873563218,0.6206896551724138,54,87
1,0.8,44,87,0.2873563218390804,0.5681818181818182,0.3816793893129771,0.0919540229885057,0.4712643678160919,41,87
1,0.85,25,87,0.1379310344827586,0.48,0.2142857142857142,0.0229885057471264,0.2758620689655172,24,87
2,0.1,543,87,0.7816091954022989,0.1252302025782689,0.2158730158730158,0.3448275862068966,0.9885057471264368,86,87
2,0.15,306,87,0.896551724137931,0.2549019607843137,0.3969465648854962,0.4942528735632184,0.9770114942528736,85,87
2,0.2,212,87,0.942528735632184,0.3867924528301887,0.548494983277592,0.5862068965517241,0.9770114942528736,85,87
2,0.25,175,87,0.9310344827586208,0.4628571428571428,0.6183206106870228,0.6666666666666666,0.9655172413793104,84,87
2,0.3,163,87,0.9080459770114944,0.4846625766871165,0.632,0.7586206896551724,0.9655172413793104,84,87
2,0.35,140,87,0.8850574712643678,0.55,0.6784140969162996,0.7701149425287356,0.942528735632184,82,87
2,0.4,125,87,0.8275862068965517,0.576,0.6792452830188679,0.7241379310344828,0.9195402298850576,80,87
2,0.45,117,87,0.8045977011494253,0.5982905982905983,0.6862745098039216,0.632183908045977,0.8620689655172413,75,87
2,0.5,113,87,0.735632183908046,0.5663716814159292,0.64,0.6091954022988506,0.8505747126436781,74,87
2,0.55,105,87,0.7126436781609196,0.5904761904761905,0.6458333333333334,0.5747126436781609,0.8505747126436781,74,87
2,0.6,97,87,0.6666666666666666,0.5979381443298969,0.6304347826086957,0.5172413793103449,0.7816091954022989,68,87
2,0.65,88,87,0.6206896551724138,0.6136363636363636,0.6171428571428572,0.4597701149425287,0.735632183908046,64,87
2,0.7,74,87,0.4827586206896552,0.5675675675675675,0.5217391304347826,0.2988505747126437,0.6436781609195402,56,87
2,0.75,55,87,0.3448275862068966,0.5454545454545454,0.4225352112676057,0.2528735632183908,0.5287356321839081,46,87
2,0.8,37,87,0.2528735632183908,0.5945945945945946,0.3548387096774194,0.1839080459770115,0.3908045977011494,34,87
2,0.85,29,87,0.2068965517241379,0.6206896551724138,0.3103448275862069,0.0804597701149425,0.3103448275862069,27,87
3,0.1,386,83,0.6024096385542169,0.1295336787564766,0.2132196162046908,0.0963855421686747,0.9634146341463414,79,82
3,0.15,270,83,0.6746987951807228,0.2074074074074074,0.3172804532577903,0.2289156626506024,0.9634146341463414,79,82
3,0.2,218,83,0.7710843373493976,0.2935779816513761,0.4252491694352159,0.3975903614457831,0.975609756097561,80,82
3,0.25,203,83,0.9156626506024096,0.3743842364532019,0.5314685314685315,0.6024096385542169,0.9878048780487804,81,82
3,0.3,193,83,0.963855421686747,0.4145077720207253,0.5797101449275363,0.7951807228915663,1.0,82,82
3,0.35,182,83,0.9759036144578314,0.445054945054945,0.6113207547169812,0.8554216867469879,1.0,82,82
3,0.4,166,83,0.9759036144578314,0.4879518072289157,0.6506024096385543,0.927710843373494,0.9878048780487804,81,82
3,0.45,155,83,0.963855421686747,0.5161290322580645,0.6722689075630252,0.8554216867469879,0.9878048780487804,81,82
3,0.5,140,83,0.9156626506024096,0.5428571428571428,0.6816143497757847,0.7831325301204819,0.975609756097561,80,82
3,0.55,127,83,0.8795180722891566,0.5748031496062992,0.6952380952380952,0.7469879518072289,0.926829268292683,76,82
3,0.6,118,83,0.8433734939759037,0.5932203389830508,0.6965174129353234,0.5783132530120482,0.8902439024390244,73,82
3,0.65,101,83,0.6987951807228916,0.5742574257425742,0.6304347826086957,0.3975903614457831,0.8292682926829268,68,82
3,0.7,93,83,0.5783132530120482,0.5161290322580645,0.5454545454545454,0.2409638554216867,0.7682926829268293,63,82
3,0.75,68,83,0.4096385542168674,0.5,0.4503311258278145,0.108433734939759,0.5975609756097561,49,82
3,0.8,51,83,0.2409638554216867,0.392156862745098,0.2985074626865671,0.036144578313253,0.4268292682926829,35,82
3,0.85,29,83,0.0602409638554216,0.1724137931034483,0.0892857142857142,0.0,0.2926829268292683,24,82
4,0.1,4910,83,0.6265060240963856,0.010590631364562118,0.02082916082515522,0.2289156626506024,0.9759036144578314,81,83
4,0.15,265,83,0.7951807228915663,0.2490566037735849,0.3793103448275862,0.37349397590361444,0.963855421686747,80,83
4,0.2,194,83,0.891566265060241,0.38144329896907214,0.5342960288808664,0.5180722891566265,0.963855421686747,80,83
4,0.25,165,83,0.963855421686747,0.48484848484848486,0.6451612903225806,0.6867469879518072,0.963855421686747,80,83
4,0.3,152,83,0.9397590361445783,0.5131578947368421,0.6638297872340426,0.7349397590361446,0.963855421686747,80,83
4,0.35,133,83,0.9156626506024096,0.5714285714285714,0.7037037037037036,0.7951807228915663,0.9156626506024096,76,83
4,0.4,120,83,0.891566265060241,0.6166666666666667,0.729064039408867,0.7469879518072289,0.9036144578313253,75,83
4,0.45,108,83,0.8313253012048193,0.6388888888888888,0.7225130890052355,0.6385542168674698,0.8433734939759037,70,83
4,0.5,100,83,0.7951807228915663,0.66,0.7213114754098361,0.4819277108433735,0.8433734939759037,70,83
4,0.55,87,83,0.6987951807228916,0.6666666666666666,0.6823529411764706,0.3855421686746988,0.7831325301204819,65,83
4,0.6,75,83,0.5180722891566265,0.5733333333333334,0.5443037974683543,0.3132530120481928,0.7349397590361446,61,83
4,0.65,63,83,0.43373493975903615,0.5714285714285714,0.4931506849315068,0.20481927710843373,0.6144578313253012,51,83
4,0.7,42,83,0.3253012048192771,0.6428571428571429,0.43200000000000005,0.12048192771084337,0.43373493975903615,36,83
4,0.75,29,83,0.1686746987951807,0.4827586206896552,0.25,0.04819277108433735,0.3253012048192771,27,83
4,0.8,15,83,0.08433734939759036,0.4666666666666667,0.14285714285714285,0.024096385542168676,0.1566265060240964,13,83
4,0.85,7,83,0.03614457831325301,0.42857142857142855,0.06666666666666667,0.0,0.07228915662650602,6,83
