bbox_score,wp_id,geometry
0.9760367274284364,2,"POLYGON ((-105.2987709972142 40.26404840604931, -105.2987709972142 40.26407846515278, -105.2988079829101 40.26407846515278, -105.2988079829101 40.26404840604931, -105.2987709972142 40.26404840604931))"
0.9575141072273254,145,"POLYGON ((-105.2236538400047 39.91032171976723, -105.2236538400047 39.91035293278556, -105.2236919057978 39.91035293278556, -105.2236919057978 39.91032171976723, -105.2236538400047 39.91032171976723))"
0.995895266532898,202,"POLYGON ((-105.209137375174 40.83951872057619, -105.209137375174 40.83955518295313, -105.2091788881156 40.83955518295313, -105.2091788881156 40.83951872057619, -105.209137375174 40.83951872057619))"
0.984567403793335,231,"POLYGON ((-105.1978776996772 40.78660273589126, -105.1978776996772 40.78663708506117, -105.1979198356878 40.78663708506117, -105.1979198356878 40.78660273589126, -105.1978776996772 40.78660273589126))"
0.9975762963294984,298,"POLYGON ((-105.1771473534723 39.96119677886013, -105.1771473534723 39.96122870547934, -105.1771854797953 39.96122870547934, -105.1771854797953 39.96119677886013, -105.1771473534723 39.96119677886013))"
0.9975757002830504,298,"POLYGON ((-105.1771994941962 39.96119852654387, -105.1771994941962 39.96123204059281, -105.1772384637725 39.96123204059281, -105.1772384637725 39.96119852654387, -105.1771994941962 39.96119852654387))"
0.9969782829284668,298,"POLYGON ((-105.1772005381282 39.96112430366917, -105.1772005381282 39.96115622911787, -105.1772393663756 39.96115622911787, -105.1772393663756 39.96112430366917, -105.1772005381282 39.96112430366917))"
0.9952995777130128,298,"POLYGON ((-105.1771993320427 39.96116074815299, -105.1771993320427 39.9611918303528, -105.1772386979787 39.9611918303528, -105.1772386979787 39.96116074815299, -105.1771993320427 39.96116074815299))"
0.9918145537376404,298,"POLYGON ((-105.1771485484513 39.96116176798987, -105.1771485484513 39.96119053831822, -105.1771847257402 39.96119053831822, -105.1771847257402 39.96116176798987, -105.1771485484513 39.96116176798987))"
0.9908037185668944,298,"POLYGON ((-105.1771456338547 39.96112233901472, -105.1771456338547 39.96115366154232, -105.1771840692132 39.96115366154232, -105.1771840692132 39.96112233901472, -105.1771456338547 39.96112233901472))"
0.9879468083381652,331,"POLYGON ((-105.1731256062028 41.09853054462923, -105.1731256062028 41.09856458036231, -105.1731666268533 41.09856458036231, -105.1731666268533 41.09853054462923, -105.1731256062028 41.09853054462923))"
0.9992523789405824,360,"POLYGON ((-105.1658384057571 39.7746480155378, -105.1658384057571 39.77468480753956, -105.1658805813342 39.77468480753956, -105.1658805813342 39.7746480155378, -105.1658384057571 39.7746480155378))"
0.9992172718048096,360,"POLYGON ((-105.1658427192047 39.7746947766059, -105.1658427192047 39.7747315969898, -105.1658863844275 39.7747315969898, -105.1658863844275 39.7746947766059, -105.1658427192047 39.7746947766059))"
0.99920254945755,360,"POLYGON ((-105.1658976123718 39.77464611617517, -105.1658976123718 39.77468229337285, -105.1659405498479 39.77468229337285, -105.1659405498479 39.77464611617517, -105.1658976123718 39.77464611617517))"
0.9982123374938964,360,"POLYGON ((-105.1659040535277 39.7746932834493, -105.1659040535277 39.77472910789753, -105.1659460448427 39.77472910789753, -105.1659460448427 39.7746932834493, -105.1659040535277 39.7746932834493))"
0.997988224029541,360,"POLYGON ((-105.1659068184657 39.77474039289215, -105.1659068184657 39.77477689808492, -105.1659488435164 39.77477689808492, -105.1659488435164 39.77474039289215, -105.1659068184657 39.77474039289215))"
0.9965119957923888,360,"POLYGON ((-105.1658476667582 39.77474221500415, -105.1658476667582 39.77477926351216, -105.1658914770584 39.77477926351216, -105.1658914770584 39.77474221500415, -105.1658476667582 39.77474221500415))"
0.9551621079444884,360,"POLYGON ((-105.1659701387516 39.77474260765931, -105.1659701387516 39.77477756719919, -105.1660130769913 39.77477756719919, -105.1660130769913 39.77474260765931, -105.1659701387516 39.77474260765931))"
0.9940892457962036,364,"POLYGON ((-105.1665901965013 40.08477581887502, -105.1665901965013 40.084818031155, -105.1666382599968 40.084818031155, -105.1666382599968 40.08477581887502, -105.1665901965013 40.08477581887502))"
0.9995299577713012,389,"POLYGON ((-105.1618595829868 40.03085158480144, -105.1618595829868 40.03089433283031, -105.161907286635 40.03089433283031, -105.161907286635 40.03085158480144, -105.1618595829868 40.03085158480144))"
0.9968903660774232,389,"POLYGON ((-105.1618035584941 40.03085591633764, -105.1618035584941 40.03089231591143, -105.1618454008792 40.03089231591143, -105.1618454008792 40.03085591633764, -105.1618035584941 40.03085591633764))"
0.9974180459976196,414,"POLYGON ((-105.1565495495325 40.02483165749905, -105.1565495495325 40.02486795367847, -105.1565891121905 40.02486795367847, -105.1565891121905 40.02483165749905, -105.1565495495325 40.02483165749905))"
0.996125876903534,415,"POLYGON ((-105.1566343087377 40.05535477631418, -105.1566343087377 40.0553871310089, -105.1566724617161 40.0553871310089, -105.1566724617161 40.05535477631418, -105.1566343087377 40.05535477631418))"
0.9952182173728944,415,"POLYGON ((-105.1566344367389 40.05539561657687, -105.1566344367389 40.05542907131165, -105.1566735112707 40.05542907131165, -105.1566735112707 40.05539561657687, -105.1566344367389 40.05539561657687))"
0.9942558407783508,432,"POLYGON ((-105.1538598675356 40.07636177951321, -105.1538598675356 40.07639499149101, -105.15389770773 40.07639499149101, -105.15389770773 40.07636177951321, -105.1538598675356 40.07636177951321))"
0.9784693717956544,432,"POLYGON ((-105.15391614338 40.0763579674171, -105.15391614338 40.07639290633765, -105.1539572337231 40.07639290633765, -105.1539572337231 40.0763579674171, -105.15391614338 40.0763579674171))"
