OBJECTID,Well_ident,State,County,Well_name,Well_numbe,Type,Status,Latitude,Longitude,Prime_meri,Township,T_dir,Range,R_dir,Section,Qtr,Qtr_qtr,Qtr_qtr_qt,Source,Data_file_date,Well_info,Location_n,Other_note,x,y
100391,API:37121265040000,Pennsylvania,Venango,EICHE DEAN 60Q,,,Orphan,41.494537000000001,-79.549404999999993,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.549404999640998,41.494536999782802
100392,API:37121265050000,Pennsylvania,Venango,EICHE DEAN 61Q,,,Orphan,41.496811999999998,-79.549098999999998,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.549098999918897,41.496812000373602
100393,API:37121265060000,Pennsylvania,Venango,EICHE DEAN 62Q,,,Orphan,41.499322999999997,-79.549082999999996,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.549083000080401,41.499323000156402
100394,API:37121265070000,Pennsylvania,Venango,EICHE DEAN 63Q,,,Orphan,41.501573000000000,-79.549229999999994,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.549229999664703,41.501572999594302
100395,API:37121265080000,Pennsylvania,Venango,EICHE DEAN 64Q,,,Orphan,41.503956000000002,-79.549329999999998,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.549329999779602,41.503955999769602
100396,API:37121265090000,Pennsylvania,Venango,EICHE DEAN 65Q,,,Orphan,41.502580999999999,-79.548005000000003,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.548004999830795,41.502581000213098
100397,API:37121265100000,Pennsylvania,Venango,EICHE DEAN 66Q,,,Orphan,41.500342000000003,-79.547505000000001,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.547505000155596,41.500342000383100
100398,API:37121265110000,Pennsylvania,Venango,EICHE DEAN 67Q,,,Orphan,41.498030999999997,-79.547852000000006,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.547851999969794,41.498030999930698
100399,API:37121265130000,Pennsylvania,Venango,EICHE DEAN 69Q,,,Orphan,41.493541999999998,-79.547462999999993,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.547463000017402,41.493541999763501
100401,API:37121265150000,Pennsylvania,Venango,EICHE DEAN 71Q,,,Orphan,41.494636999999997,-79.545991000000001,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.545990999584902,41.494636999897700
100402,API:37121265160000,Pennsylvania,Venango,EICHE DEAN 72Q,,,Orphan,41.497155999999997,-79.546246999999994,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.546246999699207,41.497156000049401
100403,API:37121265170000,Pennsylvania,Venango,EICHE DEAN 73Q,,,Orphan,41.499164999999998,-79.546257999999995,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.546258000206507,41.499165000064700
100404,API:37121265180000,Pennsylvania,Venango,EICHE DEAN 74Q,,,Orphan,41.501645000000003,-79.546327000000005,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.546326999791205,41.501645000216598
100405,API:37121265190000,Pennsylvania,Venango,EICHE DEAN 75Q,,,Orphan,41.504198000000002,-79.546372000000005,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.546372000067706,41.504198000137599
100406,API:37121265200000,Pennsylvania,Venango,EICHE DEAN 76Q,,,Orphan,41.502744999999997,-79.544808000000003,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.544807999889301,41.502744999682001
100407,API:37121265210000,Pennsylvania,Venango,EICHE DEAN 77Q,,,Orphan,41.500542000000003,-79.544445999999994,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.544446000282704,41.500541999713597
100408,API:37121265220000,Pennsylvania,Venango,EICHE DEAN 78Q,,,Orphan,41.497878000000000,-79.544551999999996,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.544551999774896,41.497878000069697
100409,API:37121265230000,Pennsylvania,Venango,EICHE DEAN 79Q,,,Orphan,41.495919999999998,-79.544447000000005,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.544447000328802,41.495919999708299
100411,API:37121265260000,Pennsylvania,Venango,EICHE DEAN 82Q,,,Orphan,41.494658999999999,-79.542912999999999,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.542912999735094,41.494659000012902
