epoch,tr_loss,val_road_iou,sec
1,0.0017035114874284882,0.6269025974124871,319.88990330696106
2,0.0016979650566493398,0.6219719428979453,308.98679304122925
3,0.001676193847878725,0.616258058472109,308.048246383667
4,0.0016374837930979722,0.628671536146706,308.0645182132721
5,0.0016415855487193496,0.6332309803125349,308.55345034599304
6,0.0015955931995626114,0.6283107719968973,309.09766459465027
7,0.0015759463258019871,0.6319025160839941,308.1146945953369
8,0.0015360740320313959,0.6389224785355524,308.10395216941833
9,0.00152545412395318,0.6341150526431198,308.4305112361908
10,0.0015180233481327948,0.6342858530275068,314.9822783470154
11,0.001499693086214447,0.6372154111343555,318.36810994148254
12,0.0015016665685237316,0.6373243349889425,315.49948358535767
