id,length_m,incision_depth_m,berm_sep_m,incision_fwhm_m,tread_width_m,cut_depth_m,fill_height_m,bench_amp_m,relief_amp_m,shoulder_grad,hillslope_deg,slope_centre,slope_flank,chm_centre,chm_flank,inten_centre,inten_flank,lrm5_amp,slope_ratio,chm_deficit_m,inten_ratio,n_transects,sinuosity,log_length,bin,prominence_z,tiger_match,is_tiger,mean_proad
,102.14046557065087,0.9869574,13.0,6.0,0.0,0.2653309926390648,0.8747414350509644,1.1834123134613037,1.1603230237960815,0.3925371468067169,12.077064037322998,8.602034091949463,12.19983720779419,5.941088676452637,0.22684171795845032,28672.0,24680.0,0.12725830078125,0.7242676019668579,-1.2175611555576324,1.1633689999580383,10,1.0619785347089439,4.636091802580541,1,0.7155164926625254,0.0,0,0.75075305
,365.63162784361754,0.7995983,17.0,7.25,4.5,0.5026165544986725,0.25331731140613556,1.344233751296997,0.8650063574314117,0.35063445568084717,7.254557847976685,4.295193672180176,8.064802646636963,0.14641723036766052,16.56864356994629,30624.0,24064.0,0.1010589599609375,0.5894926190376282,13.025678157806396,1.3174364566802979,36,1.0404538080516765,5.904357605125666,1,0.3697304993088205,0.0,0,0.8363518
,749.0039570289889,1.0762082,15.5,7.0,2.0,0.8136930465698242,0.34947657585144043,1.201593816280365,1.1488826274871826,0.41497552394866943,10.893455982208252,7.092239856719971,13.233855724334717,0.17704162001609802,11.561481952667236,26148.0,21744.0,0.1311492919921875,0.5784527659416199,6.934345245361328,1.1345663666725159,74,1.115825381758321,6.62007848255509,1,1.0664374356120236,0.0,0,0.7576624
,548.8754006048099,0.9073977,13.5,5.5,2.75,0.34178733825683594,0.8653960824012756,1.2823081612586975,1.131995677947998,0.45709221065044403,10.69821548461914,6.697132110595703,12.267446517944336,2.929043173789978,16.17259168624878,28392.0,21800.0,0.1329803466796875,0.5332074463367462,8.7567458152771,1.294727861881256,54,2.011943981239599,6.309691708206577,1,0.5210434696604004,0.0,0,0.8220279
,124.02287175771608,0.70287156,15.25,5.25,0.0,0.6379864811897278,0.13704105839133263,0.7034437358379364,0.6798116564750671,0.33784914016723633,6.21741795539856,8.039189577102661,7.870734214782715,0.2170867845416069,0.1219787560403347,20656.0,22168.0,0.10711669921875,0.9525927603244781,-0.1221771202981472,0.9618507623672485,12,1.0447113563842232,4.828496694626318,0,0.09599464716865587,0.0,0,0.72811985
,154.01000788291373,0.5907707,15.0,8.5,4.0,0.4642760157585144,0.30058082938194275,0.8180227279663086,0.7254652976989746,0.4180404543876648,7.6083574295043945,5.19359016418457,9.278204917907715,6.040946006774902,16.49074935913086,26992.0,21984.0,0.130859375,0.6041269898414612,6.659296035766602,1.1114888191223145,15,1.1079281629791755,5.043489681821429,0,-0.4671624106930923,0.0,0,0.93045115
,48.42057287618577,0.9747071,17.5,6.0,1.25,0.9472369849681854,0.1427363157272339,1.110309898853302,0.984464704990387,0.443797305226326,8.137372016906738,7.585252523422241,10.372749328613281,4.383327811956406,13.580273151397705,32336.0,21592.0,0.133880615234375,0.6776390671730042,6.752526521682739,1.454586923122406,4,1.0028025727102488,3.9003667924840864,1,0.9117666502865461,0.0,0,0.82547784
,525.2110548774411,0.9374989,16.5,6.75,3.0,0.8595101237297058,0.44480109214782715,1.0954866409301758,1.0020122230052948,0.5083674788475037,8.24614143371582,5.283928394317627,9.462863445281982,1.9797077178955078,16.00701665878296,27912.0,23536.0,0.1582489013671875,0.6302975118160248,10.040366649627686,1.2489938139915466,52,1.121801791674575,6.265702377274603,1,0.7791598169068991,0.0,0,0.7895005
,113.87113512120536,1.0166247,16.5,7.0,3.0,0.6837876439094543,0.36706262826919556,1.102774977684021,1.102774977684021,0.5122445225715637,6.634111404418945,4.860037326812744,8.142837524414062,0.15562132000923157,1.366634488105774,28512.0,24624.0,0.141876220703125,0.632335901260376,1.1829065084457397,1.1890981197357178,11,1.0208128283036517,4.743810935898384,1,1.168307109366508,0.0,0,0.7689823
,82.78274799894413,0.74414223,8.25,5.25,0.0,0.32833440601825714,0.31606847047805786,0.7268046438694,0.7268046438694,0.3925637900829315,4.3889758586883545,10.695549011230469,9.216512203216553,4.356659889221191,9.052215576171875,23528.0,25664.0,0.130615234375,1.1267219185829163,1.0979416593909264,0.9100499153137207,8,1.0076477873709417,4.428227115159348,0,0.44608414678375036,0.0,0,0.7883171
,244.94426436762305,0.8413706,12.5,6.25,2.5,0.5259507298469543,0.3313947021961212,0.9295512437820435,0.9295512437820435,0.4170129597187042,3.664379119873047,5.85493278503418,6.128154277801514,1.4099270403385162,4.867508977651596,21200.0,23416.0,0.132659912109375,0.9710597693920135,-0.10619353130459785,0.8710505664348602,24,1.370127363181797,5.505104942650756,1,0.8973508816982473,0.0,0,0.8270602
