threshold,n_polygons,ha_claimed,pct_of_tile,found_iou30,missed_iou30,n_heldout
0.4,1090,278.24,13.74,166,28,194
0.5,1005,197.95,9.775,178,16,194
0.6,907,122.6,6.055,164,30,194
0.7,627,52.45,2.59,104,90,194
