config,floor_pixel_iou,wall_pixel_iou,mean_pit_iou,median_pit_iou,detected_ge_10pct,iou_gt_0.3,n_test_pits,n_dropped,n_kept
baseline,0.42176,0.45790513833992097,0.6771568342662755,0.7152278480585976,20,18,20,0,
v2_safe_buf3,0.4284785435630689,0.4703852205247932,0.6771568342662755,0.7152278480585976,20,18,20,63,
v2_safe_buf5,0.43441001977587346,0.4766263821033685,0.6771568342662755,0.7152278480585976,20,18,20,74,
v2_moderate_buf3,0.4284785435630689,0.4741149989768774,0.6771568342662755,0.7152278480585976,20,18,20,132,
v2_moderate_buf5,0.43441001977587346,0.47990886495443247,0.6771568342662755,0.7152278480585976,20,18,20,140,
v2_aggressive_buf5,0.41853562005277045,0.46555981715967004,0.6346721716895884,0.6891741321978578,19,17,20,237,
v2_aggressive_buf8,0.41853562005277045,0.468068247847446,0.6346721716895884,0.6891741321978578,19,17,20,246,
