epoch,tr_loss,va_loss,iou_bg,iou_road,sec
1,0.023674027373393376,1.6211403608322144,0.977594289873987,0.0008405715886803026,7.142163991928101
2,0.009837698851091167,0.6257529035210609,0.9241944083521667,0.04308116752692573,3.7691383361816406
3,0.008836861505794028,0.006649413262493908,0.9180618778712322,0.15396553670190752,3.793381690979004
4,0.00795008308098962,0.006956020020879805,0.967535761110865,0.3000621341443474,3.666219472885132
5,0.007208251161500812,0.006431611604057252,0.9549473377309668,0.2507878787878788,3.85392165184021
6,0.006074088586804767,0.006071159383282065,0.9381732585208984,0.24231524238628502,3.711625337600708
7,0.006667759269475937,0.007497327867895365,0.9632374691167949,0.2608541987849391,3.718935489654541
8,0.006239447160623968,0.006155134877189994,0.9278403945851436,0.22351085331186224,3.7702159881591797
9,0.005827250657603145,0.0043450539233163,0.9501215041304097,0.2603698286292143,3.664189577102661
10,0.006146003608591855,0.005259148310869932,0.9249670430149911,0.187784594500201,3.622896432876587
11,0.005861903463179867,0.004989220178686082,0.9605949296912891,0.30123829821674264,3.6438238620758057
12,0.005751699480849008,0.005201009917072952,0.9519063609594641,0.28352372084572935,3.573904514312744
13,0.005504553516705831,0.005331932567059994,0.9643203199939661,0.3162986403715813,3.4763877391815186
14,0.005258309189230204,0.0038949898444116116,0.962268009596407,0.2932494735044681,3.5069468021392822
15,0.005438176371778051,0.004706849227659404,0.932154035059424,0.20132759213618387,3.5462851524353027
16,0.005151006664770345,0.004576298873871565,0.9607972994636598,0.3224311126796917,3.696842908859253
17,0.005037394934333861,0.005109549616463482,0.9181243141471936,0.2135321646704212,3.712872266769409
18,0.004891039396170527,0.004864374757744372,0.959879274747642,0.3001109595077433,3.6683802604675293
19,0.0045176619896665215,0.004432068672031164,0.9581697112483348,0.30273286753056833,3.6857333183288574
20,0.004368251170186947,0.00400868512224406,0.9701742978158384,0.3218673896696125,3.6999287605285645
21,0.005124948763598998,0.004785958386491984,0.9573796847989016,0.3025928696085764,3.7536213397979736
22,0.004709821524253736,0.004242675262503326,0.9565533342563052,0.30685925846643347,3.910885810852051
23,0.004827652960860481,0.004601919092237949,0.9539337344274191,0.32834049993755243,3.6535542011260986
24,0.004434625850990415,0.003939134709071368,0.9558849577182912,0.280525333545108,3.7493298053741455
25,0.0047539728305613,0.004566339019220322,0.9599957358999155,0.3103689079777794,3.6147587299346924
26,0.004674139025155455,0.0034686836297623813,0.9628018732041149,0.3288647044274054,3.5252366065979004
27,0.004327095676368724,0.003504049382172525,0.9613316840396791,0.29351943392244206,3.5664608478546143
28,0.004667357832659036,0.004030289710499346,0.9582549068438092,0.31046496991667294,3.634706497192383
29,0.0041673841381755965,0.0038149796309880912,0.9541281404816915,0.31456924923883123,3.754692554473877
30,0.004480151925235987,0.003189020382706076,0.9645936889001294,0.3112656401523215,3.7740464210510254
31,0.0041993504273705184,0.003717094601597637,0.9600692783655911,0.3137569046310113,3.8423378467559814
32,0.0042965992470271885,0.0041193547658622265,0.9627943460190475,0.34187130464805143,3.752587080001831
33,0.004362945619504899,0.0039648612146265805,0.9580227214022281,0.34072512890433715,3.8058388233184814
34,0.003961579175665975,0.003782869258429855,0.9616852938850885,0.3472089297603196,3.658888816833496
35,0.003882679680828005,0.0031530947308056056,0.9669009384674215,0.34724340422465866,3.5041093826293945
36,0.003907672537025064,0.004238487046677619,0.9617850847360567,0.32124327102550926,3.547651767730713
37,0.004007978617058446,0.004175847920123488,0.9672514716128218,0.3630381817858477,3.7103652954101562
38,0.004008797657055159,0.004793616884853691,0.955825123186697,0.360556265757608,3.574051856994629
39,0.004235886697036524,0.003957416338380426,0.9624211678611092,0.37235569677804964,3.5567283630371094
40,0.0040667212451808155,0.004136014147661626,0.9550102143171698,0.3298698577408907,3.4996445178985596
