epoch,tr_loss,va_loss,score,sec,iou_bg,iou_plat
1,0.01903335777879284,0.020318311710770313,0.26197325913888725,59.712971925735474,0.7794051499379379,0.26197325913888725
2,0.015574036558207712,0.01650122395501687,0.28572244728972146,44.76538443565369,0.8233879806326588,0.28572244728972146
3,0.015254927194562921,0.016366973519325256,0.39420031157898233,43.678327560424805,0.9009607315423983,0.39420031157898233
4,0.013904307086608912,0.014071019402203651,0.44615955953222713,44.24199175834656,0.9224390274178739,0.44615955953222713
5,0.014117579286297163,0.013605614443524526,0.41372178742921234,44.3175368309021,0.9055078635983125,0.41372178742921234
6,0.013014249944765317,0.013958861227505483,0.3723778531209103,43.812015771865845,0.8828717080939344,0.3723778531209103
7,0.013109518648043536,0.01488126040651248,0.3897740495386506,44.037413120269775,0.8971992131313078,0.3897740495386506
8,0.012699702746447241,0.01393295000665463,0.42975171311100957,44.141361474990845,0.9105329687060502,0.42975171311100957
9,0.012411778470043811,0.016963493222227462,0.3352650190506857,43.702430963516235,0.8317235751724475,0.3352650190506857
10,0.012935043010337833,0.013307438088724246,0.4354054020684382,44.03385949134827,0.907923253754977,0.4354054020684382
11,0.012507643832482006,0.016521738842129707,0.4650107696957256,44.266772985458374,0.9420065032923067,0.4650107696957256
12,0.01195377202116345,0.0138248480641498,0.4450330584686645,43.92961311340332,0.9147378004642988,0.4450330584686645
13,0.011490157474518606,0.014590157249655861,0.447225053158696,44.3223192691803,0.9265565890583403,0.447225053158696
14,0.012474511014787774,0.015692923719493244,0.5004586438048171,44.48109841346741,0.942063507625226,0.5004586438048171
15,0.01197068507603386,0.013604492146091966,0.4631139332177645,44.13408851623535,0.9268107440296997,0.4631139332177645
16,0.011641291174384063,0.012603863446901623,0.45879541384304684,44.24919629096985,0.9096598424953235,0.45879541384304684
17,0.01174025838018248,0.014368188065978197,0.48718649524090313,44.47566318511963,0.9309281807115407,0.48718649524090313
18,0.011384169750830583,0.012770874031747762,0.43161883258369343,44.3282732963562,0.902707794181583,0.43161883258369343
19,0.011223758766917806,0.0124176220001223,0.4600915245117024,44.17694354057312,0.9197430861088015,0.4600915245117024
20,0.011359505208307192,0.01306974502781836,0.47698350144794055,44.31011438369751,0.9236508144787898,0.47698350144794055
21,0.010754784095313465,0.014962899032980204,0.49459566252791143,44.18904209136963,0.931742959194853,0.49459566252791143
22,0.01072183119035081,0.013213249442812342,0.4899529446708865,44.169872522354126,0.92563009272457,0.4899529446708865
23,0.010825508008629345,0.013256865087896585,0.4791802275324327,44.02992224693298,0.9341604909179874,0.4791802275324327
24,0.010785586507010617,0.01257557629679258,0.4664010791507451,44.032657861709595,0.9216131084884486,0.4664010791507451
25,0.010159344686064543,0.013416075326788884,0.5217214850321266,44.12176704406738,0.9335961689147485,0.5217214850321266
26,0.010124596019618605,0.012158725876361132,0.4489511031209503,44.145994901657104,0.9008850615850877,0.4489511031209503
27,0.010501622316313157,0.01307421510752577,0.4594076339535483,43.99601697921753,0.9183387743657185,0.4594076339535483
28,0.01033848863127723,0.012657605129509019,0.4655325263011869,44.093690156936646,0.9210653353210418,0.4655325263011869
29,0.00974343671349057,0.011772676084477168,0.4887214633709673,44.0220627784729,0.9249927554696294,0.4887214633709673
30,0.010047935108703217,0.01227988564194395,0.455075943162,43.90045690536499,0.9069713927708939,0.455075943162
31,0.009782484797924235,0.013054215922378577,0.4902348520892909,43.6635479927063,0.9251976782546525,0.4902348520892909
32,0.010043827673877802,0.012573242223320099,0.5023462285804313,43.695512533187866,0.9243191982745664,0.5023462285804313
33,0.009667111862973686,0.012153155689772505,0.4638403407485051,43.52097010612488,0.9165543971742897,0.4638403407485051
34,0.009393785263231973,0.013828727828625303,0.4910517477598243,43.55232620239258,0.9296547865051736,0.4910517477598243
35,0.009142648955611022,0.012437880128765335,0.493355883458785,43.51023054122925,0.9335799795829663,0.493355883458785
36,0.009478780134630046,0.012892490037931846,0.493065738772944,43.6384596824646,0.9221965585032278,0.493065738772944
37,0.00931368534976061,0.012424775381357623,0.4828938396068759,43.59678053855896,0.9244768839797901,0.4828938396068759
38,0.009285619429296307,0.012307527833260022,0.48927222998414516,43.402132987976074,0.9208615190445179,0.48927222998414516
39,0.009476645016356519,0.012736971579635372,0.473044371135477,43.601250648498535,0.9285696984385545,0.473044371135477
40,0.009278997317315978,0.013286235455710154,0.48560089524605976,43.661561489105225,0.9233797249823613,0.48560089524605976
