epoch,tr_loss,val_road_iou,sec
1,0.01672167779874307,0.5916031210828326,343.57682275772095
2,0.01520454998079465,0.5929552463808143,333.8702178001404
3,0.014436094200676446,0.5805768249762987,333.45111894607544
4,0.013696345050624614,0.5904668798884406,333.0788731575012
5,0.013229694167923516,0.5891220969561232,334.4916613101959
6,0.012744760172921163,0.5873182528657701,342.29174304008484
7,0.012367611516392164,0.5882821457074912,348.17324805259705
8,0.011795763332490572,0.5896444909289168,348.46381998062134
9,0.011654681505273972,0.5873693144974013,345.07077980041504
10,0.011410667777318619,0.5885353844937021,335.2655358314514
11,0.011311521694592354,0.5900234309681015,333.1428623199463
12,0.011210322413079218,0.5892267781540982,333.19732904434204
