fold,prob_threshold,n_pred_heldout,n_heldout,recall_iou30,precision_iou30,f1_iou30,recall_iou50,locate,locate_hits
0,0.1,114,130,0.0538461538461538,0.0614035087719298,0.0573770491803278,0.0076923076923076,0.1,13
0,0.15,208,130,0.2153846153846154,0.1346153846153846,0.165680473372781,0.0538461538461538,0.3153846153846154,41
0,0.2,205,130,0.3769230769230769,0.2390243902439024,0.2925373134328358,0.1461538461538461,0.4461538461538462,58
0,0.25,187,130,0.4769230769230769,0.3315508021390374,0.391167192429022,0.2,0.5307692307692308,69
0,0.3,180,130,0.6230769230769231,0.45,0.5225806451612903,0.2846153846153846,0.6076923076923076,79
0,0.35,177,130,0.7307692307692307,0.536723163841808,0.6188925081433225,0.4,0.6846153846153846,89
0,0.4,177,130,0.8307692307692308,0.6101694915254238,0.7035830618892509,0.5307692307692308,0.7615384615384615,99
0,0.45,183,130,0.9,0.639344262295082,0.7476038338658147,0.7230769230769231,0.8615384615384616,112
0,0.5,190,130,0.9153846153846154,0.6263157894736842,0.74375,0.7769230769230769,0.8923076923076924,116
0,0.55,180,130,0.9307692307692308,0.6722222222222223,0.7806451612903226,0.7846153846153846,0.9230769230769232,120
0,0.6,174,130,0.9076923076923076,0.6781609195402298,0.7763157894736842,0.7769230769230769,0.9153846153846154,119
0,0.65,160,130,0.8692307692307693,0.70625,0.7793103448275862,0.7384615384615385,0.9153846153846154,119
0,0.7,142,130,0.7076923076923077,0.647887323943662,0.676470588235294,0.5615384615384615,0.8538461538461538,111
0,0.75,116,130,0.5461538461538461,0.6120689655172413,0.5772357723577235,0.2923076923076923,0.7230769230769231,94
0,0.8,88,130,0.2769230769230769,0.4090909090909091,0.3302752293577982,0.0923076923076923,0.5692307692307692,74
0,0.85,48,130,0.0846153846153846,0.2291666666666666,0.1235955056179775,0.0076923076923076,0.2923076923076923,38
1,0.1,156,129,0.0465116279069767,0.0384615384615384,0.0421052631578947,0.0077519379844961,0.0775193798449612,10
1,0.15,243,129,0.2015503875968992,0.1069958847736625,0.1397849462365591,0.0387596899224806,0.2248062015503876,29
1,0.2,229,129,0.3333333333333333,0.1877729257641921,0.2402234636871507,0.0775193798449612,0.3720930232558139,48
1,0.25,234,129,0.4728682170542636,0.2606837606837607,0.3360881542699724,0.1782945736434108,0.4806201550387597,62
1,0.3,214,129,0.5968992248062015,0.3598130841121495,0.4489795918367347,0.2558139534883721,0.5271317829457365,68
1,0.35,209,129,0.7441860465116279,0.4593301435406698,0.5680473372781065,0.4263565891472868,0.6666666666666666,86
1,0.4,212,129,0.8682170542635659,0.5283018867924528,0.656891495601173,0.5891472868217055,0.8372093023255814,108
1,0.45,216,129,0.9147286821705426,0.5462962962962963,0.6840579710144927,0.6744186046511628,0.8837209302325582,114
