epoch,tr_loss,va_loss,iou_bg,iou_plat,sec
1,0.053556750027033,0.1348700262606144,0.6007389721108463,0.11145938782100173,8.432268857955933
2,0.022625256329774857,0.7972817271947861,0.5907838936932854,0.11555522743404636,4.734868764877319
3,0.017833619593427733,0.01643369742669165,0.9344011210465697,0.40103748982407517,4.372816801071167
4,0.013551123726826448,0.017426146427169442,0.858590807361213,0.2606484890574888,4.509966611862183
5,0.014035469924028102,0.01162751973606646,0.9535954715125841,0.45908618232703835,4.3355796337127686
6,0.012394176366237493,0.011424263240769506,0.9489516220846119,0.48035594472419707,4.303731679916382
7,0.013379000055675324,0.014085494680330157,0.8664976705148617,0.30000798849656496,4.276127099990845
8,0.01067538007807273,0.020822602324187756,0.9474500792234927,0.30748169445603524,4.3722615242004395
9,0.010079239423458394,0.0137171377427876,0.9355346124410076,0.4123985898486874,4.322873830795288
10,0.010418119553763133,0.015338576165959239,0.930913405416761,0.3612916228959519,4.225304841995239
11,0.010130912316246675,0.010034433798864484,0.9389946172955693,0.41020290474156346,4.234647989273071
12,0.009747096659758916,0.012155290925875306,0.9393588805914825,0.42164570507151705,4.285933017730713
13,0.010218711354984688,0.012756314361467957,0.9529608049138654,0.43074401939927065,4.2300965785980225
14,0.010468931510471381,0.011676279129460454,0.9329066131544135,0.38446189312816276,4.256936550140381
15,0.00927971711812111,0.009897962212562561,0.9489073160111122,0.4507400329958577,4.246388912200928
16,0.00929700081738142,0.014135043136775494,0.9513684467625163,0.4281401012973395,4.270257949829102
17,0.007974358275532722,0.011386463302187622,0.9507378187563567,0.42727962419440124,4.243882894515991
18,0.009113474175907098,0.014382359804585576,0.9501283347900829,0.43463228085405736,4.280474901199341
19,0.007885323586658789,0.011704663978889585,0.9525695584533659,0.4262206757807627,4.25845742225647
20,0.007993397696946677,0.012440518708899617,0.9188235225810544,0.3982167275327866,4.278267860412598
21,0.007108921400056436,0.010671787080354989,0.9529849549827096,0.4632510479739171,4.305875301361084
22,0.0075416590731877545,0.011452028877101839,0.9528862977603555,0.43675121197955785,4.275266885757446
23,0.007242091465741396,0.011193345068022609,0.932447994764175,0.46027470854748304,4.266380071640015
24,0.0073073261704009315,0.011106446967460215,0.9578741625963232,0.44279344919592445,4.2615272998809814
25,0.007031055203137489,0.011743471026420593,0.9450397174780795,0.44370902446888544,4.280133485794067
26,0.006920042770126691,0.011704480974003673,0.9426262042444721,0.4435060370715098,4.267927646636963
27,0.0066849482245743275,0.013918568613007665,0.9449208818064352,0.389556836610397,4.264521837234497
28,0.006225493235083727,0.009412247105501592,0.9465067475990595,0.4732752304613601,4.323094844818115
29,0.007053613841820221,0.008858447894454002,0.9568338453177685,0.48538711331396345,4.260338306427002
30,0.005932604213460133,0.011817889171652496,0.9474741968179644,0.4999384165842015,4.257274150848389
31,0.006483320719920672,0.013494289480149746,0.9489135196879471,0.44477850263610275,4.215050458908081
32,0.005605826440912027,0.01402598642744124,0.9543836328795929,0.41451532288408294,4.2653257846832275
33,0.005648950670057764,0.009760950459167361,0.9566956280081447,0.429041295084001,4.274688959121704
34,0.005739300887888441,0.01401839079335332,0.9482517586960709,0.41282037223490475,4.257052421569824
35,0.005925096965466554,0.011827579117380083,0.9490948412286776,0.461620693526957,4.229039192199707
36,0.005567609869803374,0.01240651123225689,0.9492142512331945,0.4821177993644701,4.239428281784058
37,0.005533987262214606,0.013138422043994069,0.950906204328936,0.45269125713288244,4.289092540740967
38,0.004919783122694263,0.011916278628632426,0.9516265038385469,0.43683171763766265,4.288068532943726
39,0.005554140545427799,0.012613751227036119,0.9516570389499354,0.4768865360810426,4.272231340408325
40,0.005867103114724159,0.012522327248007059,0.9437833646809966,0.4969885969003265,4.279824256896973
