epoch,tr_loss,va_loss,iou_bg,iou_floor,iou_wall,miou_pit,sec
1,0.018440246256068347,2.3457798957824707,0.32832242584574683,0.0,0.00996717013345716,0.00498358506672858,9.721396446228027
2,0.004065129649825394,0.1633330136537552,0.8892371985854832,0.0,0.00017452768445394651,8.726384222697326e-05,6.236493825912476
3,0.0026740784989669917,0.007575872121378779,0.9407379752169561,0.08573734113375026,0.09624456064650602,0.09099095089012814,6.061005115509033
4,0.0018217491800896824,0.001851952401921153,0.9881856690227366,0.3060924883777832,0.3551001072132047,0.33059629779549393,5.853779554367065
5,0.0015433017630130052,0.0015796888037584722,0.9814300641886848,0.3817158931082982,0.30308075045360167,0.3423983217809499,5.941681385040283
6,0.0012580233858898282,0.0009634506423026323,0.9938965030366052,0.5416853428955626,0.5144484526295804,0.5280668977625715,5.826178789138794
7,0.0013120631338097155,0.0010856238659471273,0.9895392876161458,0.5118014578271434,0.41051604567149225,0.4611587517493178,6.000153064727783
8,0.001264934230130166,0.0010391836403869092,0.9952694975526487,0.6147588611272516,0.5810295875672444,0.597894224347248,5.8563079833984375
9,0.0010544956836383789,0.0013010276015847921,0.9934095631996931,0.5217293906810035,0.48655963134988844,0.504144511015446,5.919255256652832
10,0.0010145718872081489,0.0014527178136631846,0.9848198447507073,0.39343032848357584,0.29945154564409393,0.3464409370638349,5.813467979431152
11,0.0010375551821198315,0.000779412395786494,0.9939876305969431,0.5837346174424826,0.5408214417003643,0.5622780295714234,5.709056615829468
12,0.0009309536952059716,0.0010591687168926,0.9956299536929946,0.6143643643643644,0.5846409298464093,0.5995026471053868,5.700578212738037
13,0.0009168060962110758,0.0009501419845037162,0.9953055029083381,0.5699888017917133,0.5483683467574525,0.559178574274583,5.738377809524536
14,0.0008420724945608527,0.0008537543762940913,0.9952188558983059,0.6037590113285273,0.5232198142414861,0.5634894127850067,5.756183624267578
15,0.0007077033864334225,0.0006484593322966248,0.995349224445639,0.6536365790097134,0.5796104943725272,0.6166235366911204,5.7107250690460205
16,0.0008876589417923242,0.0009715416235849261,0.9955849942772012,0.5471316654030831,0.6128545119705341,0.5799930886868085,5.830713987350464
17,0.0009169616096187383,0.0008735438459552824,0.9881214417414694,0.5563594821020563,0.3949624735857764,0.47566097784391637,5.871217489242554
18,0.0009460885426960886,0.0006821633724030107,0.9934514799107046,0.5391050583657587,0.4882693802558123,0.5136872193107855,5.883039951324463
19,0.0008065841277129949,0.0007346097845584154,0.9958602757699877,0.6348864994026284,0.5888506133422954,0.611868556372462,5.894083499908447
20,0.0008590822340920568,0.0007389119418803602,0.9958256495824929,0.6025610050736893,0.5880793569351804,0.5953201810044348,5.956596851348877
21,0.0006619370600674301,0.0008379369101021439,0.9936709470227691,0.5382803297997645,0.5221054073490634,0.530192868574414,5.784336566925049
22,0.0007109999482054263,0.0008359341009054333,0.9938261600956806,0.5185257792589688,0.4958875816029211,0.507206680430945,5.759186267852783
23,0.0007591140107251704,0.0006814593070885167,0.9937984272834635,0.5290819901892081,0.4445510280685657,0.4868165091288869,5.825425863265991
24,0.0008616690756753087,0.000787667406257242,0.9936790410891144,0.4780194354465525,0.4751979318145096,0.47660868363053105,5.8037168979644775
25,0.0008840211958158761,0.0007025754603091627,0.9956868633976265,0.6275458248472505,0.5879637472471625,0.6077547860472066,5.851120710372925
26,0.0008128539309836924,0.0005888161686016247,0.9953253206507807,0.6362106275547007,0.5633723047048829,0.5997914661297918,5.865421772003174
27,0.0007108823279850185,0.0006269090226851404,0.9927714945836708,0.5796571428571429,0.4835710905280238,0.5316141166925833,5.81768798828125
28,0.0007444524439051747,0.0007250027556437999,0.9928516718291608,0.5695364238410596,0.528040132536463,0.5487882781887613,5.774417877197266
29,0.0006836239685071632,0.000530322955455631,0.9951925872145403,0.555501102670914,0.5382855662983426,0.5468933344846283,5.890081882476807
30,0.0007427337288390845,0.0005924054712522775,0.9930940681827257,0.6059236947791165,0.5097247706422018,0.5578242327106591,5.858105182647705
31,0.0007058445829898119,0.000656456541037187,0.9939223839889367,0.5371665371665372,0.47355029342963845,0.5053584152980878,5.731111526489258
32,0.0007617959287017584,0.0008247676305472851,0.9937803984051464,0.6049007695423249,0.5494520005281922,0.5771763850352585,5.743764400482178
33,0.0007151661557145417,0.0006874934188090265,0.9937845722932357,0.5847241311604162,0.5429038500033362,0.5638139905818762,5.766866207122803
34,0.0006529928476084023,0.0007084458484314382,0.992806188498378,0.5949579831932773,0.5141468548786527,0.554552419035965,5.780298233032227
35,0.0006837397872004658,0.0004829712997889146,0.9951033703556148,0.6359357696566998,0.5407005838198499,0.5883181767382748,5.746405124664307
36,0.0007480069529265165,0.0006690736336167902,0.9945061260253524,0.5823319982198487,0.5250775891796621,0.5537047936997554,5.762681007385254
37,0.0006653377990005538,0.0006395856034941971,0.9943663612044543,0.6138978370915784,0.5521097199102555,0.583003778500917,5.810760736465454
38,0.0006331759155727923,0.0008555729291401803,0.9918170478570981,0.5633346051125525,0.4937069579672287,0.5285207815398906,5.825516939163208
39,0.0007549102127086371,0.0008152132504619658,0.994020104737254,0.6335324232081911,0.5510190263389532,0.5922757247735722,5.742939233779907
40,0.0006695662392303348,0.0006878957501612604,0.9936790911355324,0.5934172313649564,0.506056332935604,0.5497367821502802,5.753851413726807
