slope,points,vendor_ground,smrf_ground,recovered,dropped,agree_pct,vendor_nonterminal_pct,smrf_nonterminal_pct,vendor_intermediate,smrf_intermediate,rec_beyond18_pct,rec_med_ang,rec_med_hag,rec_above_half_m_pct,tile,seconds
0.15,9466172,5838895,7273761,1443045,8179,84.66936793457799,0.0,0.0,0,0,73.27027223683254,18.510000228881836,0.00441685039550066,1.2005862603037327,616591,96
0.25,9466172,5838895,7286228,1448892,1559,84.67753385423379,0.0,0.0,0,0,73.05630785455368,18.503999710083008,0.004671633243560791,1.4407561088059013,616591,98
0.35,9466172,5838895,7290294,1451879,480,84.65737787143526,0.0,0.0,0,0,72.95167159246742,18.503999710083008,0.0048127733170986176,1.5964140262377235,616591,94
0.5,9466172,5838895,7293069,1454379,205,84.63387312210257,0.0,0.0,0,0,72.84703643273177,18.503999710083008,0.004933239426463842,1.745143459854687,616591,94
0.7,9466172,5838895,7295112,1456380,163,84.61317837875754,0.0,0.0,0,0,72.75875801645175,18.503999710083008,0.005032628308981657,1.8753347340666586,616591,97
