path,tree,last_run,days_since_run,matched_by,ambiguous,last_edit
notebooks/wellsight_v2/s1_build/archive/_build_exag_derivatives.py,wellsight_v2,2026-06-17,56,name,0,2026-08-18
notebooks/wellsight_v2/s1_build/archive/_fetch_nisar_9t.py,wellsight_v2,2026-06-27,46,name,0,2026-08-18
notebooks/wellsight_v2/s1_build/archive/_fetch_permian_grids.py,wellsight_v2,2026-06-17,56,name,0,2026-08-18
notebooks/wellsight_v2/s1_build/archive/_stack_features.py,wellsight_v2,,,,0,2026-08-18
notebooks/wellsight_v2/s2_labels/_build_label_grids.py,wellsight_v2,2026-08-18,-6,name,0,2026-08-18
notebooks/wellsight_v2/s2_labels/_build_orient_labels.py,wellsight_v2,,,,0,2026-08-18
notebooks/wellsight_v2/s2_labels/_build_pad_road_dataset.py,wellsight_v2,2026-08-18,-6,name,0,2026-08-18
notebooks/wellsight_v2/s2_labels/_build_pad_split.py,wellsight_v2,2026-08-18,-6,name,0,2026-08-18
notebooks/wellsight_v2/s2_labels/_build_pit_dataset.py,wellsight_v2,,,,0,2026-08-18
notebooks/wellsight_v2/s2_labels/_build_pit_dataset_v2.py,wellsight_v2,2026-08-18,-6,name,0,2026-08-18
notebooks/wellsight_v2/s2_labels/_build_unified_split.py,wellsight_v2,,,,0,2026-08-18
notebooks/wellsight_v2/s2_labels/_manifest_guard.py,wellsight_v2,,,,0,2026-08-18
notebooks/wellsight_v2/s2_labels/_merge_review_added_roads_613590_into_roads_shp.py,wellsight_v2,2026-08-05,7,name,0,2026-08-13
notebooks/wellsight_v2/s2_labels/_prep_annotations.py,wellsight_v2,2026-08-18,-6,name,0,2026-08-18
notebooks/wellsight_v2/s2_labels/_prep_road_1m.py,wellsight_v2,2026-08-12,0,name,0,2026-08-18
notebooks/wellsight_v2/s2_labels/_rebuild_labels_road_9t_1m.py,wellsight_v2,2026-08-06,6,name,0,2026-08-18
notebooks/wellsight_v2/s2_labels/_sanity_render.py,wellsight_v2,2026-08-18,-6,name,0,2026-08-18
notebooks/wellsight_v2/s3_train/_drainage_unet_1m.py,wellsight_v2,2026-06-16,57,name,0,2026-08-18
notebooks/wellsight_v2/s3_train/_multitask_unet.py,wellsight_v2,,,,0,2026-08-18
notebooks/wellsight_v2/s3_train/_pad_maskrcnn.py,wellsight_v2,2026-06-06,67,name,0,2026-08-18
notebooks/wellsight_v2/s3_train/_pad_unet.py,wellsight_v2,2026-08-18,-6,name,0,2026-08-18
notebooks/wellsight_v2/s3_train/_pad_unet_cv5.py,wellsight_v2,2026-07-28,15,name,0,2026-08-18
notebooks/wellsight_v2/s3_train/_pad_yolo.py,wellsight_v2,,,,0,2026-08-18
notebooks/wellsight_v2/s3_train/_pit_maskrcnn.py,wellsight_v2,2026-06-06,67,name,0,2026-08-18
notebooks/wellsight_v2/s3_train/_pit_unet_cv5.py,wellsight_v2,2026-08-04,8,name,0,2026-08-18
notebooks/wellsight_v2/s3_train/_pit_unet_v2.py,wellsight_v2,2026-08-18,-6,name,0,2026-08-18
notebooks/wellsight_v2/s3_train/_pit_yolo.py,wellsight_v2,,,,0,2026-08-12
notebooks/wellsight_v2/s3_train/_road_sweep_202607.py,wellsight_v2,2026-07-29,14,name,0,2026-08-18
notebooks/wellsight_v2/s3_train/_road_unet_1m_corrected.py,wellsight_v2,2026-07-20,23,name,0,2026-08-18
notebooks/wellsight_v2/s3_train/_road_unet_1m_recall.py,wellsight_v2,2026-08-18,-6,name,0,2026-08-18
notebooks/wellsight_v2/s4_infer/_infer_roads_data_3x3.py,wellsight_v2,2026-08-18,-6,name,0,2026-08-12
notebooks/wellsight_v2/s4_infer/_pad_maskrcnn_infer.py,wellsight_v2,,,,0,2026-08-12
notebooks/wellsight_v2/s4_infer/_pad_unet_infer_grid.py,wellsight_v2,2026-06-17,56,name,0,2026-08-18
notebooks/wellsight_v2/s4_infer/_pad_yolo_infer.py,wellsight_v2,,,,0,2026-08-12
notebooks/wellsight_v2/s4_infer/_pit_maskrcnn_infer.py,wellsight_v2,,,,0,2026-08-12
notebooks/wellsight_v2/s4_infer/_pit_unet_v2_infer.py,wellsight_v2,,,,0,2026-08-18
notebooks/wellsight_v2/s4_infer/_pit_yolo_infer.py,wellsight_v2,,,,0,2026-08-12
notebooks/wellsight_v2/s4_infer/_postfilter_tile_candidates.py,wellsight_v2,,,,0,2026-08-18
notebooks/wellsight_v2/s4_infer/_predict_on_tile.py,wellsight_v2,,,,0,2026-08-18
notebooks/wellsight_v2/s4_infer/_refine_roads_data_3x3.py,wellsight_v2,2026-06-07,66,name,0,2026-08-12
notebooks/wellsight_v2/s4_infer/_road_infer.py,wellsight_v2,,,,0,2026-08-12
notebooks/wellsight_v2/s4_infer/_yolo_infer_tile.py,wellsight_v2,,,,0,2026-08-13
notebooks/wellsight_v2/s5_eval/_build_undecided_pit_candidates_9t.py,wellsight_v2,,,,0,2026-08-18
notebooks/wellsight_v2/s5_eval/_compare_corrected_613590.py,wellsight_v2,2026-07-20,23,name,0,2026-08-13
notebooks/wellsight_v2/s5_eval/_cv5_centroid_precision_pit_pad_9t.py,wellsight_v2,,,,0,2026-08-18
notebooks/wellsight_v2/s5_eval/_export_pit_floor_threshold_tifs.py,wellsight_v2,2026-07-27,16,name,0,2026-08-12
notebooks/wellsight_v2/s5_eval/_heldout_overlap_9t.py,wellsight_v2,,,,0,2026-08-18
notebooks/wellsight_v2/s5_eval/_heldout_rim_containment_9t.py,wellsight_v2,2026-08-12,0,name,0,2026-08-18
notebooks/wellsight_v2/s5_eval/_map_cv5_unmatched_pit_thr0p50_9t.py,wellsight_v2,,,,0,2026-08-18
notebooks/wellsight_v2/s5_eval/_match_rules_pit_pad_9t.py,wellsight_v2,2026-08-04,8,name,0,2026-08-18
notebooks/wellsight_v2/s5_eval/_pad_cv5_tau_scale.py,wellsight_v2,2026-07-28,15,name,0,2026-08-18
notebooks/wellsight_v2/s5_eval/_pad_threshold_products_9t.py,wellsight_v2,2026-07-27,16,name,0,2026-08-18
notebooks/wellsight_v2/s5_eval/_pit_cv5_tau_scale.py,wellsight_v2,,,,0,2026-08-18
notebooks/wellsight_v2/s5_eval/_pit_optimize.py,wellsight_v2,2026-07-01,42,name,0,2026-08-18
notebooks/wellsight_v2/s5_eval/_pit_threshold_products_9t.py,wellsight_v2,,,,0,2026-08-18
notebooks/wellsight_v2/s5_eval/_plot_iou_strictness_scale_9t.py,wellsight_v2,,,,0,2026-08-18
notebooks/wellsight_v2/s5_eval/_reeval_instance_precision_9t.py,wellsight_v2,,,,0,2026-08-18
notebooks/wellsight_v2/s5_eval/_road_methods_compare.py,wellsight_v2,2026-08-12,0,name,0,2026-08-13
notebooks/wellsight_v2/s5_eval/_road_optimize.py,wellsight_v2,2026-08-12,0,name,0,2026-08-12
notebooks/wellsight_v2/s5_eval/_road_sweep_aggregate.py,wellsight_v2,,,,0,2026-08-12
notebooks/wellsight_v2/s5_eval/_road_threshold_products_9t.py,wellsight_v2,2026-07-27,16,name,0,2026-08-13
notebooks/wellsight_v2/s5_eval/_score_road_pred_vs_roads_shp_613590.py,wellsight_v2,,,,0,2026-08-13
notebooks/wellsight_v2/s5_eval/_style_heldout_gpkg.py,wellsight_v2,,,,0,2026-08-18
notebooks/wellsight_v2/s5_eval/_threshold_common.py,wellsight_v2,2026-07-27,16,name,0,2026-08-12
notebooks/wellsight_v2/s5_eval/_uncounted_well_recovery_9t.py,wellsight_v2,,,,0,2026-08-18
notebooks/wellsight_v2/s6_review/_build_drainage_review_package.py,wellsight_v2,2026-07-29,14,name,0,2026-08-12
notebooks/wellsight_v2/s6_review/_build_pit_review_package.py,wellsight_v2,,,,0,2026-08-18
notebooks/wellsight_v2/s6_review/_build_road_corrections_613590.py,wellsight_v2,2026-07-29,14,name,0,2026-08-13
notebooks/wellsight_v2/s6_review/_build_road_review_package.py,wellsight_v2,,,,0,2026-08-12
notebooks/wellsight_v2/s6_review/_calibrate_drainage_extraction_9t.py,wellsight_v2,2026-07-29,14,name,0,2026-08-12
notebooks/wellsight_v2/s6_review/_overlay_drainage_review_613590.py,wellsight_v2,2026-07-29,14,name,0,2026-08-12
notebooks/wellsight_v2/s6_review/_pit_corrections_diff.py,wellsight_v2,,,,0,2026-08-18
notebooks/wellsight_v2/s6_review/_road_corrections_diff.py,wellsight_v2,,,,0,2026-08-12
notebooks/wellsight_v2/s7_analysis/_bold_vs_faint_roads.py,wellsight_v2,2026-08-05,7,name,0,2026-08-18
notebooks/wellsight_v2/s7_analysis/_classify_9t_roads_bold_faint.py,wellsight_v2,2026-08-05,7,name,0,2026-08-12
notebooks/wellsight_v2/s7_analysis/_export_well_age_qgis.py,wellsight_v2,,,,0,2026-08-18
notebooks/wellsight_v2/s7_analysis/_icp_change_9t.py,wellsight_v2,2026-07-25,18,name,0,2026-08-12
notebooks/wellsight_v2/s7_analysis/_icp_change_9t_rebuild.py,wellsight_v2,2026-07-31,12,name,0,2026-08-12
notebooks/wellsight_v2/s7_analysis/_icp_change_classify_9t.py,wellsight_v2,2026-08-05,7,name,0,2026-08-12
notebooks/wellsight_v2/s7_analysis/_pad_morphology_bins.py,wellsight_v2,2026-08-18,-6,name,0,2026-08-18
notebooks/wellsight_v2/s7_analysis/_photo_source_locations.py,wellsight_v2,2026-07-20,23,name,0,2026-08-12
notebooks/wellsight_v2/s7_analysis/_road_morphology_bins.py,wellsight_v2,2026-08-05,7,name,0,2026-08-12
notebooks/wellsight_v2/s7_analysis/_score_bold_faint_exemplar_segments.py,wellsight_v2,2026-07-31,12,name,0,2026-08-12
notebooks/wellsight_v2/s7_analysis/_well_age_morphology.py,wellsight_v2,2026-07-19,24,name,0,2026-08-18
notebooks/wellsight_v2/s7_analysis/_well_provenance_flags.py,wellsight_v2,2026-07-20,23,name,0,2026-08-13
roads_studio/__init__.py,roads_studio,,,,0,2026-07-21
roads_studio/app.py,roads_studio,,,,0,2026-07-22
roads_studio/core.py,roads_studio,,,,0,2026-08-12
roads_studio/main.py,roads_studio,,,,0,2026-07-21
roads_studio/train.py,roads_studio,,,,0,2026-08-12
tests/__init__.py,tests,,,,0,2026-05-17
tests/conftest.py,tests,,,,0,2026-05-17
tests/preprocessing/__init__.py,tests,,,,0,2026-05-17
tests/preprocessing/test_cornrow_filter.py,tests,,,,0,2026-05-17
tests/test_no_legacy_id_columns.py,tests,2026-08-18,-6,path,0,2026-08-18
tests/test_paths_config.py,tests,,,,0,2026-08-13
tools/apply_moves.py,tools,2026-08-12,0,path,0,2026-08-12
tools/audit_script_usage.py,tools,,,,0,2026-08-12
tools/build_reference_index.py,tools,,,,0,2026-08-12
tools/check_archived_still_used.py,tools,,,,0,2026-08-12
tools/convert_path_literals.py,tools,2026-08-12,0,path,0,2026-08-12
tools/find_duplicates.py,tools,,,,0,2026-08-12
tools/golden.py,tools,2026-08-12,0,name,0,2026-08-13
tools/plan_archive.py,tools,,,,0,2026-08-12
tools/plan_stage_refactor.py,tools,,,,0,2026-08-12
tools/plan_v1_archive.py,tools,,,,0,2026-08-12
tools/rewrite_qgis_paths.py,tools,,,,0,2026-08-12
tools/script_last_used.py,tools,,,,0,2026-08-12
tools/verify_backup.py,tools,,,,0,2026-08-12
tools/verify_no_path_literals.py,tools,2026-08-12,0,path,0,2026-08-18
tools/verify_paths.py,tools,2026-08-12,0,name,0,2026-08-12
tools/write_provenance.py,tools,,,,0,2026-08-13
ui/app.py,ui,,,,0,2026-07-21
ui/jobs.py,ui,,,,0,2026-07-20
ui/pages/1_Roads.py,ui,,,,0,2026-07-21
ui/pages/2_Analysis.py,ui,,,,0,2026-07-21
ui/pages/3_Jobs.py,ui,,,,0,2026-07-21
ui/paths.py,ui,,,,0,2026-08-12
ui/registry.py,ui,,,,0,2026-08-13
ui/state.py,ui,,,,0,2026-07-20
ui/style.py,ui,,,,0,2026-07-21
ui/widgets.py,ui,,,,0,2026-07-21
