path,verdict,why,imports,imported_by,executed,cited,documented,has_v2_twin
notebooks/wellsight/build/_road_methods_compare.py,ORPHAN,,2,0,3,0,0,1
notebooks/wellsight/build/_road_optimize.py,ACTIVE,R7 via roads_studio/core.py,1,1,1,1,0,1
notebooks/wellsight/build/_yolo_infer_tile.py,SUPERSEDED,,2,0,0,0,0,1
notebooks/wellsight/fetch/_fetch_3dep_inventory.py,UNREFERENCED,,1,0,0,0,0,0
notebooks/wellsight/fetch/_fetch_dense_3x3.py,UNREFERENCED,,1,0,0,0,0,0
notebooks/wellsight/fetch/_fetch_oilcreek_contiguous_20.py,ORPHAN,,1,0,1,0,0,0
notebooks/wellsight/fetch/_fetch_pa_laz.py,UNREFERENCED,,1,0,0,0,0,0
notebooks/wellsight/multitask/_multitask_unet.py,HISTORICAL,,2,1,10,1,0,1
notebooks/wellsight/pits/_pit_maskrcnn.py,HISTORICAL,,2,3,1,1,0,1
notebooks/wellsight/pits/_pit_maskrcnn_infer.py,HISTORICAL,,3,1,2,1,0,1
notebooks/wellsight/pits/_pit_unet_v2.py,ACTIVE,R7 via notebooks/wellsight_v2/_dl.py,2,0,6,1,0,1
notebooks/wellsight/pits/_pit_unet_v2_infer.py,ORPHAN,,2,0,7,0,0,1
notebooks/wellsight/pits/_pit_yolo.py,HISTORICAL,,2,0,2,1,0,1
notebooks/wellsight/pits/_pit_yolo_infer.py,HISTORICAL,,2,0,2,1,0,1
notebooks/wellsight/pits/_stack_features.py,ACTIVE,R7 via notebooks/wellsight_v2/_dl.py,1,0,0,0,0,1
notebooks/wellsight/plats/_pad_maskrcnn.py,HISTORICAL,,3,0,1,1,0,1
notebooks/wellsight/plats/_pad_maskrcnn_infer.py,HISTORICAL,,4,0,2,1,0,1
notebooks/wellsight/plats/_pad_yolo.py,ORPHAN,,2,0,2,0,0,1
notebooks/wellsight/plats/_pad_yolo_infer.py,ORPHAN,,2,0,2,0,0,1
notebooks/wellsight/plats/_plat_unet.py,ACTIVE,R7 via notebooks/wellsight_v2/_dl.py,2,0,7,1,0,1
notebooks/wellsight/preprocessing/__init__.py,UNREFERENCED,,2,0,0,0,0,0
notebooks/wellsight/preprocessing/_build_cornrow_demo_nb.py,UNREFERENCED,,0,0,0,0,0,0
notebooks/wellsight/preprocessing/cornrow_filter.py,ACTIVE,R7 via tests/preprocessing/test_cornrow_filter.py,0,2,0,0,0,0
notebooks/wellsight/preprocessing/dem_idw_builder.py,UNREFERENCED,,0,1,0,0,0,0
notebooks/wellsight/roads/_build_road_multiblock_dataset.py,HISTORICAL,,1,0,3,1,0,0
