epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,3073.67,0.81302,1.3973,0.47338,0.89867,0,0.91876,0.94302,0.96014,0.48063,0.85488,0.87153,0.86734,0.3572,1.6245,3.39342,0.66034,1.31191,0,0.00122141,0.00122141,0.00122141
29,3188.56,0.7927,1.37594,0.4657,0.89671,0,0.91606,0.904,0.94488,0.4723,0.86102,0.85398,0.86475,0.36346,1.62668,3.37616,0.66593,1.31954,0,0.00120491,0.00120491,0.00120491
30,3298.98,0.77857,1.34624,0.45705,0.89056,0,0.90286,0.9071,0.92666,0.45995,0.85359,0.84753,0.83627,0.34544,1.65741,3.38933,0.75317,1.36007,0,0.0011884,0.0011884,0.0011884
31,3407.71,0.77419,1.35352,0.46072,0.89454,0,0.9103,0.90513,0.92983,0.47717,0.87492,0.86887,0.87909,0.36427,1.61175,3.46803,0.6574,1.33456,0,0.0011719,0.0011719,0.0011719
32,3521.14,0.76608,1.33756,0.46052,0.89015,0,0.95613,0.86627,0.9438,0.47296,0.91736,0.83136,0.87395,0.34499,1.62064,3.38691,0.69777,1.3222,0,0.0011554,0.0011554,0.0011554
33,3632.99,0.7531,1.30687,0.44627,0.88702,0,0.92602,0.83425,0.886,0.4601,0.90818,0.81853,0.83847,0.3408,1.62049,3.4698,0.75221,1.3293,0,0.00113889,0.00113889,0.00113889
34,3747.41,0.73146,1.28083,0.43907,0.87564,0,0.90196,0.86656,0.91591,0.45055,0.86442,0.80621,0.83952,0.33459,1.68543,3.5236,0.73472,1.37868,0,0.00112239,0.00112239,0.00112239
35,3862.65,0.72682,1.28287,0.4321,0.88114,0,0.91924,0.88283,0.93072,0.44628,0.87558,0.84164,0.86884,0.33993,1.61805,3.5991,0.70725,1.34145,0,0.00110589,0.00110589,0.00110589
36,3972.63,0.72184,1.27325,0.43787,0.87957,0,0.92245,0.91029,0.9411,0.47758,0.86425,0.853,0.84348,0.35104,1.62482,3.72699,0.67593,1.32834,0,0.00108938,0.00108938,0.00108938
37,4085.79,0.68762,1.19127,0.4193,0.86443,0,0.91679,0.87409,0.9325,0.45769,0.8728,0.83299,0.84193,0.33623,1.6536,3.82665,0.72795,1.36121,0,0.00107288,0.00107288,0.00107288
38,4197.44,0.69622,1.23694,0.42543,0.87483,0,0.89247,0.93254,0.94028,0.48215,0.88519,0.8695,0.88456,0.36949,1.61027,3.70732,0.66594,1.34649,0,0.00105638,0.00105638,0.00105638
39,4307.89,0.69185,1.23527,0.42103,0.86851,0,0.88574,0.89149,0.91675,0.45188,0.81886,0.8396,0.81968,0.34457,1.6367,3.4804,0.73869,1.35871,0,0.00103987,0.00103987,0.00103987
