epoch,tr_loss,va_loss,score,sec,iou_bg,iou_road,iou_drainage
1,0.002824741068605417,0.0033443854303733833,0.5902050707316884,380.22257232666016,0.9764961473047833,0.5902050707316884,0.7930843343778557
2,0.002413332479686212,0.0032935419606160274,0.5791461873277087,358.2648458480835,0.9751341598066849,0.5791461873277087,0.788504972598444
3,0.002291291142329956,0.003258673138339567,0.5914124199901151,354.66429018974304,0.9766560811829414,0.5914124199901151,0.7988460936257042
4,0.00221547293518027,0.0034888231863094642,0.5976856401245435,343.69365978240967,0.977002958197699,0.5976856401245435,0.7975370277916458
5,0.0021585378307830056,0.003553022305992127,0.6197752712366638,356.0354359149933,0.9788422794163151,0.6197752712366638,0.805144674408735
6,0.002082030756925511,0.0037206790576878508,0.6138149012557419,356.45713925361633,0.9782942662122883,0.6138149012557419,0.8024139706399103
7,0.002055637960221424,0.0034662757081235143,0.6048550906915188,356.52974033355713,0.9777858442767864,0.6048550906915188,0.8048543781605262
8,0.0020037444990168244,0.003496504409354081,0.6021242162543896,351.52347111701965,0.9778047809441004,0.6021242162543896,0.8120766097196925
9,0.001982746300688917,0.003472153732009166,0.6158101415587002,349.437504529953,0.9787313838361887,0.6158101415587002,0.8107160364800702
10,0.0019472107800973038,0.003804813308097356,0.6119175690159906,348.5770812034607,0.9783609617736485,0.6119175690159906,0.8055504770956504
11,0.001929604411129527,0.003615887826349817,0.618957152350322,367.54623770713806,0.978878707501985,0.618957152350322,0.8081624564453134
12,0.0019071210254376421,0.003521169684167984,0.6241347927069707,363.6540994644165,0.9790925007128048,0.6241347927069707,0.8116831897108077
13,0.0018787285688319313,0.0035855097209919343,0.6199834333220896,361.75401616096497,0.9788700466353978,0.6199834333220896,0.8098814760864903
14,0.001883294112561618,0.0035242324394165678,0.6219188091680083,351.37035298347473,0.9793867886743861,0.6219188091680083,0.8176480525671121
15,0.0018667215718140603,0.003489331175383609,0.6254583412882374,354.88650369644165,0.9793414071552775,0.6254583412882374,0.8091180947264751
