epoch,tr_loss,val_road_iou,sec
1,0.016725901163308257,0.5940529208203071,378.2875735759735
2,0.015222408849600036,0.5907388705736918,358.40850949287415
3,0.014417237167788753,0.5832286823448773,358.9098696708679
4,0.013708675334945932,0.5908020208746555,359.31365633010864
5,0.013235575730613531,0.588625203338553,365.8071789741516
6,0.012735017379850094,0.5879947852558378,351.30559062957764
7,0.01234552629835862,0.5880750126381971,381.2657513618469
8,0.011799316633051372,0.5890503961189741,381.55649757385254
9,0.011623045243235972,0.5870849044889653,337.9909782409668
10,0.011391734454603588,0.5887280274704189,336.64351987838745
11,0.011278420577691035,0.5895878567060248,336.5297882556915
12,0.01118916072604705,0.5891195733958158,336.46702098846436
