epoch,tr_loss,va_loss,iou_bg,iou_plat,sec
1,0.03296388141237772,0.03182303626090288,0.7681463704603367,0.16032219929068067,10.215017080307007
2,0.02145230512206371,0.02477653417736292,0.8309642834640414,0.17518069114160809,6.162710428237915
3,0.02213579659851698,0.020157845690846443,0.8565681287287112,0.16150811181742142,5.842678546905518
4,0.01921047456562519,0.022150236181914806,0.8308490635428967,0.1879322211661368,5.78521728515625
5,0.018908531834872868,0.018485977314412594,0.8024205390752682,0.1615081550914472,5.736615419387817
6,0.018139750696718693,0.019752304535359144,0.7154963537925775,0.143447192513369,5.645511627197266
7,0.017817922867834568,0.02230101265013218,0.7014349504402466,0.1781776465999349,5.394591808319092
8,0.01638886146247387,0.04042306821793318,0.5558290303918091,0.1271438959933311,5.409650564193726
9,0.015723586154098693,0.029148710891604424,0.6926429319033641,0.15872741164882306,5.5189666748046875
10,0.016236455323031314,0.01856954302638769,0.8063189519252093,0.18267496573415676,5.447200536727905
11,0.015446491109637113,0.014954730402678251,0.8897230339066802,0.23551402720980963,5.404217004776001
12,0.014174099868306747,0.016460302285850048,0.8768840417643994,0.24394194442339542,5.453434467315674
13,0.014276822957281884,0.015399825293570757,0.9324311444267374,0.31806217746899623,5.381551742553711
14,0.013350325636565685,0.025188928935676813,0.9477066751263624,0.2369495328512572,5.437084674835205
15,0.013571087270975113,0.015158040216192603,0.8708710489654633,0.271334978623346,5.492015838623047
16,0.013190708911189666,0.02072851825505495,0.9366694800905687,0.29041523039257483,5.454905271530151
17,0.013820110247112237,0.022022924851626158,0.9394781231942629,0.24876971541115922,5.424109220504761
18,0.013495463018233959,0.013184044510126114,0.8969056087224476,0.2982000418629936,5.453359603881836
19,0.012202897324011875,0.0182510435115546,0.9465867320014588,0.2734333186296133,5.525989532470703
20,0.01250218922415605,0.012656910577788949,0.908543707621598,0.33673065664785995,5.504476070404053
21,0.012389302182082947,0.011844358639791608,0.9186725211975336,0.2795622501781675,5.37723183631897
22,0.011480272461015444,0.016002261079847813,0.9279083367198263,0.3529003558718861,5.413347005844116
23,0.012087791585005246,0.013316189288161695,0.9291281117374777,0.33879662736018196,5.429720878601074
24,0.010987574664446024,0.014986744150519371,0.9273337329696187,0.3567544886807182,5.417470693588257
25,0.011535451819117252,0.016673391684889793,0.9447480945305681,0.34693472364037664,5.461799621582031
26,0.011501436479962789,0.013219680171459913,0.92399461670083,0.3627858782007793,5.26563024520874
27,0.01105888058932928,0.015712118009105325,0.9229950187952521,0.3429674186595041,5.096460342407227
28,0.010970263097148675,0.01508109807036817,0.9430785538934888,0.3501654535071904,5.055649280548096
29,0.011005424966032688,0.01756507041864097,0.9383181863494565,0.32199520931091286,5.074360609054565
30,0.011370270942839293,0.012298296671360731,0.9248108742495685,0.3675168989005714,5.079000949859619
31,0.010046540759503841,0.014348667580634356,0.9421692648761676,0.32777442870096907,5.270136117935181
32,0.011023655533790588,0.015079660341143608,0.9332307809910747,0.3533828988374443,5.12693977355957
33,0.010432017035782337,0.015332070994190872,0.9334157225953988,0.3944610793495026,5.074581861495972
34,0.010527210811582895,0.01613918028306216,0.9387448133350792,0.38531966248341015,5.108845233917236
35,0.009994598821951793,0.014967058785259724,0.9418634217457272,0.3945573868126582,5.077377557754517
36,0.01061553808932121,0.01623380766250193,0.9483356675652205,0.36622391907919927,5.086140155792236
37,0.01011304847466258,0.020564320031553507,0.9320765012762178,0.3651834777418757,5.073718786239624
38,0.01081156601699499,0.015784379094839096,0.9386451317250197,0.3981742864250408,5.0833845138549805
39,0.010146471313559093,0.015137938084080815,0.927828053899764,0.35593700341415063,5.08040452003479
40,0.010792982263060717,0.019686973188072443,0.9287080877336623,0.3913853815631877,5.120471954345703
