n_px,elev_mean,elev_std,elev_range,slope_mean,slope_std,slope_p95,tile,wp_id,kind
6254,1297.951171875,0.7408261895179749,4.5775146484375,3.5163967609405518,6.563816547393799,21.662763595581055,USGS_LPC_NM_SouthEast_2018_D19_13S_FS_10500_40500,18603,pad
6323,1334.5452880859375,0.22087928652763367,1.009033203125,0.9012932777404785,0.7428332567214966,2.3048315048217773,USGS_LPC_NM_SouthEast_2018_D19_13S_FS_10500_40500,18604,pad
12561,1335.153076171875,0.2036927044391632,1.0032958984375,0.9721065759658813,0.9209019541740417,2.7597439289093018,USGS_LPC_NM_SouthEast_2018_D19_13S_FS_10500_40500,18605,pad
5629,1293.4415283203125,0.5396252870559692,4.990966796875,4.088276386260986,6.928188800811768,22.494001388549805,USGS_LPC_NM_SouthEast_2018_D19_13S_FS_10500_40500,18671,pad
4907,1335.40966796875,0.15285839140415192,1.4207763671875,1.7895970344543457,2.16628098487854,6.786391258239746,USGS_LPC_NM_SouthEast_2018_D19_13S_FS_10500_40500,18672,pad
4308,1334.9881591796875,0.11115574091672897,0.602294921875,0.794122576713562,0.9094893336296082,2.589869499206543,USGS_LPC_NM_SouthEast_2018_D19_13S_FS_10500_40500,18673,pad
4510,1334.0576171875,0.08579771965742111,0.904296875,0.8628255128860474,1.0417289733886719,3.276247501373291,USGS_LPC_NM_SouthEast_2018_D19_13S_FS_10500_40500,18736,pad
5309,1333.2862548828125,0.22469721734523773,1.1473388671875,1.0794212818145752,1.2330206632614136,3.4971530437469482,USGS_LPC_NM_SouthEast_2018_D19_13S_FS_10500_40500,18877,pad
8546,1332.00048828125,0.34719526767730713,2.114013671875,1.5239750146865845,2.2795019149780273,5.826472282409668,USGS_LPC_NM_SouthEast_2018_D19_13S_FS_10500_40500,18944,pad
4905,1330.669921875,0.14131733775138855,1.0828857421875,1.3619966506958008,2.5443997383117676,5.94647741317749,USGS_LPC_NM_SouthEast_2018_D19_13S_FS_10500_40500,18998,pad
10140,899.5994262695312,0.26814505457878113,1.57415771484375,1.1695371866226196,1.6383476257324219,3.6848766803741455,USGS_LPC_TX_West_Central_B4_2018_13RGR500055,120959,pad
11057,897.7160034179688,0.16219982504844666,1.84716796875,0.8982448577880859,1.1516557931900024,2.569612979888916,USGS_LPC_TX_West_Central_B4_2018_13RGR500055,121153,pad
27356,897.0426025390625,0.11887451261281967,0.96771240234375,0.8869912624359131,1.0590770244598389,2.8977441787719727,USGS_LPC_TX_West_Central_B4_2018_13RGR500055,121258,pad
18368,898.100830078125,0.30412557721138,1.66217041015625,1.281473994255066,1.3863033056259155,4.140143871307373,USGS_LPC_TX_West_Central_B4_2018_13RGR500055,121259,pad
14912,897.2735595703125,0.11447323113679886,0.763427734375,0.7959945797920227,0.9024262428283691,2.6960744857788086,USGS_LPC_TX_West_Central_B4_2018_13RGR500055,121373,pad
8691,896.6155395507812,0.115969717502594,0.60882568359375,0.9492855072021484,1.3717756271362305,4.181761741638184,USGS_LPC_TX_West_Central_B4_2018_13RGR500055,121474,pad
15618,896.77783203125,0.0899023562669754,0.836669921875,0.9610952734947205,1.0279936790466309,3.0984301567077637,USGS_LPC_TX_West_Central_B4_2018_13RGR500055,121560,pad
21838,897.3843994140625,0.20442622900009155,0.94390869140625,0.8731992840766907,0.8397989273071289,2.4150068759918213,USGS_LPC_TX_West_Central_B4_2018_13RGR500055,121561,pad
41540,897.3130493164062,0.15363290905952454,2.876220703125,0.9067902565002441,1.3864425420761108,2.3867242336273193,USGS_LPC_TX_West_Central_B4_2018_13RGR500055,121562,pad
11014,897.1965942382812,0.13124395906925201,0.65545654296875,0.8368161916732788,0.8297027945518494,2.5956430435180664,USGS_LPC_TX_West_Central_B4_2018_13RGR500055,121650,pad
9254,897.1865844726562,0.47176799178123474,2.490234375,5.096502304077148,7.909631729125977,23.757434844970703,USGS_LPC_TX_West_Central_B4_2018_13RGR500055,121651,pad
9446,896.9946899414062,0.127894788980484,0.80096435546875,0.9919807314872742,1.1591341495513916,3.4010372161865234,USGS_LPC_TX_West_Central_B4_2018_13RGR500055,121652,pad
9773,897.6162719726562,0.11786790937185287,0.68865966796875,0.8820740580558777,0.8992218375205994,2.8715429306030273,USGS_LPC_TX_West_Central_B4_2018_13RGR500055,121828,pad
27261,897.13525390625,0.2874657213687897,4.2137451171875,1.189454436302185,2.342994451522827,2.7487518787384033,USGS_LPC_TX_West_Central_B4_2018_13RGR500055,121829,pad
1251,897.0760498046875,0.11113089323043823,0.440185546875,0.8809506893157959,0.9147626757621765,2.823054075241089,USGS_LPC_TX_West_Central_B4_2018_13RGR500055,121916,pad
10834,897.032470703125,0.07990643382072449,0.89459228515625,1.0613491535186768,1.3987370729446411,3.2886250019073486,USGS_LPC_TX_West_Central_B4_2018_13RGR500055,121917,pad
10246,897.2924194335938,0.10686202347278595,0.7625732421875,0.9152832627296448,0.9945508241653442,3.02681565284729,USGS_LPC_TX_West_Central_B4_2018_13RGR515055,121916,pad
6167,897.0494384765625,0.04737875983119011,0.529296875,0.8694545030593872,1.045722246170044,2.990745782852173,USGS_LPC_TX_West_Central_B4_2018_13RGR515055,121917,pad
8953,896.6226196289062,0.0803757980465889,1.044189453125,0.9094856381416321,1.0225669145584106,2.736870288848877,USGS_LPC_TX_West_Central_B4_2018_13RGR515055,121919,pad
16799,896.2715454101562,0.12813258171081543,0.99835205078125,1.1144676208496094,1.1688001155853271,3.6566481590270996,USGS_LPC_TX_West_Central_B4_2018_13RGR515055,122228,pad
8535,896.5004272460938,0.20867577195167542,2.084716796875,1.1582916975021362,2.111877679824829,3.4870753288269043,USGS_LPC_TX_West_Central_B4_2018_13RGR515055,122318,pad
9626,895.2796630859375,0.08779386430978775,0.53033447265625,0.8542801737785339,1.1096593141555786,3.2487096786499023,USGS_LPC_TX_West_Central_B4_2018_13RGR515055,122319,pad
20029,894.8168334960938,0.3806956112384796,1.882568359375,1.1264492273330688,1.193237066268921,2.59891414642334,USGS_LPC_TX_West_Central_B4_2018_13RGR515055,122526,pad
8673,894.7490234375,0.1272554099559784,0.847412109375,0.8903422951698303,0.9169654846191406,2.8818418979644775,USGS_LPC_TX_West_Central_B4_2018_13RGR515055,122637,pad
2729,894.7110595703125,0.18899041414260864,1.6788330078125,1.4546345472335815,3.3001151084899902,3.361359119415283,USGS_LPC_TX_West_Central_B4_2018_13RGR515055,122639,pad
5926,894.8388671875,0.1558743566274643,0.7122802734375,1.0050208568572998,0.8706232905387878,2.447636842727661,USGS_LPC_TX_West_Central_B4_2018_13RGR515055,122640,pad
10060,895.401611328125,0.0979410856962204,0.64630126953125,0.7964096069335938,0.8568507432937622,2.5020687580108643,USGS_LPC_TX_West_Central_B4_2018_13RGR515055,122641,pad
10640,894.47509765625,0.44755083322525024,2.404296875,1.6864231824874878,2.462167739868164,6.680140495300293,USGS_LPC_TX_West_Central_B4_2018_13RGR515055,122766,pad
9747,894.4647827148438,0.1529058814048767,0.9569091796875,1.1131782531738281,1.3147965669631958,3.7057809829711914,USGS_LPC_TX_West_Central_B4_2018_13RGR515055,122882,pad
3607,894.572265625,0.06394291669130325,0.68548583984375,0.9620502591133118,1.3840359449386597,3.1612110137939453,USGS_LPC_TX_West_Central_B4_2018_13RGR515055,122883,pad
