epoch,tr_loss,va_loss,score,sec,iou_bg,iou_road
1,0.01581782199597607,0.030648743268102407,0.08422808580384107,14.204850673675537,0.774569019118144,0.08422808580384107
2,0.011321027996018529,0.010375422658398747,0.12496685186502726,8.569345474243164,0.8664311644819528,0.12496685186502726
3,0.010223334189504385,0.009154812432825565,0.12737377422054375,8.28048849105835,0.848998496928506,0.12737377422054375
4,0.009882469001847008,0.00912987207993865,0.13838584290847486,8.478889226913452,0.8753592439429736,0.13838584290847486
5,0.00971364660654217,0.008173190872184932,0.17598956991725528,8.30690598487854,0.909975385601305,0.17598956991725528
6,0.00878664404929926,0.00858820672146976,0.1689963550899277,8.293415546417236,0.8968273358523413,0.1689963550899277
7,0.008800837056090435,0.01318799308501184,0.1031098330524051,8.229665756225586,0.7898730509785478,0.1031098330524051
8,0.008042423656055083,0.008105829125270247,0.1589240056039714,8.204611778259277,0.8957671753821046,0.1589240056039714
9,0.008383147418498993,0.008308266871608794,0.2221139469842219,8.206908941268921,0.9456128704252796,0.2221139469842219
10,0.007635344149700056,0.006995816715061665,0.2172933803368586,8.20524001121521,0.9309434985977892,0.2172933803368586
11,0.007556424417998642,0.007231096737086773,0.23473629017976505,8.218036651611328,0.9457333323155634,0.23473629017976505
12,0.007309164250424753,0.006821141229011118,0.20329379935193634,8.568629741668701,0.9376870472450922,0.20329379935193634
13,0.007222634895394246,0.005885236663743854,0.24603934776828218,8.576390266418457,0.9347715582226301,0.24603934776828218
14,0.006822715241772433,0.01121845399029553,0.11263724313387546,8.531697511672974,0.812846891613108,0.11263724313387546
15,0.007046500570140779,0.007559300283901393,0.25371669004207575,8.545183181762695,0.9528610281806181,0.25371669004207575
16,0.006788797036278993,0.007671753177419305,0.25164664792571767,8.326615810394287,0.9458378422635635,0.25164664792571767
17,0.006793740671128035,0.005795083940029144,0.26646937628769435,8.461533069610596,0.9517413349750126,0.26646937628769435
18,0.006477327493485063,0.006880678352899849,0.2624404378144846,8.48388957977295,0.9509462808583372,0.2624404378144846
19,0.006217813778979083,0.0066490680910646915,0.2330907098692964,8.222566366195679,0.9395779260259383,0.2330907098692964
20,0.006462964345701039,0.00682591472286731,0.31735827218566137,8.138648271560669,0.9544875011717149,0.31735827218566137
21,0.006597911085312565,0.005778873455710709,0.26744899478778855,8.207923650741577,0.9391048019149427,0.26744899478778855
22,0.006161194934975356,0.0048921830602921546,0.35897217304963114,8.180625677108765,0.9684934258605412,0.35897217304963114
23,0.005872422945685685,0.005786827416159213,0.2857569106248714,8.24457335472107,0.9485201511724168,0.2857569106248714
24,0.005983058382601787,0.0058059729635715485,0.2605008467217396,8.260043144226074,0.9451243794237161,0.2605008467217396
25,0.0055149995993512375,0.006484976736828685,0.35101588210044354,8.289468050003052,0.9595869372008223,0.35101588210044354
26,0.005689204728696495,0.004927422443870455,0.24543219337739886,8.333997011184692,0.9416797921768175,0.24543219337739886
27,0.005239938890251021,0.006114739226177335,0.27587035390788306,8.334264993667603,0.9478872362719637,0.27587035390788306
28,0.005383882923827817,0.007280576857738197,0.32156354650031665,8.318128824234009,0.9595426904150369,0.32156354650031665
29,0.005711863554703693,0.007137324428185821,0.20523525986415853,8.383794784545898,0.9145194645605825,0.20523525986415853
30,0.0058004131230215234,0.006354792159982026,0.29905200220281647,8.283191919326782,0.9560310140564058,0.29905200220281647
31,0.00537220547751834,0.0069795220624655485,0.3225006264094212,8.39955759048462,0.9531348307401123,0.3225006264094212
32,0.0052487859114383655,0.0045934514491818845,0.313213869121711,8.335517644882202,0.9566641556035813,0.313213869121711
33,0.00534841266926378,0.004644313943572342,0.28766455387615797,8.223147630691528,0.9479737910405241,0.28766455387615797
34,0.00518559681950137,0.0046986237866804,0.33725522772411815,8.170862436294556,0.9565485400240131,0.33725522772411815
35,0.0055323163396678865,0.005478543462231755,0.3058499347159141,8.34367322921753,0.9572318061081768,0.3058499347159141
36,0.005144670353426288,0.005334086192306131,0.2885634684450206,8.399438381195068,0.9462189769605007,0.2885634684450206
37,0.004983542952686548,0.005438343738205731,0.30291018582362866,8.164042949676514,0.9502183183523509,0.30291018582362866
38,0.005143595713889226,0.004553401144221425,0.3268095646805499,8.258347988128662,0.9557567839111439,0.3268095646805499
39,0.0050172245149345445,0.005361620802432299,0.3101895600908309,8.147856950759888,0.9515855411692298,0.3101895600908309
40,0.004891416193762173,0.005571721121668816,0.2972643140445439,8.105524778366089,0.9504475889100917,0.2972643140445439
