model,res,val_road_iou,pix_iou,ap_vs_drainage,P_road,P_drain,added_P_after,added_frac05_after,reject_P_after,added_vs_reject_AP
recall (baseline),1m,,0.5813932126394549,0.9985007760897815,0.7781983333243409,0.004077213518626307,,,,
corrected (baseline),1m,0.6362161837660247,0.5728518458810253,0.9985610782919085,0.784223575347312,0.004936121074602889,0.7799,0.957,0.1621,0.5405231773172704
cldice,1m,0.5929552463808143,0.5583445496548521,0.9981612038535652,0.8849845486355848,0.00616646191172836,0.889,0.957,0.1546,0.4703535373880099
alpha078,1m,0.6389224785355524,0.5795997744747959,0.9985473076784013,0.790476615989337,0.005067556777549858,0.7794,0.935,0.1575,0.5531301771752226
boundary,1m,0.6682692284342604,0.6008318446742092,0.9985505614835424,0.7423041090085939,0.0044565220963064455,0.7316,0.913,0.1472,0.5295073212069608
orient,1m,0.6361252700454267,0.576974015875864,0.9963564224640313,0.7385555585853594,0.029889228384204714,0.6808,0.826,0.1159,0.6600027750205298
res05,05,0.5019324656733306,0.48552540546116485,0.9973238988282955,0.7065584801305832,0.027491349391586165,,,,
