target,arch,fold,best_epoch,score,va_loss,minutes,n_epochs
pad,r34_imagenet,0,31,0.5865497001043672,0.0193143560386755,11.009165287017822,40
pad,r34_imagenet,1,39,0.5952625789688547,0.0122272813459858,11.048163715998331,40
pad,r34_imagenet,2,36,0.6112063781433007,0.0145400840450416,11.165419109662373,40
pad,r34_imagenet,3,40,0.5759535754507659,0.0136161243373697,11.110691122214,40
pad,r34_imagenet,4,36,0.6269629026736172,0.0165469170350468,11.05989754597346,40
pad,r34_scratch,0,31,0.5736298839869006,0.013983096817837,11.543104648590088,40
pad,r34_scratch,1,32,0.542676404975094,0.0117448511737165,11.638914787769318,40
pad,r34_scratch,2,31,0.5895845869566375,0.0123059462868806,11.468263125419616,40
pad,r34_scratch,3,40,0.527905403603372,0.0130213443754297,11.805613164107005,40
pad,r34_scratch,4,39,0.6035552554498478,0.0142941268753599,11.558333504199982,40
pad,unet,0,31,0.5581724903807052,0.0141253552728277,13.466856062412262,40
pad,unet,1,32,0.5433565592924808,0.0119926423794822,13.032217224438986,40
pad,unet,2,30,0.5632248085327979,0.0133064326576211,13.12532136440277,40
pad,unet,3,29,0.5243945219028644,0.011320247117317,12.755987465381622,40
pad,unet,4,39,0.5840159928229355,0.0137420449913902,12.688182469209035,40
pad,unetpp_r34_imagenet,0,38,0.5960469571741106,0.0200507836142445,18.321443688869476,40
pad,unetpp_r34_imagenet,1,32,0.5952212906699484,0.0120371055672876,18.144209961096447,40
pad,unetpp_r34_imagenet,2,34,0.626403989614744,0.0124856667085127,18.94300295114517,40
pad,unetpp_r34_imagenet,3,40,0.5871629614000089,0.0111692451984819,18.613249619801838,40
pad,unetpp_r34_imagenet,4,39,0.6362235004018312,0.0152637769581016,18.073503613471985,40
pit,r34_imagenet,0,35,0.5645676772911807,0.0006272835554017,9.38624230225881,40
pit,r34_imagenet,1,35,0.5384976893553693,0.0009804924903437,8.988642970720926,40
pit,r34_imagenet,2,38,0.5543249181651047,0.0008089984655201,8.698612773418427,40
pit,r34_imagenet,3,30,0.5592043972424073,0.0008610167785082,8.608303081989288,40
pit,r34_imagenet,4,27,0.524458075583511,0.0007935836765682,8.67047568957011,40
pit,r34_scratch,0,36,0.5597232337946103,0.0006928295971682,8.88058408498764,40
pit,r34_scratch,1,30,0.5119587548939799,0.0009033274662215,8.847780414422353,40
pit,r34_scratch,2,32,0.5493871665465032,0.000856532241764,9.409996310869852,40
pit,r34_scratch,3,36,0.5303165498194179,0.0010154938627965,9.110307617982228,40
pit,r34_scratch,4,15,0.4908963585434173,0.000899065093388,9.268814305464426,40
pit,unet,0,38,0.5893619568253462,0.0005448017103704,10.290959656238556,40
pit,unet,1,35,0.5511516912222453,0.000966483639786,10.072446346282959,40
pit,unet,2,38,0.5581184984170059,0.0006757496101692,10.165830870469412,40
pit,unet,3,35,0.5673161227471992,0.0007530362938996,10.210629308223725,40
pit,unet,4,40,0.5294145781519036,0.0005517595172232,10.570351437727611,40
pit,unetpp_r34_imagenet,0,27,0.5899256254225829,0.0006147019549434,13.763517367839814,40
pit,unetpp_r34_imagenet,1,35,0.5595852798950905,0.0009060064703226,13.904316854476928,40
pit,unetpp_r34_imagenet,2,16,0.5478613059369752,0.000675722206674,13.891663217544556,40
pit,unetpp_r34_imagenet,3,35,0.57720021865527,0.0007019596127793,13.83324503103892,40
pit,unetpp_r34_imagenet,4,40,0.5328714694055521,0.0006493594040735,13.91815852324168,40
