target,arch,n_folds,iou_mean,iou_sd,iou_min,iou_max,minutes
pad,unet,5,0.5546328745863567,0.019956107365087725,0.5243945219028644,0.5840159928229355,65.06856458584468
pad,r34_scratch,5,0.5674703069943703,0.02831686575061376,0.527905403603372,0.6035552554498478,58.01422923008601
pad,r34_imagenet,5,0.5991870270681812,0.01806023624235883,0.5759535754507659,0.6269629026736172,55.39333678086599
pad,unetpp_r34_imagenet,5,0.6082117398521286,0.01936698976301626,0.5871629614000089,0.6362235004018312,92.09540983438492
pit,unet,5,0.55907256947274,0.019640011047911472,0.5294145781519036,0.5893619568253462,51.31021761894226
pit,r34_scratch,5,0.5284564127195857,0.02490823578408666,0.4908963585434173,0.5597232337946103,45.517482733726496
pit,r34_imagenet,5,0.5482105515275146,0.014726340287224731,0.524458075583511,0.5645676772911807,44.35227681795756
pit,unetpp_r34_imagenet,5,0.5614887798630941,0.020316423454206155,0.5328714694055521,0.5899256254225829,69.3109009941419
