epoch,tr_loss,va_loss,lr,sec
0,0.5211435439402625,0.5638878345489502,0.0004986304738420684,3831.6611046791077
1,0.4231162994299959,0.5642129871994257,0.0004945369001834514,3484.3914427757263
2,0.3487764065397666,0.5419525075703859,0.0004877641290737884,3490.7972383499146
3,0.30166826722205886,0.5864505711942911,0.00047838636441065017,4983.357853651047
4,0.25568489280323053,0.6143999975174665,0.00046650635094610973,7729.73560500145
5,0.22211001783409376,0.6482169255614281,0.00045225424859373693,4524.99330163002
6,0.20458286150589886,0.6377041507512331,0.0004357862063693486,4569.062349557877
7,0.1777007881076944,0.6697482075542212,0.0004172826515897146,4413.822758197784
8,0.16451972978027074,0.7191809583455324,0.0003969463130731183,4452.852728128433
9,0.1532927905803159,0.7193733286112547,0.000375,4379.415648698807
10,0.1477413251245982,0.7310454826802015,0.00035168416076895013,4464.979307889938
11,0.1386997432716741,0.7580009773373604,0.0003272542485937369,4452.497094869614
12,0.12929604084999768,0.7738622799515724,0.00030197792270443986,4381.5251994133
