label,kind,length_m,dem_road,dem_near,dem_context,dem_contrast,dsm_road,dsm_near,dsm_context,dsm_contrast,slope_road,slope_near,slope_context,slope_contrast,chm_road,chm_near,chm_context,chm_contrast,inten_road,inten_near,inten_context,inten_contrast,lrm5_road,lrm5_near,lrm5_context,lrm5_contrast,lrm25_road,lrm25_near,lrm25_context,lrm25_contrast,tpi15_road,tpi15_near,tpi15_context,tpi15_contrast,opos_road,opos_near,opos_context,opos_contrast,oneg_road,oneg_near,oneg_context,oneg_contrast,rough_road,rough_near,rough_context,rough_contrast,relief10_road,relief10_near,relief10_context,relief10_contrast,gdens_road,gdens_near,gdens_context,gdens_contrast,incision_depth_m,hillslope_deg,relief_amp_m,canopy_cover_road,canopy_cover_near,canopy_cover_context,canopy_cover_contrast,n_transects,dist_pad_m,dist_pit_m,dist_drain_m,dist_wells_m,road_density_100m_km,unsup_bin,prominence_z
0,faint,122.29870592353868,483.47717,483.6076,483.41367,0.04307556,486.16998,485.9285,493.004,-12.483505,9.272459,9.027733,11.038015,-2.0657158,0.13638914,0.12885742,14.50794,-13.003049,24356.0,20052.0,19204.0,4808.0,-0.0073547363,-0.0029449463,-0.004234314,-0.0043258667,-0.043640137,0.008522034,0.012420654,-0.066581726,-0.045333862,0.060325623,0.08433533,-0.13328552,87.22705,88.086105,88.090576,-1.0033035,88.12341,88.01721,87.77257,0.38879776,0.2236068,0.24090284,0.30245143,-0.0468152,3.064865,3.0790558,3.661499,-0.20766449,1.0,1.0,1.0,0.0,0.3696379,2.0698655,0.40656477,0.0,0.0,0.13732394366197181,-0.11267605633802816,12,260.49947577518265,732.0323447029798,206.3602749478291,305.8965082544682,0.04453413931305384,,
0,faint,129.4613261787847,487.50964,487.61505,487.64648,-0.043884277,496.59,505.07898,508.2425,-10.540024,8.775972,7.843831,7.4101243,-0.5611706,8.089984,16.352814,19.299046,-10.199453,16154.0,18400.0,18888.0,410.0,-0.0064697266,0.001701355,-0.0022201538,-0.0029525757,-0.04737854,0.0262146,0.003967285,-0.054504395,-0.03074646,0.057670593,0.031555176,-0.052947998,86.782776,87.938354,88.053604,-1.1355629,87.98361,87.687065,88.026436,-0.05987549,0.20309049,0.23225482,0.20309049,-0.015238121,2.7077484,2.682701,2.6486511,-0.3534546,1.0,1.0,1.0,0.0,0.2842068,1.4935048,0.36189443,0.19230769230769232,0.25,0.2816901408450704,-0.05037919826652219,12,126.44703279652353,700.3206359335096,120.7050182201501,183.8413439188696,0.07758523472749398,,
0,faint,147.1203532389789,492.65497,492.67206,492.34506,0.2912445,492.903,493.425,495.46597,-1.6069794,3.5923,2.3785796,3.1949975,0.02681148,0.06372374,0.3618515,3.6701431,-2.1335106,23344.0,21992.0,18736.0,3352.0,7.6293945e-05,-0.0033416748,-0.0018463135,0.0013198853,-0.014526367,0.006713867,0.006614685,-0.026138306,0.0025939941,0.04862213,0.030174255,-0.037857056,87.83517,88.443016,88.63985,-0.7355499,88.25255,88.56887,88.66348,-0.28123856,0.0,0.0,0.12909944,0.0,0.5510559,0.6346512,0.8132248,-0.28858948,1.0,1.0,1.0,0.0,0.23954743,1.3902515,0.2717318,0.0,0.023809523809523808,0.09859154929577464,-0.02491874322860238,14,140.7545038571458,528.8025595266648,297.27703289018416,162.3044745988209,0.0,,
0,faint,130.19231279348168,476.31183,476.3395,476.1626,0.05886841,496.216,497.65,499.62,-3.3659973,5.0602264,5.0880957,4.9183345,0.4728756,19.778973,21.236551,21.992737,-1.7987366,22304.0,22848.0,21968.0,336.0,-0.005493164,-0.0028533936,-0.00032043457,-0.0045166016,-0.02432251,-0.009689331,-0.008132935,-0.02357483,-0.04321289,-0.017150879,-0.013671875,-0.029541016,88.595116,88.699165,88.510025,-0.2678604,89.0978,89.07773,88.99072,0.08300018,0.12909944,0.12909944,0.12909944,0.0,1.6524048,1.6413269,1.7298584,0.11917114,1.0,1.0,1.0,0.0,0.16091782,4.468877,0.20593047,0.38461538461538464,0.3333333333333333,0.36619718309859156,0.11809317443120261,13,421.71474986418434,134.52337394899425,340.6830884250915,75.61387979982266,0.1105765935519172,,
0,faint,51.59187963239848,478.17505,478.25433,478.16275,-0.14050293,495.52,499.24,499.83,-7.610016,3.6209419,3.3782878,5.2880034,-1.9856887,16.543556,22.3143,22.551544,-7.546257,23296.0,23248.0,20800.0,3096.0,-0.0012817383,-0.002090454,-0.0014343262,-0.0019073486,-0.011474609,0.0027008057,0.015319824,-0.02508545,0.0134887695,0.035812378,-0.007965088,-0.013061523,88.54837,89.08237,88.48901,0.059158325,88.70197,88.9209,88.466,0.16376495,0.12909944,0.12909944,0.12909944,0.0,1.1081543,1.1470947,1.6526031,-0.44366455,1.0,1.0,1.0,0.0,0.1226404,1.9710631,0.14707942,0.15384615384615385,0.5238095238095238,0.4859154929577465,-0.32502708559046584,5,437.01948002896313,143.8104070457462,332.23722127062933,83.78647101084177,0.14423703374356864,,
0,faint,92.22226546178048,478.5991,478.69128,478.778,-0.108306885,496.32397,500.02,501.237,-6.5230103,3.7176085,4.1072273,4.36279,-0.57665634,17.567461,20.65329,22.646414,-4.5047207,24112.0,20432.0,23216.0,2805.332,-0.0024414062,-0.0014648438,-0.0013427734,0.00035095215,-0.013397217,0.0036773682,0.0045776367,-0.014419556,-0.02243042,0.018356323,0.008560181,-0.042526245,88.69884,88.91379,88.88455,-0.13548279,89.084366,88.99664,88.94692,0.14451599,0.12909944,0.12909944,0.12909944,0.0,1.4520874,1.5026093,1.4870605,-0.12612915,1.0,1.0,1.0,0.0,0.19637263,3.768865,0.21420708,0.38461538461538464,0.38095238095238093,0.4647887323943662,-0.10130010834236186,9,401.07504857717396,168.41746074866865,342.16420286520696,95.38253748488013,0.1083267839134953,,
0,faint,105.36220419445337,471.76913,471.84485,473.53217,-1.7290039,485.75,492.3825,492.96198,-11.86499,4.9893646,5.252868,5.5438023,-0.37003446,12.227074,20.651512,21.464256,-10.285427,22480.0,23056.0,22368.0,-1238.0,0.0010375977,-0.0011062622,-0.0002593994,0.0012664795,-0.025314331,-0.010139465,-0.0019454956,-0.0238266,-0.038101196,-0.056884766,0.0034637451,-0.096443176,88.052956,88.09411,88.6485,-0.62815857,88.63487,88.92928,88.36244,-0.23685455,0.12909944,0.12909944,0.15583682,-0.026737377,1.693512,1.7583084,1.6509628,-0.0843811,1.0,1.0,1.0,0.0,0.23687565,0.8787517,0.2924901,0.19230769230769232,0.27380952380952384,0.3415492957746479,-0.1416576381365114,10,476.5999778343053,119.48432287346978,356.54123421149086,37.65810276805954,0.10418991268631049,,
0,faint,37.83472886107085,470.6588,470.74335,470.63116,-0.09729004,470.966,472.138,489.46698,-18.444977,4.5586348,5.60389,6.4216595,-1.8630247,0.079498276,0.07352597,20.760506,-20.679451,22608.0,25316.0,22064.0,544.0,0.0060424805,0.0027313232,-0.0015258789,0.00793457,0.011474609,0.006729126,-0.018493652,0.029968262,0.023803711,0.04675293,-0.071380615,0.095184326,88.62185,89.17981,88.31964,0.30220795,88.32639,88.77673,88.8888,-0.6444626,0.12909944,0.1825742,0.1825742,-0.053474754,1.8857117,1.8205719,2.1711884,-0.3901062,1.0,1.0,1.0,0.0,0.1807444,5.2382216,0.34237447,0.0,0.0,0.3028169014084507,-0.3028169014084507,3,481.82738230959006,198.71112645463498,353.72746079264766,92.69449849220273,0.0,,
0,faint,69.2750268411246,462.8775,463.01416,464.50983,-1.699707,468.229,478.729,482.4,-13.404999,7.323165,6.9741106,6.102621,1.608882,4.0009155,14.554628,17.426193,-11.697409,20396.0,20272.0,19420.0,-448.0,0.0014953613,0.00062561035,-0.0008087158,0.002128601,-0.05128479,0.008018494,0.012397766,-0.07077789,-0.17047119,-0.023803711,0.06677246,-0.21662903,87.598526,87.97162,88.60539,-1.021656,88.57711,88.4776,88.16889,0.15716934,0.1825742,0.20309049,0.15583682,0.026737377,2.5147858,2.4770203,1.878334,0.6379013,1.0,1.0,1.0,0.0,0.49646455,1.2648981,0.7438776,0.2692307692307693,0.4285714285714286,0.3556338028169014,-0.02329360780065004,6,526.9785666197562,208.21946830712855,378.872181973255,104.85220660194037,0.0,,
0,faint,76.65708531321195,477.40387,477.45135,477.30615,0.24438477,491.73,492.529,496.20898,-5.3499756,3.802134,3.0613995,3.5819879,-0.3346598,14.82863,15.7710085,22.369781,-5.195978,26280.0,23644.0,22912.0,2624.0,-0.003692627,-0.001449585,6.1035156e-05,-0.0034637451,-0.011047363,0.017837524,0.0236969,-0.026550293,0.0115356445,0.078186035,0.037628174,0.005340576,88.58349,88.972275,88.820114,-0.12094879,88.39249,88.724884,88.07823,0.09440613,0.12909944,0.12909944,0.12909944,0.0,1.2402039,1.1810608,1.3814697,-0.11210632,1.0,1.0,1.0,0.0,0.14608234,0.34355757,0.20879547,0.46153846153846156,0.23809523809523808,0.4859154929577465,-0.10942578548212356,7,566.3872981372103,29.206121428835687,334.4937223103026,45.2545006205341,0.19718161184815283,,
0,faint,81.19003981310102,435.213,435.27087,434.573,0.75354004,454.4155,459.1585,461.065,-7.409485,5.8535385,6.218584,11.7535925,-5.8135123,19.47742,23.091496,24.287027,-4.1962595,18876.0,19512.0,18520.0,-1128.0,-0.0034484863,-0.00023651123,-0.0016403198,0.001335144,0.00093078613,0.025215149,-0.011444092,0.0050735474,0.050109863,0.06247711,-0.039642334,0.049942017,88.51712,88.66735,88.04313,0.44770813,87.86928,87.947464,88.5401,-0.7157707,0.12909944,0.1825742,0.3352307,-0.17968632,1.9094238,2.01297,4.2579727,-2.2110214,1.0,1.0,1.0,0.0,0.27853274,8.25529,0.997379,0.6923076923076923,0.5476190476190477,0.5880281690140845,0.06906825568797403,8,122.62043157253552,176.5692633757406,984.2813711299021,10.275762247349995,0.25632088160261035,,
0,faint,255.28274787583004,493.89722,493.99033,493.9598,-0.058898926,512.91,516.8,515.212,-1.1799927,2.675263,2.3485234,2.2064338,0.53078675,19.24173,23.153208,20.950861,-1.8400154,20024.0,17456.0,17860.0,1280.0,-0.003326416,-0.002380371,-0.0010986328,-0.0016784668,-0.027404785,0.003921509,0.001373291,-0.025756836,-0.04107666,0.015701294,0.0049591064,-0.042114258,88.69824,88.887405,88.94418,-0.2368393,89.02748,88.96712,89.04685,-0.02911377,0.0,0.0,0.0,0.0,0.64120483,0.6424408,0.61782837,0.05366516,1.0,1.0,1.0,0.0,0.17893618,0.9433661,0.16529098,0.38461538461538464,0.5238095238095238,0.30985915492957744,0.0747562296858072,25,55.65945074438395,185.97927220693873,973.5723838524818,10.173001328687462,0.4343076223208576,,
0,faint,99.52391422918295,492.8272,492.87897,492.6313,0.19592285,515.77,514.467,515.19,0.71203613,1.8017887,1.8535573,2.0737114,-0.38248682,22.674797,21.68667,22.714804,0.20919228,17744.0,18448.0,17440.0,-24.0,-0.0036621094,0.0005340576,-0.0009613037,-0.0019226074,-0.026367188,0.0051116943,-0.0055999756,-0.020599365,-0.03704834,0.014556885,-0.003921509,-0.048187256,88.71556,88.96795,88.948906,-0.267807,89.15075,89.09029,89.210594,-0.05984497,0.0,0.0,0.0,0.0,0.53634644,0.4692688,0.5672455,-0.07496643,1.0,1.0,1.0,0.0,0.12953693,0.35346892,0.12276143,0.38461538461538464,0.35714285714285715,0.3873239436619718,0.07529794149512462,9,76.44130942770376,208.31125542853098,1036.072110806049,34.87676962589741,0.12395242463936833,,
0,faint,148.18394212089515,485.6891,485.72617,485.259,0.46984863,501.20502,504.175,503.0975,-1.5310059,4.436144,3.9028559,4.2303796,-0.656803,16.921513,17.30909,18.962872,-2.6659355,23752.0,22680.0,22512.0,1804.0,-0.003829956,-0.0024490356,-0.0018920898,-0.0016479492,-0.012802124,0.004196167,-0.0067825317,-0.0012512207,-0.006134033,0.035438538,0.0027389526,-0.024017334,88.396385,88.765335,88.38524,0.024780273,88.589874,88.71184,88.826416,-0.19865417,0.12909944,0.12909944,0.12909944,0.0,1.3583221,1.3411713,1.5253525,-0.2973404,1.0,1.0,1.0,0.0,0.1602064,1.0077493,0.23276651,0.46153846153846156,0.41666666666666663,0.2852112676056338,0.2313109425785482,14,22.302819631530564,41.07775234642131,991.7127311348894,38.964036081629885,0.30842422276847253,,
0,faint,119.55996483850956,486.5057,486.53564,486.40408,-0.07696533,489.04,509.48,510.34,-17.234985,3.5121279,4.3118896,4.337631,-1.1891737,2.0530312,23.79425,23.383322,-18.446682,19464.0,19552.0,21080.0,-2632.0,0.00015258789,-0.0037384033,-0.002105713,0.003189087,-0.0040283203,-0.006378174,-0.010177612,0.006149292,-0.03744507,-0.006134033,-0.028213501,-0.018432617,88.27743,88.32766,88.239746,-0.061408997,88.77437,88.872116,88.91341,0.12930298,0.12909944,0.12909944,0.12909944,0.0,1.2397461,1.2893524,1.369751,-0.11907959,1.0,1.0,1.0,0.0,0.18717611,2.1006033,0.20816337,0.07692307692307693,0.2857142857142857,0.3028169014084507,-0.11971830985915492,11,48.54553175419004,73.48202687681473,436.1779370549543,75.06437736734371,0.2558387964782753,,
0,faint,42.73721549515646,486.409,486.4908,486.21628,0.20954895,487.56702,508.961,508.6285,-20.737488,3.785046,3.8637614,4.5751514,-0.70517576,1.0249084,23.171051,21.921127,-19.564438,21760.0,18042.0,19604.0,2156.0,-0.004043579,-0.0004348755,-0.0015335083,-0.0028305054,-0.032730103,0.016357422,0.003364563,-0.030197144,-0.006439209,0.050186157,0.00982666,-0.015151978,88.434494,88.521126,88.290215,0.0023384094,88.720436,88.50269,88.74335,-0.022914886,0.12909944,0.12909944,0.12909944,0.0,1.3527832,1.2663956,1.378273,-0.049423218,1.5,1.0,1.0,0.5,0.18947467,3.3446555,0.23897323,0.038461538461538464,0.3214285714285714,0.3485915492957746,-0.30308775731310944,4,63.465044207830076,83.20128602664643,467.8859130049055,19.90817456038989,0.0,,
0,faint,118.74728195146308,477.94855,477.91736,478.0014,0.03930664,478.53598,499.479,481.499,-2.0029907,3.3897774,4.0103765,4.013741,-0.5103879,0.06412963,21.479467,0.08785095,-0.03448792,24032.0,20720.0,19080.0,5152.0,-0.0022277832,-0.0017242432,-0.001876831,-0.0002593994,0.002380371,0.004638672,0.005859375,-0.0057373047,0.0028076172,0.029144287,0.006072998,-0.010040283,88.74515,88.89761,88.63504,0.16174316,88.80617,89.09645,88.7629,0.020393372,0.12909944,0.12909944,0.12909944,0.0,1.1936951,1.2054901,1.40625,-0.31048584,1.0,1.0,1.0,0.0,0.12702897,3.1441762,0.1947642,0.0,0.16666666666666666,0.056338028169014086,-0.028169014084507043,11,7.4741934112368495,228.24033068396773,167.27970316603484,34.312737490759766,0.32177931535360615,,
0,faint,145.9921700557437,488.18005,488.2524,488.32684,-0.21783447,505.34702,507.925,507.39,-1.5799866,2.8096352,3.120116,3.3355367,-0.43754518,17.262476,19.710266,19.040516,-2.0477905,22384.0,19356.0,21180.0,1128.0,-0.0032653809,-0.0022888184,-0.002243042,-0.0010910034,-0.022994995,-0.0042877197,-0.0074310303,-0.015342712,-0.031600952,-0.009544373,-0.015106201,-0.006248474,88.66163,88.896866,88.70965,-0.049243927,89.22206,89.32337,89.15156,0.1774025,0.0,0.0,0.06454972,0.0,0.9712982,1.0001602,1.0387878,-0.029174805,1.0,1.0,1.0,0.0,0.13460872,2.4921432,0.1331572,0.2692307692307693,0.36904761904761907,0.2746478873239437,-0.033856988082340195,14,19.414656452077217,64.088665547116,431.94522675336947,51.35674969479692,0.07814205693190214,,
0,faint,45.82684054266787,486.94153,487.07126,487.09897,-0.11114502,496.438,507.012,506.565,-10.700027,3.2779133,2.6852212,3.2391007,0.05523944,9.363782,19.796917,18.5802,-9.218306,21642.0,21808.0,21468.0,-2.0,-0.003540039,-0.0008468628,-0.0012817383,-0.0023422241,-0.03353882,-0.00016021729,-0.008354187,-0.025184631,-0.050979614,0.009902954,-0.014007568,-0.04751587,88.47357,88.823586,88.628235,-0.25742722,89.18522,89.12784,89.122574,0.102622986,0.06454972,0.0,0.12909944,-0.06454972,0.90141296,0.95054626,0.95602417,-0.09251404,1.0,1.0,1.0,0.0,0.19155966,2.1170444,0.14426959,0.19230769230769232,0.33333333333333337,0.23239436619718312,-0.04008667388949079,4,18.600949857069416,89.02567419914635,465.63356388435216,50.33116773358139,0.065310080273072,,
