length_m,class,faint_score,margin_sigma,n_transects,P_road,split,opos_zcontrast,lrm25_zcontrast,tpi15_zcontrast,slope_zcontrast,relief10_zcontrast,oneg_zcontrast,incision_depth_m
391.4620478401126,bold,-3.109,1.374,39,0.8328018188476562,val,-3.1093333,-2.3654869,-2.3983586,0.93029237,0.4954973,-0.113953255,0.5576849
397.02645178532265,bold,-2.968,1.233,39,0.8515654802322388,val,-2.9679534,-1.9713203,-2.1022797,0.75269914,0.61235213,-0.741881,0.4297957
73.7937650621206,bold,-2.555,0.82,7,0.865788459777832,train,-2.555127,-1.4523023,-1.7699013,0.445118,-0.07071712,-1.1359923,0.5322008
226.1285195020262,faint,-1.454,-0.281,22,0.8790021538734436,val,-1.4540701,-1.1389534,-1.614486,-0.368782,-0.039613206,-0.06020061,0.5170444
241.61539440616093,faint,-1.726,-0.009,24,0.9433053731918335,train,-1.7263658,-1.0187148,-1.7591498,-1.0407269,-0.030211926,-0.6664463,0.8418705
212.24737160672717,bold,-3.393,1.657,21,0.9614811539649963,train,-3.3926086,-2.1048632,-1.8246235,0.48451206,1.123854,-0.6868976,0.8831415
154.54431818240687,bold,-2.453,0.718,15,0.9920662641525269,train,-2.453073,-2.0042892,-1.5108664,0.39110935,0.79995006,-0.19684461,0.757479
145.41160429287308,faint,-0.913,-0.822,14,0.9912449717521667,train,-0.91331685,-0.83941567,-0.5796586,-1.1230428,-1.1620588,0.4651183,0.7316288
217.77287955967233,faint,-1.149,-0.586,21,0.9862496852874756,train,-1.1493471,-1.5628176,-1.1620631,-0.35433617,-0.38204703,0.31913885,0.78135777
61.82822613924571,faint,-0.898,-0.837,6,0.9344440698623657,train,-0.898484,0.60806525,0.31675804,-0.99437356,-0.33430755,-0.28285918,0.26372302
327.54130075740187,faint,-1.16,-0.575,32,0.9231632351875305,train,-1.1599004,-1.3151002,-1.58933,-0.9579421,0.37209404,-0.49411154,0.70080924
72.68580975753547,faint,-0.867,-0.869,7,0.8739643692970276,train,-0.8665898,-0.59416556,-0.11703863,0.14690425,0.70022917,-0.43244138,0.29536748
894.0722415042752,faint,-1.594,-0.141,89,0.9369291663169861,train,-1.5943853,-1.0484233,-1.299421,-0.39869472,0.2694772,-0.4136783,0.85680854
278.52635532283074,bold,-2.793,1.058,27,0.9498479962348938,train,-2.7931209,-2.2144117,-1.9830745,-0.86856914,-0.19737612,-0.41003233,0.87672657
85.88060997314967,bold,-2.026,0.29,8,0.9462472796440125,train,-2.0255835,-1.5142043,-1.954554,-0.4157122,-0.1606779,0.05431382,0.7013954
920.8976047612255,faint,-1.109,-0.626,92,0.865877628326416,test,-1.1094805,-0.47314084,-0.5048564,-1.4705777,-0.25666872,-1.2179346,0.8390052
135.2718617752455,faint,-1.287,-0.448,13,0.8340556621551514,train,-1.287463,-0.8576677,-0.6803328,-2.046717,-0.6322913,-1.0916412,0.8748039
322.32840660679574,faint,-0.619,-1.117,32,0.9041639566421509,test,-0.6185677,0.23271501,0.29699337,-0.021084826,0.1356435,-1.4382265,0.7297661
28.552310028632828,faint,-1.184,-0.552,2,0.1224595457315445,test,-1.1836488,0.21137162,-0.34622627,-0.53280854,-1.3717991,0.019508839,0.35230178
732.8198692192202,bold,-1.843,0.108,73,0.8134887218475342,test,-1.8429737,-1.031891,-0.9813198,-1.0065256,-0.4256803,-0.9195176,1.0873473
91.62633209173343,bold,-1.977,0.241,9,0.864229142665863,test,-1.9765524,-1.557444,-2.0847063,-0.28930572,0.44075263,0.48466682,0.8626523
240.70984660561103,faint,-0.841,-0.894,24,0.8420600891113281,test,-0.84123075,-0.04332208,-0.84779733,0.20838824,1.7907138,-0.25534815,0.6671653
96.85772637741766,faint,-1.015,-0.721,9,0.8565369844436646,test,-1.014796,-0.6059519,-0.51720524,-0.68040407,-0.9820169,-0.45407817,0.62450194
66.82755114301081,faint,-1.561,-0.174,6,0.7417845129966736,train,-1.560909,-0.1871154,0.6845093,-0.397315,0.02716884,-1.2117237,0.7123234
153.62233607109803,faint,0.38,-2.115,15,0.9187955856323242,train,0.37998447,-0.08268041,0.43010017,-1.3274575,-2.3913198,-0.7296561,0.39182377
176.60018286128607,faint,-1.275,-0.461,17,0.8522489666938782,test,-1.2746966,-1.0683501,-0.62940997,-0.32992265,-1.1292589,-0.30338752,0.7489307
104.77454359940126,bold,-2.175,0.44,10,0.8262359499931335,train,-2.1752691,-2.3030386,-1.8174613,-0.18723825,1.967339,-0.09398398,1.1714844
100.51804910258517,faint,-0.542,-1.193,10,0.7702545523643494,test,-0.5424048,-0.49934876,-0.6000585,-0.13251166,0.10054186,0.30778944,0.8064592
237.52148420533186,faint,-1.146,-0.59,23,0.8754191398620605,test,-1.1458405,-0.21264291,-0.49810007,-0.71057546,-0.4297449,-0.039482817,0.67836297
54.07714950659048,bold,-2.342,0.607,5,0.8538042306900024,train,-2.3418937,-1.5468686,-1.4065391,0.32717118,0.62260395,-1.6827489,0.7434931
159.41890716788066,bold,-2.066,0.331,15,0.9161741137504578,train,-2.0659754,-1.0628786,-1.4897562,-0.47616515,2.9740274,-0.36298254,1.2307544
