parent_road,length_m,class,faint_score,margin_sigma,n_transects,exlabel,P_road,split,opos_zcontrast,lrm25_zcontrast,tpi15_zcontrast,slope_zcontrast,relief10_zcontrast,oneg_zcontrast,incision_depth_m
5,51.33391473,bold,-2.493,0.908,10,unlabelled,0.970320284,train,-2.4927475,-1.5170994,-0.58006835,-1.4475018,0.5429319,-0.55295694,0.57291394
5,51.08345074,faint,-0.855,-0.731,10,unlabelled,0.980501056,train,-0.8545742,0.32959488,-0.12892109,-1.3941324,-0.93965536,-0.10230602,0.35828394
5,51.3261974,faint,-1.462,-0.123,10,unlabelled,0.944694638,val,-1.4620001,-0.23336744,-0.93586004,-0.7250464,0.15544227,-0.69115514,0.6380622
6,48.40417957,faint,-1.25,-0.335,9,unlabelled,0.918746233,val,-1.2499864,-0.81297404,-0.88979894,-0.80948234,-0.771755,0.76535445,0.88382876
7,47.73856467,bold,-4.149,2.564,9,unlabelled,0.962134004,train,-4.1487217,-4.3866825,-4.5506783,0.45100424,1.1527591,-0.27647284,0.99897754
7,47.73148991,bold,-2.924,1.339,9,unlabelled,0.990715683,train,-2.924131,-2.368726,-1.950426,0.74360895,1.2372546,-0.41991284,0.8109565
7,47.55127274,bold,-5.055,3.47,9,unlabelled,0.945376217,train,-5.0554614,-2.9252012,-1.812462,0.8066768,1.3657506,0.66065127,0.91064996
7,47.39993194,bold,-2.897,1.312,9,unlabelled,0.876085043,train,-2.8969245,-2.3271925,-1.9869406,-0.385515,0.103678875,0.33687305,0.94257605
7,47.7139809,bold,-6.506,4.921,9,unlabelled,0.943767607,val,-6.5061626,-3.802688,-3.3488164,-0.38960513,0.29849935,-0.43207005,0.95162225
7,47.69248076,faint,-1.497,-0.089,9,unlabelled,0.924978971,val,-1.4965417,-2.0142672,-1.6294097,-0.59743965,0.83280355,0.22605358,1.196259
7,47.64377576,bold,-2.656,1.071,9,unlabelled,0.877694368,val,-2.6561012,-1.5229038,-1.665314,-0.021845613,1.1612815,0.24953455,0.8950038
7,47.71283909,bold,-9.809,8.224,9,unlabelled,0.938609362,val,-9.808873,-9.000693,-10.528794,-1.0622853,6.3480186,-2.8948534,2.026587
7,47.7087169,bold,-1.952,0.367,9,unlabelled,0.984551549,val,-1.952439,-2.0057042,-1.5072607,-1.2180625,5.9537926,-2.3272085,1.261331
7,47.72759679,bold,-4.018,2.432,9,unlabelled,0.914062142,val,-4.017645,-1.2515258,-2.1270363,-0.66020465,5.313218,-3.1393526,0.9158486
7,47.66097183,bold,-2.242,0.657,9,unlabelled,0.882031143,val,-2.2418065,-1.2361747,-1.365576,-1.1551915,0.5512377,-1.1662182,0.5833681
8,56.91088687,bold,-4.037,2.452,11,unlabelled,0.827735662,val,-4.0367417,-2.861878,-2.5762024,-1.1543251,-1.6016262,-0.09248316,1.1089532
8,56.89282154,bold,-3.896,2.311,11,unlabelled,0.928929031,val,-3.896379,-2.658422,-1.7854366,-0.13641378,-0.31774768,0.43555772,0.9893302
