epoch,tr_loss,va_loss,score,sec,iou_bg,iou_road,iou_drainage
1,0.008804203578092428,0.006725373068016714,0.4267100427900889,256.5730788707733,0.9498888016590714,0.4267100427900889,0.47214758146524183
2,0.005586344630510541,0.005289562639936937,0.4125274387946257,253.57430601119995,0.9480873120429513,0.4125274387946257,0.5448159789568202
3,0.004779826134619414,0.004828916118785212,0.4221028995614129,246.39271426200867,0.9481737969919509,0.4221028995614129,0.5392834140313973
4,0.0041866831751685065,0.004680548994431058,0.47950043409652504,244.8851568698883,0.9611387564339192,0.47950043409652504,0.6059612366468938
5,0.003730679976505377,0.003941339881579697,0.486534037221502,244.83877563476562,0.9618116179068239,0.486534037221502,0.6403803290468036
6,0.0033309175059865253,0.00403200471320445,0.48560724159406166,244.82905173301697,0.9629323598017003,0.48560724159406166,0.6656726479206097
7,0.0030353942917963886,0.003967765881473908,0.4993548981983779,245.0524604320526,0.9643177816558246,0.4993548981983779,0.6518633411355662
8,0.002812817902515348,0.004086725943334466,0.5226574891011732,259.99618124961853,0.9688341310852041,0.5226574891011732,0.7058677402496074
9,0.002548031398539137,0.0038481498347282144,0.5236407319988309,263.0827856063843,0.9692924363445355,0.5236407319988309,0.730496758850148
10,0.002401700666037972,0.004148613216470828,0.515226837690176,269.9773473739624,0.9687314342495263,0.515226837690176,0.7359731740615176
11,0.0022918431150456744,0.003770495008726695,0.5223605150135844,259.0495460033417,0.9686342193417993,0.5223605150135844,0.7274453284380138
12,0.0021570659492290314,0.0038181805130160225,0.5525748638297295,252.84168577194214,0.9717908107051524,0.5525748638297295,0.7468745502177613
13,0.00201748295565295,0.0040190835025952715,0.5574524170564767,259.521710395813,0.9732170699345527,0.5574524170564767,0.7561606291744213
14,0.001893792831015633,0.003863636107571357,0.5810035804040212,282.6692054271698,0.9754401329126137,0.5810035804040212,0.7630431907667338
15,0.0018603691803786055,0.0038660354376564513,0.5861955905541334,261.53842210769653,0.976004320520716,0.5861955905541334,0.778984359797162
16,0.001720624173167427,0.003585541451893813,0.5815944398986217,286.7641751766205,0.9753650049262591,0.5815944398986217,0.7898709264996514
17,0.0016554320848443174,0.003603727904980821,0.606269475455785,254.35424518585205,0.9774140950781632,0.606269475455785,0.7928392565360088
18,0.0015915800756087209,0.0037945282142774193,0.5984678823223569,251.83676671981812,0.9765407691928041,0.5984678823223569,0.7791217193892446
19,0.0015272499074787866,0.003834776532943402,0.6131308417189838,263.20682859420776,0.9776641940348637,0.6131308417189838,0.7851530509085738
20,0.0014649913308495376,0.0034146404297676234,0.6152026016932279,266.6573462486267,0.9784671246091369,0.6152026016932279,0.7928839663688044
21,0.0014200761894348024,0.003749743919918495,0.6159627509367732,256.25563502311707,0.9794543569579078,0.6159627509367732,0.8151954507893142
22,0.001362058418348113,0.0037627226479384486,0.6338813105389871,257.3019666671753,0.9804460115294019,0.6338813105389871,0.8165984423111755
23,0.0013149504391766042,0.003867197888944529,0.6350229027361393,254.65290808677673,0.9792517040411717,0.6350229027361393,0.7874380917485021
24,0.00127356269505717,0.0037182751668007235,0.6350934641389367,263.21093010902405,0.9805054481157869,0.6350934641389367,0.8189504546816969
25,0.0012413913044334183,0.0034826039388132965,0.6374430128494405,256.3520567417145,0.9804726367850173,0.6374430128494405,0.8255218792085756
26,0.0011989514592557259,0.003810050677862513,0.6387300093884971,253.64394330978394,0.9806004331287718,0.6387300093884971,0.8201173099521323
27,0.0011586459890252866,0.003712891100337152,0.6405445222322678,249.19428491592407,0.9811252727814923,0.6405445222322678,0.8260971196410712
28,0.001127813219960171,0.0035868626009606945,0.6545644142071784,245.4667239189148,0.9818484972914251,0.6545644142071784,0.8294544945264192
29,0.0011073911179989876,0.003759296036086383,0.6520967057136532,245.5594925880432,0.9822626228700847,0.6520967057136532,0.8374922165419509
30,0.0010794023009031586,0.0039787439081356325,0.6599588357274613,246.97317337989807,0.9822258095438694,0.6599588357274613,0.8356589888177387
31,0.0010656679042800779,0.003843433180395349,0.6612555992891317,245.54588651657104,0.9826716708316543,0.6612555992891317,0.8406107827934896
32,0.0010466617360165816,0.003851689628028698,0.6657223292990462,245.3100254535675,0.9830204688480578,0.6657223292990462,0.844101578215359
33,0.0010199267187980944,0.003647342707500257,0.6642051203866959,246.61521863937378,0.9827961068692724,0.6642051203866959,0.8404131836692014
34,0.0010199702860259118,0.00392813932364889,0.6637843067509533,245.74420166015625,0.9826976108485935,0.6637843067509533,0.8367966327412156
35,0.001010813407263347,0.003651976800705018,0.6687951228096283,253.2977168560028,0.9832493626097071,0.6687951228096283,0.8427329576864752
36,0.0009932011976467754,0.0038867274740199864,0.6649577865793521,251.51971888542175,0.9828596506671414,0.6649577865793521,0.8424614932205046
37,0.000988303362500463,0.004011511568812472,0.6659679511904344,251.41378569602966,0.9829714252366809,0.6659679511904344,0.8418828953078181
38,0.0009868743220510666,0.003954420142304317,0.671092870223671,248.98267650604248,0.9832075754290113,0.671092870223671,0.8417121770377162
39,0.0009815019841602681,0.003970953195965726,0.6640990371389272,250.08524680137634,0.9829052595034784,0.6640990371389272,0.8391025636833435
40,0.0009829641970953002,0.003907869695644595,0.6651065393230521,256.2108106613159,0.9831696691365145,0.6651065393230521,0.8451270164566983
