epoch,tr_loss,tr_acc,va_loss,va_acc,val_p_at_0.5,val_r_at_0.5,val_f1_at_0.5,sec
1,0.10150141096201495,0.8959419632736341,0.06365528921596705,0.962800875273523,0.9886547811993517,0.957613814756672,0.9728867623604467,11.381807804107666
2,0.06241760759249977,0.9458172749943323,0.24876651022738466,0.9004376367614879,0.8823529411764706,0.989010989010989,0.9326424870466321,8.28365182876587
3,0.05702245995348346,0.9478576286556336,0.24649760695562387,0.8840262582056893,0.8622100954979536,0.9921507064364207,0.9226277372262773,8.76501727104187
4,0.04775924359758695,0.9546588075266379,0.026918679033406077,0.9824945295404814,0.9983948635634029,0.9764521193092621,0.9873015873015872,8.177546977996826
5,0.046405869765558105,0.9562457492632056,0.07430321555487657,0.9682713347921226,0.9871794871794872,0.967032967032967,0.9770023790642347,8.284802913665771
6,0.03945763083849696,0.9635003400589436,0.027895917841912404,0.975929978118162,0.9951690821256038,0.9701726844583988,0.9825119236883944,8.375706195831299
7,0.04739444567889407,0.9571525731126729,0.1350417198613286,0.8512035010940919,0.9980119284294234,0.7880690737833596,0.8807017543859649,11.045851945877075
8,0.04246325813827739,0.964180457946044,0.07018729294650257,0.9266958424507659,0.9896907216494846,0.9042386185243328,0.945036915504512,11.237548589706421
9,0.028408856185126133,0.9730219904783496,0.14164890188646193,0.9442013129102844,0.9883333333333333,0.9309262166405023,0.9587712206952304,10.87509298324585
10,0.028993893623945936,0.9723418725912492,0.15354295651777647,0.9748358862144421,0.9811912225705329,0.9827315541601256,0.9819607843137254,11.13290810585022
11,0.025496514635565487,0.9764225799138517,0.18299774451491732,0.9288840262582057,0.9863945578231292,0.9105180533751962,0.946938775510204,10.863643646240234
12,0.0268516991071511,0.9757424620267513,0.11892892507991443,0.937636761487965,0.9865771812080537,0.9230769230769231,0.953771289537713,10.752530574798584
13,0.024102050784057465,0.9775561097256857,0.16448095717193306,0.9715536105032823,0.9780907668231612,0.9811616954474097,0.9796238244514106,10.757004737854004
14,0.021057541148089196,0.9807299931988211,0.09959094566729618,0.9562363238512035,0.9869494290375204,0.9497645211930926,0.968,11.21256709098816
15,0.017209905918444627,0.983223758784856,0.10137746194474555,0.9474835886214442,0.9835796387520526,0.9403453689167975,0.9614767255216694,11.804344415664673
16,0.015221431163018164,0.9859442303332577,0.09367174656193432,0.9595185995623632,0.9746835443037974,0.967032967032967,0.9708431836091411,10.915615320205688
17,0.014916411550391627,0.9859442303332577,0.10416256695752964,0.9540481400437637,0.972972972972973,0.9607535321821036,0.966824644549763,11.021692276000977
18,0.013281817057008006,0.9888914078440263,0.10694525289606342,0.9485776805251641,0.9742765273311897,0.9513343799058085,0.9626687847498014,9.73470950126648
19,0.014469629285209205,0.9863976422579914,0.11195194021444574,0.9518599562363238,0.9852700490998363,0.945054945054945,0.9647435897435898,9.06735873222351
20,0.010625568447141921,0.9909317615053276,0.1272120139534915,0.9518599562363238,0.9821138211382113,0.9481946624803768,0.964856230031949,9.675033807754517
