target,fold,objective,prob_threshold,n_gt,n_pred,published_recall_centroid,lenient_recall,lenient_precision,lenient_f1,lenient_tp_gt,lenient_tp_pred,greedy_tp,greedy_recall,greedy_precision,greedy_f1,iou30_recall,iou30_precision
pit,0,f1,0.5,95,134,0.9263157894736842,0.9263157894736842,0.6567164179104478,0.7685589519650655,88,88,88,0.9263157894736842,0.6567164179104478,0.7685589519650655,0.9166666666666666,0.6567164179104478
pit,0,f2,0.35,95,152,0.9473684210526316,0.9473684210526315,0.5986842105263158,0.7337066069428891,90,91,90,0.9473684210526315,0.5921052631578947,0.7287449392712552,0.9166666666666666,0.5789473684210527
pit,1,f1,0.6,95,128,0.9052631578947368,0.9052631578947369,0.6875,0.7814952498967368,86,88,86,0.9052631578947369,0.671875,0.7713004484304932,0.8105263157894737,0.6015625
pit,1,f2,0.45,95,161,0.9894736842105264,0.9894736842105263,0.5838509316770186,0.734375,94,94,94,0.9894736842105263,0.5838509316770186,0.734375,0.9473684210526316,0.5590062111801242
pit,2,f1,0.5,95,142,0.9787234042553192,0.9789473684210527,0.6619718309859155,0.7898445970365018,93,94,93,0.9789473684210527,0.6549295774647887,0.7848101265822784,0.968421052631579,0.647887323943662
pit,2,f2,0.4,95,153,0.9893617021276596,0.9894736842105263,0.6143790849673203,0.7580645161290323,94,94,94,0.9894736842105263,0.6143790849673203,0.7580645161290323,0.968421052631579,0.6013071895424836
pit,3,f1,0.55,92,107,0.9347826086956522,0.9347826086956522,0.8130841121495327,0.8696966174590259,86,87,86,0.9347826086956522,0.8037383177570093,0.864321608040201,0.8478260869565217,0.7289719626168224
pit,3,f2,0.4,92,126,0.9565217391304348,0.9565217391304348,0.7063492063492064,0.8126167254617142,88,89,88,0.9565217391304348,0.6984126984126984,0.8073394495412843,0.9565217391304348,0.6984126984126984
pit,4,f1,0.45,93,147,0.935483870967742,0.9354838709677419,0.5986394557823129,0.7300815334000859,87,88,87,0.9354838709677419,0.5918367346938775,0.7249999999999999,0.9032258064516128,0.5714285714285714
pit,4,f2,0.45,93,147,0.935483870967742,0.9354838709677419,0.5986394557823129,0.7300815334000859,87,88,87,0.9354838709677419,0.5918367346938775,0.7249999999999999,0.9032258064516128,0.5714285714285714
pad,0,f1,0.55,130,180,0.9230769230769232,0.9230769230769231,0.6666666666666666,0.7741935483870968,120,120,120,0.9230769230769231,0.6666666666666666,0.7741935483870968,0.9307692307692308,0.6722222222222223
pad,0,f2,0.55,130,180,0.9230769230769232,0.9230769230769231,0.6666666666666666,0.7741935483870968,120,120,120,0.9230769230769231,0.6666666666666666,0.7741935483870968,0.9307692307692308,0.6722222222222223
pad,1,f1,0.6,129,197,0.9457364341085271,0.9457364341085271,0.6446700507614214,0.7667070787045056,122,127,122,0.9457364341085271,0.6192893401015228,0.7484662576687117,0.9147286821705426,0.5989847715736041
pad,1,f2,0.5,129,214,0.9224806201550388,0.9224806201550387,0.5560747663551402,0.6938775510204082,119,119,119,0.9224806201550387,0.5560747663551402,0.6938775510204082,0.9224806201550388,0.5560747663551402
pad,2,f1,0.55,129,214,0.937984496124031,0.937984496124031,0.5747663551401869,0.7127702880678146,121,123,121,0.937984496124031,0.5654205607476636,0.705539358600583,0.9457364341085271,0.5700934579439252
pad,2,f2,0.55,129,214,0.937984496124031,0.937984496124031,0.5747663551401869,0.7127702880678146,121,123,121,0.937984496124031,0.5654205607476636,0.705539358600583,0.9457364341085271,0.5700934579439252
pad,3,f1,0.6,132,211,0.8939393939393939,0.8939393939393939,0.5592417061611374,0.6880466472303207,118,118,118,0.8939393939393939,0.5592417061611374,0.6880466472303207,0.8939393939393939,0.5592417061611374
pad,3,f2,0.55,132,205,0.8484848484848485,0.8484848484848485,0.5463414634146342,0.6646884272997032,112,112,112,0.8484848484848485,0.5463414634146342,0.6646884272997032,0.8787878787878788,0.5658536585365853
pad,4,f1,0.65,130,182,0.9384615384615383,0.9384615384615385,0.6813186813186813,0.7894791775388791,122,124,122,0.9384615384615385,0.6703296703296703,0.782051282051282,0.9,0.6428571428571429
pad,4,f2,0.55,130,198,0.9153846153846154,0.9153846153846154,0.6111111111111112,0.732922732362822,119,121,119,0.9153846153846154,0.601010101010101,0.7256097560975608,0.9230769230769232,0.6060606060606061
