epoch,tr_loss,va_loss,tr_loss_pit,tr_loss_road,tr_loss_plat,iou_pit_bg,iou_pit_floor,iou_pit_wall,iou_road_bg,iou_road,iou_plat_bg,iou_plat,score,sec
1,0.02735871401555995,0.028101070868698032,0.008921422549781012,0.009608429965582933,0.021120387902285192,0.9885366559603083,0.06856571343902801,0.03010677544652289,0.9123968830425019,0.10694792487690297,0.8699026585343987,0.13669165042479234,0.09765860658149024,6249.525142669678
2,0.018724287780834004,0.021092356944626026,0.003710478261866151,0.008358924956794115,0.016664089892614396,0.9784412223327844,0.24630843477634518,0.15918098632760547,0.9685930663288107,0.2537257381540879,0.6900080299709281,0.1501423378099934,0.2022042621720189,6688.406144142151
3,0.015635293294140633,0.015969260680404575,0.002570314760111827,0.007407523701561892,0.014367439803924966,0.9935629488518225,0.3056519306099608,0.16943156726511832,0.9441714507002756,0.20470172380398993,0.8921184337718312,0.2637750612463722,0.23533951132930056,8615.613214969635
4,0.015265407892776297,0.014098778959702362,0.0022935880684947715,0.007343725162617704,0.014275973821257023,0.993975610361473,0.34846909300982093,0.3299599950587721,0.9356907286852009,0.1957744395036907,0.9179929478880469,0.30190962845440633,0.2789662039974645,6241.469097137451
5,0.013583079495645583,0.015796640718525105,0.0015759361013671026,0.00743335962018117,0.012578545356208974,0.9874152817304048,0.42369448864458265,0.28886258882051896,0.9634302474114061,0.24760196029570564,0.9563830784028079,0.3864135912522228,0.3300980300934931,7557.193291425705
6,0.013090470746318077,0.013328662311488932,0.0014984792710202647,0.007222909044395102,0.01209707574007359,0.9836092864809258,0.3340889687049195,0.25208020362255107,0.9052829935386097,0.15437251226251233,0.9253313464815456,0.3575058919092074,0.268320996778485,7314.547909736633
7,0.012129546975360271,0.012805910019034689,0.0011791684813401166,0.006981552628047289,0.01126907755957639,0.976899763908044,0.22432463457564858,0.22083357203375778,0.9711669849303165,0.29641358109839006,0.8807884521110388,0.3085681534287381,0.2758536126106104,272.1279671192169
8,0.011758323659763691,0.013525478541851044,0.001180174552459032,0.0068047620613682774,0.010825485744057818,0.9946161578485876,0.47254189380173633,0.4443873724032221,0.9372570492628967,0.2121282819031396,0.9529673960460949,0.3679808604218506,0.3461912584758231,1678.9485466480255
9,0.011219746809690557,0.016111492771993984,0.0010442558522435262,0.006540492256271078,0.0104186584122796,0.9960113909480518,0.4064762406212979,0.4178708603885949,0.96566059179172,0.2224368867921086,0.9465461054359462,0.32052432439738776,0.3183782538981476,796.2357397079468
10,0.011419698496923801,0.01730959202078256,0.0010306626209057868,0.006518547264660926,0.010796511793469495,0.9955856774377644,0.5232938522278624,0.45064035229476407,0.9727050625202658,0.24198407767163885,0.954461205977654,0.4101132101221663,0.37968813001837276,364.77343130111694
11,0.010970578548756051,0.011573995209553024,0.000982208157631945,0.006396251378897974,0.010251031901211814,0.9774840400897449,0.2889933997808834,0.2219649820861099,0.9572978899340796,0.26630713954598795,0.9497752066214588,0.4520697700980632,0.3246187001925159,188.82007479667664
