epoch,tr_loss,va_loss,tr_loss_pit,tr_loss_road,tr_loss_plat,iou_pit_bg,iou_pit_floor,iou_pit_wall,iou_road_bg,iou_road,iou_plat_bg,iou_plat,score,sec
12,0.010264633134245239,0.011475259268825705,0.0009705725911152649,0.006072544349119701,0.009417555988469023,0.9888996203360048,0.361524698063774,0.34822527260033853,0.9664109427089772,0.3037178744934176,0.9344899894218921,0.385489250994023,0.3480273702731656,442.0866265296936
13,0.010566900484263897,0.012535504573448137,0.0009571781030241796,0.00596834560162685,0.010047857778424278,0.9848251516347821,0.3297787549814484,0.2855452055679881,0.9259271499567109,0.2147828683161875,0.930550090579891,0.38292397245687515,0.301789607015927,657.1465091705322
14,0.01075828148725819,0.011121541854332794,0.0010225300979305138,0.006016075848898989,0.010210175869709,0.9781034488853638,0.19080925611191005,0.22551620068795517,0.9580278206638604,0.2774050465956624,0.9438116494828189,0.43825497320646506,0.30794091606735335,677.7842335700989
15,0.00994762512756155,0.013605781746181574,0.0008365394122789594,0.006044302279367409,0.009140840087561532,0.9617491589809267,0.14865334129707056,0.14472033555303626,0.9648214372924202,0.2764476966572426,0.8434251838620374,0.23518332203871706,0.21943928570700436,660.4493501186371
16,0.011614290204771022,0.011276191947135058,0.0011169270902099287,0.006506240896959888,0.010989363483609037,0.995741355244697,0.45131023761936484,0.5069747083563286,0.94448259531139,0.22836042624273833,0.9091564993186974,0.3524235227550132,0.3533088073285328,523.3133642673492
17,0.010226917889048445,0.01035153383219784,0.0008436634794789109,0.006227350100240809,0.009411406495231898,0.9901240662125251,0.42560041768186563,0.3339861195098001,0.9160071183520695,0.180047609944307,0.9526514838376016,0.4329421269298779,0.33092766849000593,307.0840280056
18,0.009476845083322296,0.01100118737667799,0.000766573775995602,0.005865933096155207,0.00865118501787173,0.9831603273071062,0.37637394423232673,0.25069648053688337,0.9649328222176127,0.2850578352639244,0.9283598220833477,0.40038568865577145,0.33299291210143367,198.66984939575195
19,0.00910318243574906,0.011427043683149597,0.0006682630349693701,0.005806658966863092,0.008251539520681538,0.9911148186799146,0.46848274998957073,0.37865705231249713,0.9306871384784272,0.20883398943741974,0.9524920603088518,0.46206378429407197,0.36482255829417526,287.508766412735
20,0.009013354223459325,0.011212608014995401,0.0007467295737947,0.005457305309778833,0.008320401888340712,0.988401055690964,0.34080231297434044,0.29956741167988465,0.9674780818716326,0.29987060505632945,0.9635673879175473,0.47441372210082816,0.3648230631614234,113.57716584205627
21,0.008394637660301746,0.009562515484338457,0.0006983479375931177,0.005383694980372774,0.007443454037321375,0.9938338916107325,0.5092030546308988,0.43885086521113487,0.9644697495000248,0.29099314620408256,0.9413895123061299,0.4362678248257627,0.40042931031695406,214.51020646095276
22,0.008364552087051438,0.010460930114442652,0.0006426617830119868,0.005392420972558729,0.00747739555353814,0.9919216074353208,0.4826739761895021,0.3961487318995279,0.9630512449299659,0.28117422166795786,0.9442398315531015,0.42262589575454906,0.38107049048900726,250.34440088272095
23,0.008117350888379078,0.009733772328631445,0.0006303049536035496,0.0052477743407275445,0.007230634860535885,0.9955581998344696,0.4744677011909058,0.48801521876981613,0.9521427953967376,0.25514884250436065,0.9531913905631719,0.4320160333821593,0.3894687786222937,290.40863037109375
24,0.008203813409868707,0.012197025543586775,0.0006340858359335665,0.005333142637453498,0.007283069490593799,0.9960520364654112,0.5972638499468239,0.5717847071805141,0.9434513553172034,0.2288834486947037,0.9596240143306041,0.47492229762429694,0.42944334162755654,161.06427717208862
25,0.00761100222812371,0.010107259520075539,0.0005741467231270322,0.005239006097210531,0.006489085964858532,0.9938511585855503,0.5316327429729492,0.47692432531122575,0.958368810373392,0.2650530755209264,0.9487474210473446,0.5070885808056208,0.42547339682287816,227.43586421012878
26,0.007833401424849921,0.0126754655926065,0.000629723817605446,0.0049913135168955045,0.007014815378537837,0.9941718684532687,0.5237082909695905,0.45852995748535363,0.9577063653517223,0.2790323160330542,0.9578662032420429,0.4203114960316383,0.39682097876405487,412.3698875904083
27,0.007577855060709284,0.01136427288028327,0.0006528630923291549,0.005048760183234798,0.00649289255763622,0.9918421420167053,0.4752567693744164,0.416411848462921,0.9601267282415746,0.30865579430080775,0.960329234943709,0.5158550545788155,0.423448385932764,193.2398543357849
28,0.007280068045997239,0.01460192496465011,0.0005767123254778934,0.004928352836360957,0.006243906241465122,0.995555527389652,0.501416943020802,0.5080304540922687,0.9594142725021557,0.28081954711203855,0.9641942232921341,0.3926143688578277,0.3927192048421338,312.7379660606384
29,0.007304254840029047,0.012630942023613236,0.000582863239229637,0.004979581671192291,0.006222737249621051,0.9949135313975082,0.49793541556379034,0.46028986989085147,0.9594632501438459,0.29576108714652233,0.9543199451492073,0.4222065793796049,0.39902676975114937,125.79835057258606
30,0.006888602721564313,0.011955798264931549,0.0005193300039923571,0.005154490599686161,0.005460963490359644,0.9936334208311078,0.5094785652588989,0.4416535255688218,0.9506205732683364,0.24415209938794477,0.956376808157969,0.4725050548996689,0.39740773323382467,295.0892491340637
31,0.006963458704821607,0.010973099957812916,0.0005429681316835488,0.004693561139457086,0.00600725609531745,0.9943134142758032,0.5610424623680071,0.49952147876732933,0.9580973492174458,0.2854028240638907,0.9465851357857459,0.46662886258354774,0.4274378857383689,100.10621166229248
32,0.006819815384818518,0.009866266426714983,0.0005423431315687187,0.004656584556908049,0.005805868863504618,0.9935307633618795,0.5637676456271297,0.49408608038549995,0.9634596199650064,0.30122927954176326,0.9513594609799295,0.5325109195220903,0.45422235402338945,158.93507599830627
33,0.006875469646555312,0.01283063879236579,0.0004917040790500555,0.004954775106756294,0.005684833745769364,0.9947626249540554,0.581536519036519,0.5070967647532229,0.9641898031616462,0.3073784112571486,0.957162807343476,0.48455081567738423,0.4454152896098013,150.96664595603943
34,0.006500189430377585,0.015885584479705853,0.0005464078858494759,0.004647548320366347,0.005275420552278136,0.9955987497576926,0.5437180964926724,0.49227282461274896,0.9577158265338841,0.2887830247271685,0.9591577460739504,0.43394014453533497,0.4135728766050714,380.3989133834839
35,0.006573237627348367,0.013620263219557026,0.0005380760932816787,0.004812217495859938,0.005246384718277036,0.9932748397359841,0.5656778801282312,0.48588022038304673,0.9539113018969732,0.27806396304267084,0.9541617170393362,0.5224452671024756,0.4420960934669285,102.26039433479309
36,0.006344481757742927,0.012937638908624649,0.000497536845208007,0.0047209263491900045,0.005023981494076075,0.9940561752887621,0.5381785192278615,0.4489909738020107,0.9588321897379665,0.2932393255625072,0.9636999360015949,0.4976184103060377,0.428147494127827,156.73136138916016
37,0.006376624483852945,0.01091324140063741,0.0005235426441241214,0.004581723188822891,0.005173412760957442,0.9934705118034662,0.5485619007919966,0.4629007534000848,0.9565871392153396,0.28474786145919556,0.9585635806094692,0.5227231243071047,0.43773410428744697,132.68306064605713
38,0.006207428872585297,0.013037380508401177,0.0005358388165056586,0.004679970061802801,0.004772679781184551,0.9943345666468076,0.5320298548468336,0.4829990848662415,0.9554047777854904,0.29604795520622434,0.9584583905169509,0.49047824529407935,0.43134689011894717,191.67668461799622
39,0.006362651217174023,0.013443156907504255,0.0004996445065270119,0.004682339232494222,0.0050893382347644645,0.9937774053579729,0.5650646791741626,0.49000792210779176,0.9546641008512861,0.27783934198565474,0.9557375912254333,0.5097651538049853,0.43838026547720577,156.65108132362366
40,0.006171414598901855,0.012333742004226555,0.0005141275227713854,0.004466687363790388,0.004962123979992689,0.9941588930441887,0.5102314194651023,0.46006436512580456,0.9554005032600253,0.2757859232127329,0.961119853655112,0.49203265680501534,0.41765549077106723,37.32157516479492
