epoch,tr_loss,val_road_iou,sec
1,0.0025844019237139483,0.6543550039416108,319.64660239219666
2,0.002566237422770563,0.653885973519917,314.8763611316681
3,0.002527750393031721,0.6551320923650937,314.2722029685974
4,0.0024665462057524945,0.6612000726886705,314.7990906238556
5,0.0024508538279324464,0.6640051865732368,308.2497763633728
6,0.0024026449170934886,0.6609744423734167,308.1455943584442
7,0.0023751729725097277,0.6641449937836768,307.92825984954834
8,0.0023139125929012507,0.6682692284342604,308.09877014160156
9,0.002298580523651552,0.6662403451542632,308.5706946849823
10,0.0022901368294642723,0.666670596906356,307.94474625587463
11,0.002261000929518478,0.6677450105958102,307.94900703430176
12,0.0022645688693059968,0.668122911859335,308.0099332332611
