epoch,tr_loss,val_road_iou,sec
1,0.08023853032958617,0.4404314731695703,779.977242231369
2,0.06384264085269067,0.47260603917435845,751.7943108081818
3,0.05780267425614675,0.4120717361920446,751.8205382823944
4,0.05444301445959324,0.440455072073461,752.008951663971
5,0.05122028178079777,0.3484801753655885,751.9170105457306
6,0.04880551690137999,0.42507696895178765,751.7809674739838
7,0.04692293684901221,0.4248340871579436,752.1220920085907
8,0.04472175668949379,0.39213489618891545,751.8443081378937
9,0.04319588474352655,0.39800226925881366,751.7253460884094
10,0.041920053771208915,0.3610710115864389,751.827134847641
11,0.04151715818186705,0.34080386925705247,752.6788332462311
12,0.04100119047805313,0.3731770637252829,751.3132627010345
