epoch,tr_loss,va_loss,score,sec,iou_bg,iou_floor,iou_wall
1,0.008218268805649132,0.009337972616776824,0.06978314789540073,23.478849411010742,0.9310309768810124,0.03352230712349026,0.1060439886673112
2,0.0024442935318802483,0.0025020948863433055,0.24961083646748544,12.46345329284668,0.9748243140048408,0.23468206000506678,0.2645396129299041
3,0.0016581112031417433,0.002619263056355218,0.2193332521733057,11.405300617218018,0.9656088781308138,0.22773274980925096,0.21093375453736046
4,0.0014364959224621998,0.0016411471297033131,0.5023154370483315,11.328874826431274,0.9935014062876784,0.4976436222005842,0.5069872518960787
5,0.0012297609664528864,0.0019255475684379537,0.3135476363476596,11.150304317474365,0.9789219303774416,0.3450158506516379,0.28207942204368125
6,0.0011520468506205361,0.0011246644523149978,0.45462652881353227,11.31604528427124,0.989179724095503,0.483849904231238,0.42540315339582657
7,0.0011318445122014964,0.002222896320745349,0.2238108066522847,11.026055812835693,0.9649130262604814,0.2309488596559508,0.2166727536486186
8,0.001105464345528162,0.0011909833265235648,0.4827195503249002,11.101372480392456,0.9911476331344732,0.4760720171647128,0.4893670834850876
9,0.0010451824509800645,0.0013197897448359679,0.3719765572659555,11.182804107666016,0.9832833842076808,0.391760426359868,0.352192688172043
10,0.000972294828898157,0.0011876848536000277,0.5255389366065506,10.99951171875,0.9931698117727994,0.5348909175305586,0.5161869556825427
11,0.0009915213595377281,0.0015976653521647677,0.5599012278356109,10.966106414794922,0.9944088210069169,0.561326408310028,0.5584760473611938
12,0.0008121347436826909,0.001121438816577817,0.4355681093822772,11.069817066192627,0.9898853214249478,0.42350730688935284,0.4476289118752016
13,0.0008620912485639565,0.0010657341529925664,0.51628979325402,10.966688871383667,0.9927849165957615,0.522221781707172,0.510357804800868
14,0.0008259659134637332,0.0009668970888014883,0.49926871203397716,10.975488662719727,0.9918885452308069,0.5170425328729891,0.4814948911949652
15,0.0008575312795073842,0.0011094018021443237,0.4495187030674073,10.882009267807007,0.9891738300697974,0.45196262874270593,0.4470747773921087
16,0.0009072861448657932,0.0011388374065669875,0.5047413631025022,11.005330085754395,0.9922458108837579,0.5121244723992386,0.4973582538057656
17,0.0007350377145485254,0.0009559694056709608,0.5708925323483571,10.908435583114624,0.9927441363348829,0.6029152124820365,0.5388698522146776
18,0.0008406028173340019,0.0009883146509916212,0.5414402106512566,11.014636278152466,0.9924703571526426,0.5683090705487122,0.514571350753801
19,0.0008068858551268931,0.0010110947187058628,0.49581171754105013,10.887850999832153,0.9913149323805511,0.49048001013214,0.5011434249499603
20,0.0006814225625930703,0.0008543042737680177,0.4902243947878866,10.98800778388977,0.9902737263059032,0.5072856221792392,0.4731631673965339
21,0.0007162135934777325,0.0009672453937431177,0.4979766650421946,10.921029329299927,0.9912501309187589,0.5105350476980506,0.4854182823863387
22,0.0006587528141608345,0.0008217304421123117,0.5155492011422169,10.891353368759155,0.9925556197169959,0.544276552754107,0.48682184953032687
23,0.0006750591210220591,0.0009662427037255839,0.5530534700074733,11.020573139190674,0.9932270632003852,0.5785422284074107,0.5275647116075359
24,0.0006893244990351377,0.0009055446134880185,0.5287211977660968,11.003023386001587,0.9911753825043305,0.5603704928878598,0.49707190264433376
25,0.0006997504597165971,0.0008494566573062912,0.5205562717446076,10.983114242553711,0.9920542740236903,0.5251550966807046,0.5159574468085106
26,0.0006068584698368795,0.0008873048403377956,0.5707749567756508,11.033401727676392,0.9930343914550495,0.5880606860158312,0.5534892275354704
27,0.0006175207709020469,0.0008027348788649155,0.574770430906671,10.962249279022217,0.9940187772318035,0.5721927478405753,0.5773481139727666
28,0.0006982214617892168,0.0007656200614292175,0.5773393426165352,10.917283535003662,0.9938034568781183,0.5786900446767259,0.5759886405563444
29,0.000701132574249641,0.0008424088834241653,0.5290739270282174,10.946924209594727,0.9923876135261809,0.5263243024666397,0.5318235515897951
30,0.0005986419100736384,0.0009410046526075652,0.5408803597158951,11.00776219367981,0.991826206922075,0.5681366870759557,0.5136240323558346
31,0.0005970579804852605,0.0008985760359792039,0.5902000738539933,10.875697612762451,0.9941282904356653,0.6039939377730231,0.5764062099349635
32,0.0005995721694489475,0.0008074755436003519,0.552496983062778,10.995055437088013,0.9930126232855048,0.5781147310111726,0.5268792351143833
33,0.0005630899486277485,0.0007453341337774569,0.5782184805974975,10.893446445465088,0.9930627546856678,0.6036774754627904,0.5527594857322045
34,0.0005777223313998547,0.0009437504825958362,0.560825568544707,11.017452955245972,0.9937433877972772,0.5676401338345244,0.5540110032548895
35,0.0005898738072573906,0.0006948706504772417,0.5403839373674053,10.90940546989441,0.9924664733794618,0.5607710926694329,0.5199967820653777
36,0.0005948156858721632,0.0007487902815531319,0.571196260527649,11.099536180496216,0.9930086494105642,0.5933221027169453,0.5490704183383528
37,0.0005808808318761294,0.0007012832914673103,0.5907726047869144,10.932889938354492,0.9937761644382134,0.6124857077521153,0.5690595018217135
38,0.000592427445553767,0.0008976771059678867,0.5665681578151587,11.0001380443573,0.9934104684290368,0.5783380499099563,0.5547982657203612
39,0.0005302461840983597,0.0006886381306685507,0.5736428700007642,10.980215311050415,0.9939401137024413,0.5925169390195297,0.5547688009819987
40,0.0005233224237599643,0.0008501608390361071,0.5814494543120587,10.897899627685547,0.9934824732882032,0.5884927066450567,0.5744062019790609
