OBJECTID,Well_ident,State,County,Well_name,Well_numbe,Type,Status,Latitude,Longitude,Prime_meri,Township,T_dir,Range,R_dir,Section,Qtr,Qtr_qtr,Qtr_qtr_qt,Source,Data file date,Well_info,Location_n,Other_note,x,y
99722,API:37121222400000,Pennsylvania,Venango,ROEDER 18Q, , ,Orphan,41.506459,-79.528246, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5282459996531,41.5064590000828
99723,API:37121222410000,Pennsylvania,Venango,ROEDER 20Q, , ,Orphan,41.514556,-79.525694, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5256939997782,41.5145560002592
99724,API:37121222420000,Pennsylvania,Venango,ROEDER 21Q, , ,Orphan,41.512497,-79.526241, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5262409998222,41.5124969997368
99725,API:37121222430000,Pennsylvania,Venango,ROEDER 22Q, , ,Orphan,41.509616,-79.526276, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5262759996376,41.5096159999785
99726,API:37121222440000,Pennsylvania,Venango,ROEDER 23Q, , ,Orphan,41.50742,-79.526238, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5262379996839,41.5074200003328
99727,API:37121222450000,Pennsylvania,Venango,ROEDER 24Q, , ,Orphan,41.507694,-79.527334, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5273339998641,41.5076940003779
99728,API:37121222460000,Pennsylvania,Venango,ROEDER 8Q, , ,Orphan,41.505224,-79.530071, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: President Twp, ,-79.5300710001765,41.5052239997878
99729,API:37121222470000,Pennsylvania,Venango,ROEDER 14Q, , ,Orphan,41.504126,-79.528245, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: President Twp, ,-79.528244999607,41.5041260004147
99730,API:37121222480000,Pennsylvania,Venango,ROEDER 19Q, , ,Orphan,41.505224,-79.527004, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: President Twp, ,-79.5270039999346,41.5052239997878
99731,API:37121222490000,Pennsylvania,Venango,ROEDER 25Q, , ,Orphan,41.503853,-79.525142, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: President Twp, ,-79.525142000403,41.5038530004157
99732,API:37121222630000,Pennsylvania,Venango,WILLIAM F DUNCAN 4784, , ,Orphan,41.178425,-79.991878, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Irwin Twp, ,-79.9918779996699,41.1784250002136
99733,API:37121223190000,Pennsylvania,Venango,WOIDECK 65Q, , ,Orphan,41.507011,-79.512, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5119999996003,41.5070110003574
99734,API:37121223200000,Pennsylvania,Venango,WOIDECK 66Q, , ,Orphan,41.507422,-79.515468, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5154680003479,41.507422000425
99735,API:37121223210000,Pennsylvania,Venango,WOIDECK 67Q, , ,Orphan,41.508657,-79.514373, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5143730002138,41.5086569998207
99736,API:37121223220000,Pennsylvania,Venango,WOIDECK 68Q, , ,Orphan,41.509755,-79.512548, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5125479996904,41.5097550000932
