epoch,tr_loss,va_loss,score,sec,iou_bg,iou_floor,iou_wall
1,0.008014232702811973,0.006080588869129618,0.1905213330587952,28.508998155593872,0.9720087777059828,0.16468429202271032,0.21635837409488007
2,0.0024764040976555813,0.0027534002341174832,0.4166777203411605,13.790616273880005,0.9939502528414775,0.4134926562111028,0.4198627844712182
3,0.001725785974283806,0.0017219625199989725,0.4215616228865412,12.769843816757202,0.9910888994794277,0.42430628731998593,0.4188169584530964
4,0.0014329155447841105,0.0017818980171189953,0.537959050467633,13.06652545928955,0.9948551305892606,0.530185148709868,0.5457329522253981
5,0.0012314491614233702,0.0014506029256153852,0.3608797153607314,12.675796747207642,0.9843481422701713,0.3876048678582087,0.33415456286325407
6,0.0011078664910099986,0.0013770036554584901,0.4881128215621607,12.76690673828125,0.9944483098150625,0.4379749545113989,0.5382506886129225
7,0.001062611357257184,0.0016358516440959647,0.3140729482054742,12.461720705032349,0.9917817371994786,0.16852010265183917,0.4596257937591092
8,0.0010275424299632302,0.0009988284291466698,0.4926742736324032,12.367353677749634,0.9915511653489801,0.5117933956984089,0.4735551515663975
9,0.0010364405962819648,0.0014398955245269462,0.5861896563196312,12.371076107025146,0.995600425086964,0.5899984707141764,0.5823808419250858
10,0.0009845426118570482,0.0012115907011320814,0.47878546871279015,12.517170190811157,0.9928334694072405,0.4560660532569618,0.5015048841686185
11,0.0009725844914404055,0.001754055648537663,0.5492936013513756,12.88481855392456,0.9944280445233282,0.5448378403494099,0.5537493623533413
12,0.0008570627930263678,0.000998839508004797,0.49498735955263057,12.96163558959961,0.9900014741756715,0.5275139335897637,0.4624607855154974
13,0.0008553671844614049,0.0009319170349044725,0.5764179114006058,12.955164194107056,0.993836720481528,0.5912682734097194,0.5615675493914921
14,0.0008574829537085154,0.000893489268491976,0.5230843443780032,12.958035707473755,0.9934840402663536,0.5043829529388002,0.5417857358172062
15,0.0007924114696733239,0.0009439646916386361,0.4620749912997162,13.201444864273071,0.988326411686264,0.515033638363677,0.40911634423575544
16,0.000812266144849774,0.0010252841020701453,0.4523218521568064,13.060843229293823,0.9905198906581685,0.4374343428279857,0.4672093614856271
17,0.0007735194667475298,0.0010373446323986475,0.5876211849823926,12.893526315689087,0.9947825541048823,0.5935858703230305,0.5816564996417547
18,0.000741026027147503,0.0008955683879321441,0.41892542321577486,12.94733738899231,0.9886174723558503,0.41699198253788355,0.4208588638936661
19,0.0007139909115115491,0.0008286994731558176,0.6036790629026609,13.618161678314209,0.9952588780553735,0.6103442325942542,0.5970138932110676
20,0.0007509959792110345,0.00121707142291901,0.5487499249431633,13.589606523513794,0.9944485817845244,0.5614267905255962,0.5360730593607306
21,0.0007009969251359709,0.0009553069054769973,0.5889705756608481,12.783060789108276,0.9949138109102397,0.5844803606541653,0.5934607906675308
22,0.0006609426135481852,0.000905211209707583,0.3866468212324615,12.789304971694946,0.988488483730834,0.3368260494727767,0.4364675929921464
23,0.0006625070568083578,0.0014227709907572716,0.585879028944794,12.362832069396973,0.9951312586129271,0.5801733477789816,0.5915847101106065
24,0.0006195952624289526,0.0008545411158896362,0.528251290872809,12.326092720031738,0.9914992572257897,0.5801036554602578,0.4763989262853603
25,0.0006373028704223947,0.0013177902486252908,0.6043036527254823,12.73703408241272,0.9953805542018024,0.6119617439719816,0.596645561478983
26,0.0007621457310354648,0.0007561966485809535,0.5664830250104611,12.487712383270264,0.9932760588020955,0.5980577162056427,0.5349083338152796
27,0.0006469581405528717,0.0009277708789644142,0.6046418559781885,12.249364137649536,0.9947506795360825,0.6116184351554127,0.5976652768009645
28,0.0006168877597600739,0.0009047847027735164,0.5688747218926646,12.231314420700073,0.9939982784281123,0.58039911308204,0.5573503307032893
29,0.0006202928529496097,0.0010388041021845613,0.5995514287669883,12.230009317398071,0.9946792749517149,0.6081871345029239,0.5909157230310528
30,0.0005799160935566761,0.0007501911944321668,0.5764386598918766,12.639988422393799,0.9942919545148918,0.6014585232452142,0.551418796538539
31,0.0005783452781745129,0.000887391965079587,0.5496401180403185,12.758440494537354,0.9924897145668744,0.586003407721398,0.5132768283592392
32,0.0005789233699841942,0.000732379429488598,0.5838902103906372,13.357622146606445,0.9938037028680674,0.6110804851157663,0.5566999356655079
33,0.0005618072682409547,0.0009417429925330604,0.5788717904799104,13.152376174926758,0.9943001216530853,0.5900344692176797,0.5677091117421412
34,0.0005776763710956504,0.0009389086480950937,0.5542473780517246,12.59534215927124,0.9938312284319678,0.5621772805507745,0.5463174755526747
35,0.0005507775583990022,0.0007486462442708822,0.6141521887535413,12.313488006591797,0.9941862128648791,0.6387487386478304,0.589555638859252
36,0.0005626126868365747,0.0007897225004853681,0.6085188162956281,12.356169939041138,0.9946596978394308,0.6267052501033485,0.5903323824879078
37,0.0005551196405172555,0.0007639785690116696,0.5614663695992945,12.389236688613892,0.9937348421358929,0.5879134668473623,0.5350192723512268
38,0.0005218121562696373,0.0008870588984185209,0.593761966809619,12.271463871002197,0.9942238877389509,0.6070682596708162,0.5804556739484219
39,0.0005484979523720944,0.0006356364659344157,0.5898380439412019,12.741621017456055,0.9940565150775027,0.624813571961223,0.5548625159211807
40,0.0005490260438010511,0.0008050736845082914,0.5736612400230463,13.134752035140991,0.9938067960034788,0.5857440124036069,0.5615784676424856
