model,fold,block_id,thr,tau,n_gt,tp_gt,n_pred,tp_pred,split
pit,0,133,0.075,0.5,8,2,33,2,heldout
pit,0,134,0.075,0.5,5,1,26,1,heldout
pit,0,-1,0.1,0.3,85,49,316,49,val
pit,0,-1,0.1,0.5,85,11,316,11,val
pit,0,2,0.1,0.3,5,4,16,4,heldout
pit,0,14,0.1,0.3,3,2,29,2,heldout
pit,0,18,0.1,0.3,2,1,27,1,heldout
pit,0,27,0.1,0.3,6,6,16,6,heldout
pit,0,36,0.1,0.3,3,2,14,2,heldout
pit,0,37,0.1,0.3,2,1,11,1,heldout
pit,0,41,0.1,0.3,5,0,28,0,heldout
pit,0,44,0.1,0.3,1,1,37,1,heldout
pit,0,60,0.1,0.3,5,3,18,3,heldout
pit,0,61,0.1,0.3,8,1,23,1,heldout
pit,0,71,0.1,0.3,6,5,7,5,heldout
pit,0,72,0.1,0.3,6,4,22,4,heldout
pit,0,82,0.1,0.3,2,2,27,2,heldout
pit,0,86,0.1,0.3,1,1,6,1,heldout
pit,0,88,0.1,0.3,4,3,20,3,heldout
pit,0,94,0.1,0.3,2,1,28,1,heldout
pit,0,95,0.1,0.3,8,2,16,2,heldout
pit,0,107,0.1,0.3,6,2,15,2,heldout
pit,0,108,0.1,0.3,7,1,17,1,heldout
pit,0,111,0.1,0.3,3,3,13,3,heldout
pit,0,114,0.1,0.3,2,1,20,1,heldout
pit,0,125,0.1,0.3,1,0,12,0,heldout
pit,0,126,0.1,0.3,2,1,6,1,heldout
pit,0,133,0.1,0.3,8,5,25,5,heldout
pit,0,134,0.1,0.3,5,5,20,5,heldout
pit,0,2,0.1,0.5,5,1,16,1,heldout
pit,0,14,0.1,0.5,3,1,29,1,heldout
pit,0,18,0.1,0.5,2,1,27,1,heldout
pit,0,27,0.1,0.5,6,4,16,4,heldout
pit,0,36,0.1,0.5,3,0,14,0,heldout
pit,0,37,0.1,0.5,2,0,11,0,heldout
pit,0,41,0.1,0.5,5,0,28,0,heldout
pit,0,44,0.1,0.5,1,0,37,0,heldout
pit,0,60,0.1,0.5,5,1,18,1,heldout
pit,0,61,0.1,0.5,8,0,23,0,heldout
pit,0,71,0.1,0.5,6,2,7,2,heldout
pit,0,72,0.1,0.5,6,1,22,1,heldout
pit,0,82,0.1,0.5,2,0,27,0,heldout
pit,0,86,0.1,0.5,1,0,6,0,heldout
pit,0,88,0.1,0.5,4,1,20,1,heldout
pit,0,94,0.1,0.5,2,1,28,1,heldout
pit,0,95,0.1,0.5,8,1,16,1,heldout
pit,0,107,0.1,0.5,6,0,15,0,heldout
pit,0,108,0.1,0.5,7,0,17,0,heldout
pit,0,111,0.1,0.5,3,1,13,1,heldout
pit,0,114,0.1,0.5,2,0,20,0,heldout
pit,0,125,0.1,0.5,1,0,12,0,heldout
pit,0,126,0.1,0.5,2,1,6,1,heldout
pit,0,133,0.1,0.5,8,2,25,2,heldout
pit,0,134,0.1,0.5,5,1,20,1,heldout
pit,0,-1,0.125,0.3,85,54,255,54,val
pit,0,-1,0.125,0.5,85,11,255,11,val
pit,0,2,0.125,0.3,5,5,12,5,heldout
pit,0,14,0.125,0.3,3,2,24,2,heldout
pit,0,18,0.125,0.3,2,1,16,1,heldout
pit,0,27,0.125,0.3,6,6,15,6,heldout
pit,0,36,0.125,0.3,3,2,12,2,heldout
pit,0,37,0.125,0.3,2,1,11,1,heldout
pit,0,41,0.125,0.3,5,2,25,2,heldout
pit,0,44,0.125,0.3,1,1,24,1,heldout
pit,0,60,0.125,0.3,5,3,14,3,heldout
pit,0,61,0.125,0.3,8,1,18,1,heldout
pit,0,71,0.125,0.3,6,5,7,5,heldout
pit,0,72,0.125,0.3,6,4,19,4,heldout
pit,0,82,0.125,0.3,2,2,22,2,heldout
pit,0,86,0.125,0.3,1,1,5,1,heldout
pit,0,88,0.125,0.3,4,4,19,4,heldout
pit,0,94,0.125,0.3,2,1,19,1,heldout
pit,0,95,0.125,0.3,8,4,14,4,heldout
pit,0,107,0.125,0.3,6,2,13,2,heldout
pit,0,108,0.125,0.3,7,2,13,2,heldout
pit,0,111,0.125,0.3,3,3,12,3,heldout
pit,0,114,0.125,0.3,2,2,11,2,heldout
pit,0,125,0.125,0.3,1,0,5,0,heldout
pit,0,126,0.125,0.3,2,1,3,1,heldout
pit,0,133,0.125,0.3,8,5,21,5,heldout
pit,0,134,0.125,0.3,5,5,14,5,heldout
pit,0,2,0.125,0.5,5,1,12,1,heldout
pit,0,14,0.125,0.5,3,1,24,1,heldout
pit,0,18,0.125,0.5,2,1,16,1,heldout
pit,0,27,0.125,0.5,6,6,15,6,heldout
pit,0,36,0.125,0.5,3,0,12,0,heldout
pit,0,37,0.125,0.5,2,0,11,0,heldout
pit,0,41,0.125,0.5,5,0,25,0,heldout
pit,0,44,0.125,0.5,1,0,24,0,heldout
pit,0,60,0.125,0.5,5,1,14,1,heldout
pit,0,61,0.125,0.5,8,0,18,0,heldout
pit,0,71,0.125,0.5,6,2,7,2,heldout
pit,0,72,0.125,0.5,6,1,19,1,heldout
pit,0,82,0.125,0.5,2,0,22,0,heldout
pit,0,86,0.125,0.5,1,0,5,0,heldout
pit,0,88,0.125,0.5,4,2,19,2,heldout
pit,0,94,0.125,0.5,2,1,19,1,heldout
pit,0,95,0.125,0.5,8,1,14,1,heldout
pit,0,107,0.125,0.5,6,0,13,0,heldout
pit,0,108,0.125,0.5,7,0,13,0,heldout
pit,0,111,0.125,0.5,3,1,12,1,heldout
pit,0,114,0.125,0.5,2,0,11,0,heldout
pit,0,125,0.125,0.5,1,0,5,0,heldout
pit,0,126,0.125,0.5,2,1,3,1,heldout
pit,0,133,0.125,0.5,8,2,21,2,heldout
pit,0,134,0.125,0.5,5,1,14,1,heldout
pit,0,-1,0.15,0.3,85,56,213,56,val
pit,0,-1,0.15,0.5,85,15,213,15,val
pit,0,2,0.15,0.3,5,5,10,5,heldout
pit,0,14,0.15,0.3,3,2,21,2,heldout
pit,0,18,0.15,0.3,2,1,8,1,heldout
pit,0,27,0.15,0.3,6,6,14,6,heldout
pit,0,36,0.15,0.3,3,2,11,2,heldout
pit,0,37,0.15,0.3,2,1,9,1,heldout
pit,0,41,0.15,0.3,5,2,20,2,heldout
pit,0,44,0.15,0.3,1,1,20,1,heldout
pit,0,60,0.15,0.3,5,3,13,3,heldout
pit,0,61,0.15,0.3,8,2,16,2,heldout
pit,0,71,0.15,0.3,6,5,7,5,heldout
pit,0,72,0.15,0.3,6,4,17,4,heldout
pit,0,82,0.15,0.3,2,2,18,2,heldout
pit,0,86,0.15,0.3,1,1,4,1,heldout
pit,0,88,0.15,0.3,4,4,16,4,heldout
pit,0,94,0.15,0.3,2,1,17,1,heldout
pit,0,95,0.15,0.3,8,5,14,5,heldout
pit,0,107,0.15,0.3,6,3,13,3,heldout
pit,0,108,0.15,0.3,7,2,13,2,heldout
pit,0,111,0.15,0.3,3,3,13,3,heldout
pit,0,114,0.15,0.3,2,2,8,2,heldout
pit,0,125,0.15,0.3,1,0,5,0,heldout
pit,0,126,0.15,0.3,2,1,3,1,heldout
pit,0,133,0.15,0.3,8,5,20,5,heldout
pit,0,134,0.15,0.3,5,5,13,5,heldout
pit,0,2,0.15,0.5,5,1,10,1,heldout
pit,0,14,0.15,0.5,3,1,21,1,heldout
pit,0,18,0.15,0.5,2,1,8,1,heldout
pit,0,27,0.15,0.5,6,6,14,6,heldout
pit,0,36,0.15,0.5,3,0,11,0,heldout
pit,0,37,0.15,0.5,2,0,9,0,heldout
pit,0,41,0.15,0.5,5,0,20,0,heldout
pit,0,44,0.15,0.5,1,0,20,0,heldout
pit,0,60,0.15,0.5,5,1,13,1,heldout
pit,0,61,0.15,0.5,8,0,16,0,heldout
pit,0,71,0.15,0.5,6,2,7,2,heldout
pit,0,72,0.15,0.5,6,0,17,0,heldout
pit,0,82,0.15,0.5,2,0,18,0,heldout
pit,0,86,0.15,0.5,1,1,4,1,heldout
pit,0,88,0.15,0.5,4,2,16,2,heldout
pit,0,94,0.15,0.5,2,1,17,1,heldout
pit,0,95,0.15,0.5,8,1,14,1,heldout
pit,0,107,0.15,0.5,6,0,13,0,heldout
pit,0,108,0.15,0.5,7,0,13,0,heldout
pit,0,111,0.15,0.5,3,1,13,1,heldout
pit,0,114,0.15,0.5,2,0,8,0,heldout
pit,0,125,0.15,0.5,1,0,5,0,heldout
pit,0,126,0.15,0.5,2,1,3,1,heldout
pit,0,133,0.15,0.5,8,2,20,2,heldout
pit,0,134,0.15,0.5,5,2,13,2,heldout
pit,0,-1,0.175,0.3,85,58,179,58,val
pit,0,-1,0.175,0.5,85,19,179,19,val
pit,0,2,0.175,0.3,5,5,8,5,heldout
pit,0,14,0.175,0.3,3,3,18,3,heldout
