pad_i,area_m2,perim_m,compactness,elongation,solidity,rectangularity,n_pits,d_road_m,n_wells_50m,slope_mean,slope_std,slope_flatfrac,slope_annulus,edge_slope,slope_ratio,lrm11_relief,tpi15_mean,chm_in,chm_annulus,chm_deficit
0,2685.6980794715228,202.79888388482968,0.8206083497276777,0.6280012746959517,0.9688812764266458,0.7184140260295065,1,0.0,1,7.2706518106315094,5.888917074106742,0.24122847836202885,3.5894970893859863,3.9385437965393066,2.025534950879488,0.36154174804687467,0.05901799687899895,0.2322998046875,0.0487213134765625,-0.1835784912109375
1,1296.5422423101975,165.51370762328295,0.5947419883016788,0.3937576910891119,0.9321341386205814,0.7940309402057337,2,0.0,0,12.031373348221376,7.195532248776816,0.043184885290148446,10.471866607666016,11.600096225738525,1.1489234726704511,0.40460205078124983,-0.04761835336915004,0.093109130859375,0.071868896484375,-0.021240234375
2,1266.2052036397822,143.18032484854314,0.7761528761656061,0.5825920062213534,0.982275293548429,0.805752368320459,0,13.97685616999411,1,11.829287686958082,8.996765141213752,0.11629279811097992,10.629485130310059,13.137523651123047,1.11287494567604,0.5016845703124999,-0.024695290209317197,0.069427490234375,0.071746826171875,0.0023193359375
3,1158.7793378019971,150.0432760784839,0.6468111987582577,0.42202537779578475,0.9444081214566187,0.8014233993428153,0,1.6361337459661962,1,15.440997661646325,11.20582886911276,0.12184602113435411,14.528291702270508,25.103217124938965,1.0628226620224852,0.517352294921875,0.11071308095675747,0.078125,0.13177490234375,0.05364990234375
4,1426.9831241537204,160.74924131330445,0.6939542460008872,0.5338431938811651,0.9656532551555148,0.7900828069761939,1,0.0,1,13.132793385781044,9.874975786701578,0.11974053295932678,12.63361644744873,16.08729839324951,1.039511800948581,0.4437881469726562,0.04226750377852987,0.110687255859375,0.133209228515625,0.02252197265625
5,921.5834611116121,131.13157278246288,0.6734882077616913,0.4670982344909505,0.9787165248526398,0.8162662618866027,2,0.0,1,15.841564859569154,9.581011745091862,0.06974219810040705,15.309928894042969,17.3153133392334,1.0347249140871608,0.42778930664062476,-0.078273513359163,0.159759521484375,0.1585693359375,-0.001190185546875
6,1397.9349232824657,165.64694166657623,0.6402210874793484,0.4124016958655464,0.9512222641926951,0.767378507810936,1,0.0,2,15.912365190903538,9.730017195186859,0.037773003938417475,13.928502082824707,18.1604585647583,1.142431906624413,0.45104217529296875,0.04455555479798828,0.12152099609375,0.126129150390625,0.004608154296875
7,1186.9025919278035,135.36137207707927,0.8140206955365037,0.8195566004461524,0.9858757290203278,0.827594523552053,1,0.8947070067269339,1,16.042558379939123,9.75633845940613,0.07037505267593763,13.381109237670898,17.658205032348633,1.1988960029394,0.4527435302734375,0.08628598939402918,0.1646728515625,0.164703369140625,3.0517578125e-05
8,1429.9063836565197,152.36481720188277,0.7740126865890326,0.6068654942098117,0.9699642297954681,0.803352676034504,1,8.13235836483975,1,13.282519381949475,8.893010272991727,0.06323144104803494,13.702542304992676,13.928550720214844,0.9693470807318609,0.41575317382812504,-0.006107172403793668,0.0860137939453125,0.1022186279296875,0.016204833984375
9,1196.1221051957418,164.53125844632532,0.5552499671921421,0.405890107526885,0.8563616600927332,0.7150989008607369,1,4.271884621004275,1,11.961014872713413,8.360234676800363,0.10676974508984538,11.309065341949463,12.064544677734375,1.0576484007343765,0.4442138671875,0.09061771429486719,0.13427734375,0.112945556640625,-0.021331787109375
10,1395.6313748455768,184.2116052575201,0.5168286899095548,0.33160466527734606,0.8882338066169061,0.7544133634987923,1,0.0,2,12.448555557852867,10.248471513447262,0.08980103961283384,11.933676719665527,13.078746318817139,1.0431450298413791,0.5152679443359365,-0.14406562035261974,0.104217529296875,0.145416259765625,0.04119873046875
11,1400.5464964448865,166.47014521857682,0.6350891287612226,0.4530293414359188,0.9465382046458672,0.810048042454902,1,0.0,0,10.803769250189916,7.937730981768638,0.14856429463171036,13.892684936523438,12.98337173461914,0.7776588398537091,0.4027160644531249,0.09120334702123183,0.075958251953125,7.4035797119140625,7.3276214599609375
12,1056.5654055290677,143.8678976117833,0.6414731108812495,0.4040224388422322,0.9545952772572319,0.8060029504289365,0,0.0,1,15.67624527052348,10.648050890369015,0.10837671557027923,12.935029029846191,16.510669708251953,1.211921924129604,0.5283355712890625,-0.1207284489571625,0.10040283203125,0.1660919189453125,0.0656890869140625
