cluster,area_m2,perim_m,compactness,elongation,solidity,rectangularity,n_pits,d_road_m,n_wells_50m,slope_mean,slope_std,slope_flatfrac,slope_annulus,edge_slope,slope_ratio,lrm11_relief,tpi15_mean,chm_in,chm_annulus,chm_deficit,n_pads
0,1620.9620908678478,173.03213276226776,0.6694622900913298,0.5065131045127442,0.9461188823900065,0.7672978633257614,0.0,0.0,1.0,11.497131652218297,8.084988694509954,0.12470138557095078,9.561385154724121,10.56313705444336,1.191814237535048,0.448486328125,-0.004903142356077767,4.9426727294921875,13.803070068359375,7.3276214599609375,45
1,1956.0001830039307,210.61851102810266,0.5875045572983633,0.4742477459435099,0.891974258649056,0.6951682927758303,0.0,0.0,1.0,8.094676111341292,6.3282934525360295,0.1882944631508744,5.787387847900391,6.535563230514526,1.4455996004482987,0.36510772705078115,0.015641446186994423,0.0849151611328125,0.0607452392578125,-0.017974853515625,150
2,1769.9919371473084,173.80567072859793,0.7212340520963725,0.5871303342358463,0.9525969849058058,0.7526552351583992,0.0,0.0,1.0,7.281708096915278,5.671906956526689,0.23721194414607127,4.8110421895980835,5.161569237709045,1.5066879435400167,0.3193626403808594,0.01530929761037796,0.069244384765625,0.0516204833984375,-0.01615142822265625,240
3,1372.8813150361939,160.74924131330445,0.6810711371586791,0.46133736907086476,0.9571149942165524,0.7663478685798017,1.0,0.0,1.0,12.057594948117462,8.370071781485358,0.09833281877122568,11.028216361999512,12.270670890808105,1.1017022271319445,0.44112396240234375,0.029969902317760314,0.125030517578125,0.126129150390625,0.007049560546875,215
