epoch,tr_loss,va_loss,iou_bg,iou_road,sec
1,0.015520123143990835,4.479138195514679,0.9778455390371279,0.0028281685588461072,9.228781938552856
2,0.00888860144186765,0.1511303223669529,0.9654915828769471,0.10493139370894726,4.7187278270721436
3,0.007847492932341993,0.01378579344600439,0.8631116905958582,0.13068914498242185,4.426510572433472
4,0.0067975498192633195,0.0050933463498950005,0.9402492646260421,0.24547145756862623,4.184336423873901
5,0.0063642062013968825,0.005198362050577998,0.9578911968914616,0.30093100640730647,4.16559100151062
6,0.006044839081975321,0.005530559457838535,0.9597725392042771,0.3086123775773533,4.156256675720215
7,0.006012693474379678,0.005248641362413764,0.9266377638911009,0.19525597429233782,4.271737813949585
8,0.0060602916637435555,0.005257384269498289,0.9399566914147206,0.2600792864968244,4.326328992843628
9,0.006245154693412284,0.0050720738945528865,0.9509625970054569,0.2729966707172188,4.046394348144531
10,0.005640897046153744,0.006521932198666036,0.9633075664115963,0.32796925462547205,4.222849130630493
11,0.004911508333558838,0.006738288793712854,0.9701443615314875,0.3106231927689755,4.3514275550842285
12,0.005019543944702794,0.004168591112829745,0.949319694880514,0.2835385584481702,4.429132699966431
13,0.005121422737526397,0.00883057457394898,0.9646203131471167,0.30581705230398676,4.701706409454346
14,0.005479423911310732,0.00542225711978972,0.9476920439700144,0.2712422605717297,4.3822431564331055
15,0.004975501331500709,0.005629885359667242,0.9335813677792644,0.22346121762193688,4.2088329792022705
16,0.0052884532293925686,0.004675242933444679,0.9594916888083418,0.29581435697245717,4.2802910804748535
17,0.0047612423077225685,0.004109408298972994,0.9540563127179398,0.29307756541972774,4.126820802688599
18,0.005168542382307351,0.004736936651170254,0.959919946330833,0.2908032307882714,4.463897466659546
19,0.0047182618485142784,0.004723468271549791,0.9485770727527582,0.25238194281567106,4.226440906524658
20,0.0047662563738413155,0.005600448930636048,0.9191587342903469,0.21625765051952364,4.403373718261719
21,0.004789625449726979,0.004076524113770574,0.9710435965537345,0.3629922524186103,4.342716693878174
22,0.004629625841819991,0.003819974255748093,0.9679729863019704,0.3533389063729347,4.312563180923462
23,0.004606904636602849,0.004679636564105749,0.9594893482789988,0.348041675275228,4.267942905426025
24,0.004579328776647647,0.0037070397520437837,0.9616173107196053,0.3226921567467891,4.243419885635376
25,0.004273814246213685,0.004824917297810316,0.970981088546884,0.3344356798228819,4.321096897125244
26,0.0044225798337720335,0.00459552719257772,0.9474786143647461,0.2824744676590348,4.16822624206543
27,0.0036716140263403454,0.004353416326921433,0.962589872712886,0.35208154892195115,4.198547601699829
28,0.00420864624902606,0.004912481876090169,0.954913868677396,0.3243862220593624,4.316103458404541
29,0.0041179988960114615,0.004330463008955121,0.9568022901622656,0.31233306461795474,4.415957450866699
30,0.0038825358691004417,0.004147966566961259,0.9631402815404658,0.33192335302888065,4.320353984832764
31,0.0038523367062831917,0.0056298954878002405,0.9641735643831956,0.3534314750993713,4.239713668823242
32,0.003950035063705097,0.004674412193708122,0.9577212141700534,0.35692261832679717,4.155360698699951
33,0.003858495814104875,0.003884574514813721,0.9581807147800938,0.29791834940239453,4.147260904312134
34,0.0038810244877822697,0.0039158015279099345,0.9565743162981272,0.3330923498704323,4.041818141937256
35,0.004015557817183435,0.004229091166052967,0.9578525377432103,0.32131555153707053,4.158001184463501
36,0.004062471794895828,0.0034177380730398,0.9664454562449724,0.3447472158965913,4.4585912227630615
37,0.003479489649180323,0.004166038008406758,0.9619563310891543,0.3394016759007172,4.156239986419678
38,0.003677320336767783,0.0041916954796761274,0.9579094592046513,0.3197029322129183,4.257121801376343
39,0.0035997331142425537,0.0037152800941839814,0.964267735251097,0.34122306806370967,3.9277524948120117
40,0.0037928139014790454,0.003832027199678123,0.9605756294666037,0.36496749678417767,4.003588438034058
