component_id,area_m2,bbox_h_px,bbox_w_px,aspect_ratio_bbox,eccentricity,elongation_pca,solidity_bbox,road_prob_max,road_prob_mean,pit_prob_max,centroid_x,centroid_y,overlaps_labeled_pit,classification
1,152.75,26,30,1.1538461538461537,0.6270819794352268,1.2837740635708756,0.7833333333333333,0.553022563457489,0.31895923614501953,0.7329331040382385,620302.9058919804,4597493.501636662,False,ROAD_LIKE_COMPACT
2,215.0,35,29,1.206896551724138,0.5391321272425035,1.187336533739424,0.8472906403940886,0.4472188651561737,0.23041611909866333,0.8318885564804077,623044.9715116279,4597491.158139535,False,COMPACT_OTHER_FP
3,6.0,4,14,3.5,0.9687343654665106,4.03062890782178,0.42857142857142855,0.4523591995239258,0.3732803165912628,0.49702972173690796,622213.7291666666,4597498.104166667,False,LIKELY_ROAD_FP
5,191.0,30,33,1.1,0.3689284163396784,1.0758960627125298,0.7717171717171717,0.5287767648696899,0.267585426568985,0.7689597606658936,621493.8789267016,4597490.776178011,False,ROAD_LIKE_COMPACT
8,190.25,31,31,1.0,0.45562718439855243,1.1233800483167506,0.7918834547346514,0.46702826023101807,0.18875360488891602,0.7972471714019775,622771.0275952694,4597489.938896189,False,COMPACT_OTHER_FP
9,10.75,7,8,1.1428571428571428,0.4246868155128548,1.1045570041942416,0.7678571428571429,0.33244287967681885,0.2692522704601288,0.4840976595878601,622214.5116279069,4597494.604651162,False,ROAD_LIKE_COMPACT
10,6.75,5,6,1.2,0.5827875489819844,1.2305805796621705,0.9,0.2858758866786957,0.2206791788339615,0.4582008421421051,620176.3703703703,4597494.037037037,False,COMPACT_OTHER_FP
11,119.0,26,24,1.0833333333333333,0.47596724446101196,1.137057489694084,0.7628205128205128,0.3360586166381836,0.13202597200870514,0.6620678901672363,621600.5157563025,4597485.943277311,False,COMPACT_OTHER_FP
13,244.5,42,32,1.3125,0.7341656594556707,1.4728182867150756,0.7276785714285714,0.3572453558444977,0.21305368840694427,0.7803880572319031,621256.6549079755,4597480.595092025,False,COMPACT_OTHER_FP
14,13.0,12,8,1.5,0.9355154048826344,2.8305686687342497,0.5416666666666666,0.12093392014503479,0.09800712764263153,0.5312239527702332,623539.0480769231,4597488.288461538,False,COMPACT_OTHER_FP
15,56.75,30,18,1.6666666666666667,0.9626935598217012,3.695573516782777,0.4203703703703704,0.6172242760658264,0.3173949122428894,0.6009101867675781,622855.3898678414,4597483.54185022,False,LIKELY_ROAD_FP
16,260.25,37,37,1.0,0.40708680520485907,1.0948232132930984,0.760409057706355,0.5365557670593262,0.17330260574817657,0.8807216882705688,623126.6027857829,4597479.788664745,False,ROAD_LIKE_COMPACT
17,22.0,17,10,1.7,0.9458172059484684,3.0797699845783426,0.5176470588235295,0.11245681345462799,0.08492159098386765,0.5843652486801147,623548.2727272727,4597484.375,False,ELONGATED_OTHER
18,247.0,35,38,1.0857142857142856,0.5436662831177949,1.1914669818376322,0.7428571428571429,0.5352199077606201,0.22030290961265564,0.9186521172523499,620832.4655870445,4597478.907894737,False,ROAD_LIKE_COMPACT
19,234.25,36,35,1.0285714285714285,0.45657474485197125,1.1239932502509515,0.7436507936507937,0.5021200776100159,0.16645027697086334,0.8609936237335205,622672.9140875133,4597477.723585912,False,ROAD_LIKE_COMPACT
21,19.25,12,12,1.0,0.9016216042938866,2.3120013353291733,0.5347222222222222,0.5960464477539062,0.3699404001235962,0.5584712028503418,622866.1558441558,4597482.181818182,False,ROAD_LIKE_COMPACT
22,280.25,42,37,1.135135135135135,0.41168072721613047,1.097299596114818,0.7213642213642214,0.44161278009414673,0.17843861877918243,0.9242766499519348,620026.3760035683,4597473.709634255,False,COMPACT_OTHER_FP
23,172.75,31,28,1.1071428571428572,0.3283836703001918,1.0587114557420574,0.7960829493087558,0.49246272444725037,0.18184597790241241,0.770431399345398,621106.5492040521,4597474.875542692,False,COMPACT_OTHER_FP
24,98.75,30,20,1.5,0.7925085247483545,1.6397183462674225,0.6583333333333333,0.2395840883255005,0.10539552569389343,0.5951629877090454,623270.006329114,4597471.6,False,COMPACT_OTHER_FP
25,48.0,20,15,1.3333333333333333,0.8071015194271102,1.6937305502206441,0.64,0.21044158935546875,0.1395035982131958,0.6174973845481873,622184.3151041666,4597473.278645833,False,COMPACT_OTHER_FP
26,7.5,7,6,1.1666666666666667,0.805950246620606,1.6892369079423102,0.7142857142857143,0.5641912221908569,0.44892510771751404,0.5378407835960388,622862.0,4597475.733333333,False,ROAD_LIKE_COMPACT
27,7.75,8,5,1.6,0.8352345217162536,1.818532652282221,0.775,0.16649822890758514,0.10752155631780624,0.5002754926681519,622189.4032258064,4597474.225806451,False,COMPACT_OTHER_FP
28,166.75,28,32,1.1428571428571428,0.556055022086563,1.2031587989571775,0.7444196428571429,0.501495361328125,0.2067389339208603,0.7552024126052856,620708.8883058471,4597468.221889055,False,ROAD_LIKE_COMPACT
29,29.5,19,10,1.9,0.8247574676444495,1.7683884308592994,0.6210526315789474,0.5774953961372375,0.35406509041786194,0.5423206090927124,623049.6483050848,4597470.385593221,False,ROAD_LIKE_COMPACT
33,8.75,8,9,1.125,0.9489395966259333,3.1699958209247825,0.4861111111111111,0.4430882930755615,0.3682975471019745,0.5140116214752197,623953.5142857142,4597463.614285714,False,LIKELY_ROAD_FP
34,32.0,20,12,1.6666666666666667,0.9250219089166706,2.6321762856210458,0.5333333333333333,0.26913344860076904,0.1125677078962326,0.5249643921852112,621121.78125,4597452.12890625,False,COMPACT_OTHER_FP
35,172.0,31,29,1.0689655172413792,0.38492653414472794,1.0834855805272259,0.7652947719688543,0.40857169032096863,0.17153972387313843,0.7494936585426331,620582.7841569767,4597447.016715116,False,COMPACT_OTHER_FP
37,96.0,24,26,1.0833333333333333,0.8138961834028193,1.7211397968933917,0.6153846153846154,0.5076898336410522,0.2663615643978119,0.6146627068519592,623045.9752604166,4597445.052083333,False,ROAD_LIKE_COMPACT
38,15.75,9,13,1.4444444444444444,0.8939189865319069,2.2310046268460666,0.5384615384615384,0.4225195646286011,0.34168678522109985,0.5597971677780151,623903.3412698413,4597444.579365079,False,ROAD_LIKE_COMPACT
39,12.0,13,7,1.8571428571428572,0.9541782690875464,3.341813160038939,0.5274725274725275,0.2547416388988495,0.1868422031402588,0.5257062911987305,623894.1041666666,4597442.052083333,False,ELONGATED_OTHER
41,145.5,26,28,1.0769230769230769,0.4515672934907537,1.1207783667294398,0.7994505494505495,0.5743495225906372,0.16632971167564392,0.7351189255714417,621732.3006872853,4597436.700171822,False,ROAD_LIKE_COMPACT
43,15.25,8,14,1.75,0.9033729419147793,2.331785921395989,0.5446428571428571,0.573672890663147,0.4757135808467865,0.5309332609176636,619906.6967213114,4597421.303278688,False,ROAD_LIKE_COMPACT
44,94.5,26,23,1.1304347826086956,0.7876584545250992,1.6230811702963297,0.6321070234113713,0.26104822754859924,0.09929520636796951,0.6229258179664612,621509.167989418,4597415.304232804,False,COMPACT_OTHER_FP
45,4.5,4,7,1.75,0.8861689090356534,2.1581382397133524,0.6428571428571429,0.5376483201980591,0.45428577065467834,0.53016197681427,620329.6111111111,4597418.388888889,False,ROAD_LIKE_COMPACT
48,39.5,10,22,2.2,0.8874802117591329,2.1699231008770656,0.7181818181818181,0.28247714042663574,0.15450413525104523,0.616038978099823,621524.9620253164,4597406.370253164,False,COMPACT_OTHER_FP
49,49.25,13,20,1.5384615384615385,0.7998869445791623,1.666248130180972,0.7576923076923077,0.1806202232837677,0.10659424215555191,0.600044846534729,621525.2538071066,4597400.487309645,False,COMPACT_OTHER_FP
50,227.0,32,35,1.09375,0.46102253029611673,1.1269022286587465,0.8107142857142857,0.3522622585296631,0.1796097457408905,0.8334792852401733,620192.7984581498,4597393.992290749,False,COMPACT_OTHER_FP
