x,y,kind
700039.7367273977,4646487.259845821,road
700026.0555739003,4646476.241721384,road
699611.2437168651,4646797.142227158,road
699627.5109437132,4646783.870036087,road
699646.6705523008,4646777.987488906,road
699667.6250765149,4646776.690708228,road
699688.5549719377,4646777.209857543,road
699709.4666195587,4646779.074453728,road
699730.2705053263,4646778.582176682,road
699751.0098272142,4646775.5274579,road
699771.967724338,4646774.478881204,road
699792.9056435259,4646776.020719473,road
699813.4478495298,4646780.265708146,road
699834.2050515065,4646783.326022096,road
699855.1913526087,4646783.916692234,road
699876.1361201509,4646782.7174156625,road
699897.1128392627,4646782.895377172,road
699918.065341439,4646784.160283599,road
699939.0234726837,4646784.352593691,road
699959.9885577533,4646784.43565604,road
699980.9436646426,4646785.722986774,road
700001.8948074726,4646787.062956387,road
700022.7934819496,4646789.05424417,road
700043.682554395,4646790.287094676,road
700060.1911324316,4646779.233092216,road
699541.8510197478,4646759.143991523,road
699559.4753013854,4646771.146339831,road
699577.4315869543,4646782.63864008,road
699596.2162518029,4646792.42396463,road
699616.7620230634,4646797.915797355,road
699637.8424579885,4646801.06812708,road
699658.5924072686,4646805.9784501875,road
699679.2793397078,4646811.123513978,road
699699.6987202774,4646817.265221012,road
699720.093509919,4646823.467064517,road
699738.9656892578,4646833.39241162,road
699758.5473269456,4646841.624061726,road
699778.8592798834,4646848.112222944,road
699799.2344742205,4646854.377726987,road
699819.9243463269,4646859.535329178,road
699840.6142184332,4646864.69293137,road
699860.7602058991,4646871.603535138,road
699880.7359622393,4646879.062813038,road
699900.7117185795,4646886.522090937,road
700074.9889754133,4646844.5913678445,road
700053.5391535045,4646843.987094052,road
700032.0893315958,4646843.382820261,road
700010.6395096871,4646842.778546468,road
699989.1896877784,4646842.174272677,road
699967.7540130077,4646841.243606418,road
699946.3323504403,4646839.989660814,road
699924.9106878729,4646838.73571521,road
699903.4890253054,4646837.481769606,road
699882.067362738,4646836.227824002,road
699860.6355384034,4646835.191774121,road
699839.1901499563,4646834.446575434,road
699817.7447615091,4646833.701376746,road
699796.299373062,4646832.95617806,road
699774.8632328715,4646831.999957061,road
699753.4348745822,4646830.866172357,road
699732.0065162929,4646829.732387653,road
700031.6438875595,4646895.653361777,road
700004.7005376895,4646892.1343872845,road
699977.6654105086,4646890.176338288,road
699950.5010116508,4646890.756462217,road
699923.3449173887,4646891.691249963,road
699610.3152247361,4646906.623043828,road
699618.3163233665,4646887.1745904405,road
699637.3587556756,4646878.750359456,road
699658.2775151703,4646877.516810442,road
699679.2470367374,4646878.646332345,road
699700.133846217,4646881.077884391,road
699721.0312602215,4646883.273334667,road
699742.0600777826,4646883.4941296615,road
699763.0702215375,4646882.823588247,road
699784.0725547634,4646881.793773292,road
699805.0989609199,4646882.181281475,road
699826.1253670763,4646882.568789659,road
699847.1500944699,4646883.028383622,road
699868.1717447657,4646883.620107622,road
699889.1254811044,4646885.129275928,road
699909.9729741118,4646887.796692979,road
699930.164012146,4646893.677330831,road
699950.2854862799,4646899.786931935,road
699970.3353214106,4646906.132326303,road
699988.9606045937,4646915.875535021,road
700006.8814994129,4646926.820115485,road
700024.2699635258,4646938.6481007,road
699673.5358753912,4646978.032069989,road
699675.8508166721,4646947.4186599925,road
699675.527679414,4646916.658153671,road
699674.894718865,4646885.886935104,road
699648.7825681798,4646962.431002741,road
699675.299592404,4646929.926187882,road
699766.5306367355,4647031.280066891,road
699767.7954536979,4647006.377276286,road
699769.0602706602,4646981.4744856795,road
