fold,prob_threshold,n_pred_heldout,n_heldout,recall_iou30,precision_iou30,f1_iou30,recall_iou50,containment,containment_hits,n_rims
0,0.1,274,96,0.59375,0.20802919708029197,0.3081081081081081,0.13541666666666666,0.9578947368421052,91,95
0,0.15,207,96,0.7291666666666666,0.33816425120772947,0.46204620462046203,0.2604166666666667,0.9789473684210527,93,95
0,0.2,180,96,0.8229166666666666,0.4388888888888889,0.572463768115942,0.3541666666666667,0.9789473684210527,93,95
0,0.25,165,96,0.8854166666666666,0.5151515151515151,0.6513409961685824,0.5208333333333334,0.9789473684210527,93,95
0,0.3,156,96,0.9166666666666666,0.5641025641025641,0.6984126984126983,0.6875,0.968421052631579,92,95
0,0.35,152,96,0.9166666666666666,0.5789473684210527,0.7096774193548387,0.8229166666666666,0.9473684210526315,90,95
0,0.4,145,96,0.9166666666666666,0.6068965517241379,0.7302904564315352,0.8541666666666666,0.9473684210526315,90,95
0,0.45,143,96,0.9166666666666666,0.6153846153846154,0.7364016736401674,0.8854166666666666,0.9263157894736842,88,95
0,0.5,134,96,0.9166666666666666,0.6567164179104478,0.7652173913043478,0.8541666666666666,0.9263157894736842,88,95
0,0.55,129,96,0.875,0.6511627906976745,0.7466666666666667,0.78125,0.8947368421052632,85,95
0,0.6,124,96,0.8229166666666666,0.6370967741935484,0.7181818181818183,0.65625,0.8842105263157894,84,95
0,0.65,112,96,0.7083333333333334,0.6071428571428571,0.6538461538461539,0.5729166666666666,0.8421052631578947,80,95
0,0.7,91,96,0.625,0.6593406593406593,0.6417112299465241,0.3541666666666667,0.7157894736842105,68,95
0,0.75,74,96,0.4791666666666667,0.6216216216216216,0.5411764705882353,0.14583333333333334,0.631578947368421,60,95
0,0.8,50,96,0.2916666666666667,0.56,0.3835616438356164,0.041666666666666664,0.45263157894736844,43,95
0,0.85,27,96,0.10416666666666667,0.37037037037037035,0.16260162601626016,0.010416666666666666,0.25263157894736843,24,95
1,0.1,355,95,0.6526315789473685,0.17464788732394365,0.27555555555555555,0.12631578947368421,0.9894736842105263,94,95
1,0.15,271,95,0.7578947368421053,0.2656826568265683,0.39344262295081966,0.22105263157894736,0.9894736842105263,94,95
1,0.2,236,95,0.8631578947368421,0.3474576271186441,0.4954682779456193,0.3157894736842105,0.9894736842105263,94,95
1,0.25,211,95,0.9157894736842105,0.41232227488151657,0.5686274509803921,0.49473684210526314,0.9894736842105263,94,95
1,0.3,199,95,0.9473684210526315,0.45226130653266333,0.6122448979591837,0.6947368421052632,0.9894736842105263,94,95
1,0.35,189,95,0.9578947368421052,0.48148148148148145,0.6408450704225351,0.8,0.9894736842105263,94,95
1,0.4,171,95,0.9578947368421052,0.5321637426900585,0.6842105263157896,0.8631578947368421,0.9894736842105263,94,95
1,0.45,161,95,0.9473684210526315,0.5590062111801242,0.703125,0.8631578947368421,0.9894736842105263,94,95
1,0.5,157,95,0.9263157894736842,0.5605095541401274,0.6984126984126984,0.8,0.9894736842105263,94,95
1,0.55,141,95,0.8736842105263158,0.5886524822695035,0.7033898305084745,0.7473684210526316,0.9473684210526315,90,95
1,0.6,128,95,0.8105263157894737,0.6015625,0.6905829596412556,0.6526315789473685,0.9052631578947369,86,95
1,0.65,122,95,0.7684210526315789,0.5983606557377049,0.6728110599078341,0.5684210526315789,0.8631578947368421,82,95
1,0.7,104,95,0.6526315789473685,0.5961538461538461,0.6231155778894473,0.42105263157894735,0.8210526315789474,78,95
1,0.75,89,95,0.5473684210526316,0.5842696629213483,0.5652173913043478,0.3473684210526316,0.7368421052631579,70,95
1,0.8,68,95,0.4421052631578947,0.6176470588235294,0.5153374233128833,0.21052631578947367,0.6,57,95
1,0.85,54,95,0.3368421052631579,0.5925925925925926,0.4295302013422819,0.08421052631578947,0.4842105263157895,46,95
2,0.1,550,95,0.6631578947368421,0.11454545454545455,0.19534883720930232,0.14736842105263157,1.0,94,94
2,0.15,324,95,0.7578947368421053,0.2222222222222222,0.3436754176610978,0.23157894736842105,1.0,94,94
2,0.2,232,95,0.8736842105263158,0.3577586206896552,0.5076452599388379,0.43157894736842106,0.9893617021276596,93,94
2,0.25,196,95,0.9263157894736842,0.4489795918367347,0.6048109965635738,0.5368421052631579,0.9893617021276596,93,94
2,0.3,177,95,0.968421052631579,0.519774011299435,0.676470588235294,0.7263157894736842,0.9893617021276596,93,94
2,0.35,163,95,0.9894736842105263,0.5766871165644172,0.7286821705426357,0.8105263157894737,0.9893617021276596,93,94
2,0.4,153,95,0.968421052631579,0.6013071895424836,0.7419354838709677,0.8736842105263158,0.9893617021276596,93,94
2,0.45,146,95,0.968421052631579,0.6301369863013698,0.7634854771784232,0.9157894736842105,0.9787234042553191,92,94
2,0.5,142,95,0.968421052631579,0.647887323943662,0.7763713080168777,0.8842105263157894,0.9787234042553191,92,94
