model,threshold,subset,n_chunks,km,completeness_len,completeness_chunk,correctness_px,quality,pred_road_px,found,missed
recall_relabeled20260806,0.4,613590_added_r2,1496,48.87,0.788,0.807,0.802,0.66,881513,1208,288
recall_relabeled20260806,0.5,all,5500,187.1,0.909,0.915,0.828,0.764,752488,5031,469
recall_relabeled20260806,0.5,613590_review_r2,4004,138.23,0.962,0.966,0.828,0.801,752488,3869,135
recall_relabeled20260806,0.5,613590_added_r2,1496,48.87,0.759,0.777,0.828,0.655,752488,1162,334
recall_relabeled20260806,0.6,all,5500,187.1,0.893,0.899,0.85,0.771,629463,4943,557
recall_relabeled20260806,0.6,613590_review_r2,4004,138.23,0.952,0.957,0.85,0.815,629463,3833,171
recall_relabeled20260806,0.6,613590_added_r2,1496,48.87,0.727,0.742,0.85,0.644,629463,1110,386
recall_relabeled20260806,0.7,all,5500,187.1,0.871,0.874,0.873,0.773,500376,4809,691
recall_relabeled20260806,0.7,613590_review_r2,4004,138.23,0.937,0.944,0.873,0.825,500376,3780,224
recall_relabeled20260806,0.7,613590_added_r2,1496,48.87,0.685,0.688,0.873,0.623,500376,1029,467
